ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
561747.160599,48.411392,-179.965788,0.007378,-89.999996,-2.57E-4,0.707107,-0.707107,1.66E-4
561807.160599,48.324233,-179.959523,0.010352,-89.999993,-3.14E-4,0.707107,-0.707107,1.86E-4
561867.160599,48.17978,-179.953599,0.013279,-89.999989,-3.68E-4,0.707107,-0.707107,2.04E-4
561927.160599,47.960577,-179.948075,0.016146,-89.999985,-4.2E-4,0.707107,-0.707107,2.21E-4
561987.160599,47.724078,-179.94301,0.018939,-89.999981,-4.69E-4,0.707107,-0.707107,2.35E-4
562047.160599,47.448659,-179.938454,0.021647,-89.999977,-5.13E-4,0.707107,-0.707107,2.46E-4
562107.160599,47.097602,-179.934452,0.024257,-89.999972,-5.54E-4,0.707107,-0.707107,2.55E-4
562167.160599,46.735656,-179.93104,0.026758,-89.999968,5.91E-4,-0.707107,0.707107,-2.6E-4
562227.160599,46.321179,-179.928249,0.029138,-89.999964,6.23E-4,-0.707107,0.707107,-2.63E-4
562287.160599,45.822083,-179.926106,0.031389,-89.99996,6.5E-4,-0.707107,0.707106,-2.62E-4
562347.160599,45.294534,-179.924632,0.033499,-89.999956,6.72E-4,-0.707107,0.707106,-2.58E-4
562407.160599,44.762009,-179.923836,0.03546,-89.999953,6.89E-4,-0.707107,0.707106,-2.51E-4
562467.160599,44.222255,-179.92371,0.037265,-89.99995,7.01E-4,-0.707107,0.707106,-2.41E-4
562527.160599,43.596753,-179.924236,0.038904,-89.999949,-7.08E-4,0.707107,-0.707106,2.27E-4
562587.160599,42.927185,-179.925392,0.040373,-89.999947,-7.1E-4,0.707107,-0.707106,2.11E-4
562647.160599,42.263438,-179.927157,0.041664,-89.999947,-7.07E-4,0.707107,-0.707106,1.92E-4
562707.160599,41.577441,-179.929507,0.042772,-89.999947,-6.99E-4,0.707107,-0.707106,1.71E-4
562767.160599,40.840523,-179.932405,0.043693,-89.999948,-6.87E-4,0.707107,-0.707106,1.47E-4
562827.160599,40.115481,-179.935797,0.044424,-89.99995,-6.7E-4,0.707107,-0.707106,1.22E-4
562887.160599,39.404952,-179.939618,0.044961,-89.999953,-6.5E-4,0.707107,-0.707106,9.5E-5
562947.160599,38.623208,-179.943797,0.045301,-89.999956,-6.26E-4,0.707107,-0.707107,6.7E-5
563007.160599,37.857242,-179.948271,0.045445,-89.999959,-6.0E-4,0.707107,-0.707107,3.9E-5
563067.160599,37.113188,-179.952985,0.04539,-89.999963,-5.7E-4,0.707107,-0.707107,1.0E-5
563127.160599,36.024315,-179.95788,0.045137,-89.999967,5.38E-4,-0.707107,0.707107,1.9E-5
563187.160599,34.82407,-179.96289,0.044688,-89.999971,5.05E-4,-0.707107,0.707107,4.7E-5
563247.160599,33.653943,-179.967944,0.044043,-89.999975,4.7E-4,-0.707107,0.707107,7.4E-5
563307.160599,32.70605,-179.972975,0.043205,-89.99998,4.33E-4,-0.707107,0.707107,1.0E-4
563367.160599,31.985245,-179.977927,0.042177,-89.999984,3.96E-4,-0.707107,0.707107,1.24E-4
563427.160599,31.296164,-179.982744,0.040964,-89.999988,3.59E-4,-0.707107,0.707107,1.46E-4
563487.160599,30.60077,-179.987369,0.03957,-89.999991,3.22E-4,-0.707107,0.707107,1.66E-4
563547.160599,29.663188,-179.991751,0.038,-89.999995,2.85E-4,-0.707107,0.707107,1.84E-4
563607.160599,28.775622,-179.995848,0.036261,-89.999997,2.49E-4,-0.707107,0.707107,1.98E-4
563667.160599,27.92102,-179.999635,0.03436,-90.0,2.14E-4,-0.707107,0.707107,2.1E-4
563727.160599,27.031896,179.996914,0.032304,-90.000002,1.8E-4,-0.707107,0.707107,2.18E-4
563787.160599,26.173255,179.993828,0.030103,-90.000003,1.48E-4,-0.707107,0.707107,2.24E-4
563847.160599,25.434304,179.991135,0.027766,-90.000004,1.17E-4,-0.707107,0.707107,2.26E-4
563907.160599,24.820252,179.988844,0.025303,-90.000005,8.7E-5,-0.707107,0.707107,2.25E-4
563967.160599,24.188277,179.98694,0.022725,-90.000005,6.0E-5,-0.707107,0.707107,2.21E-4
564027.160599,23.531582,179.985395,0.020043,-90.000005,3.4E-5,-0.707107,0.707107,2.14E-4
564087.160599,22.934094,179.984176,0.017269,-90.000005,9.0E-6,-0.707107,0.707107,2.04E-4
564093.230577,22.877589,179.98407,0.016984,-90.000005,7.0E-6,-0.707107,0.707107,2.03E-4
564093.230577,0.0,179.98407,0.016984,-90.000005,7.0E-6,-0.707107,0.707107,2.03E-4
564138.170238,0.0,179.983378,0.014848,-90.000004,-1.1E-5,-0.707107,0.707107,1.94E-4
564198.170238,0.0,179.982696,0.011937,-90.000004,-3.3E-5,-0.707107,0.707107,1.8E-4
564258.170238,0.0,179.982263,0.008971,-90.000003,-5.4E-5,-0.707107,0.707107,1.65E-4
564318.170238,0.0,179.982037,0.005964,-90.000002,-7.4E-5,-0.707107,0.707107,1.48E-4
564378.170238,0.0,179.981978,0.002929,-90.000001,-9.3E-5,-0.707107,0.707107,1.29E-4
564438.170238,0.0,179.982042,-1.19E-4,-90.0,-1.12E-4,-0.707107,0.707107,1.1E-4
564498.170238,0.0,179.982191,-0.003166,-89.999999,-1.29E-4,-0.707107,0.707107,9.0E-5
564558.170238,0.0,179.982382,-0.006199,-89.999998,-1.47E-4,-0.707107,0.707107,7.0E-5
564618.170238,0.0,179.982571,-0.009202,-89.999997,-1.64E-4,-0.707107,0.707107,5.1E-5
564678.170238,0.0,179.982707,-0.012163,-89.999996,-1.82E-4,-0.707107,0.707107,3.2E-5
564738.170238,0.0,179.982744,-0.015067,-89.999995,-1.99E-4,-0.707107,0.707107,1.4E-5
564798.170238,0.0,179.982642,-0.017901,-89.999995,-2.18E-4,-0.707107,0.707107,-3.0E-6
564855.558753,0.0,179.982385,-0.020535,-89.999994,-2.35E-4,-0.707107,0.707107,-1.8E-5
564900.642269,0.0,179.982059,-0.022545,-89.999993,-2.5E-4,-0.707107,0.707107,-2.8E-5
564900.64227,0.0,179.982059,-0.022545,-89.999993,-2.5E-4,-0.707107,0.707107,-2.8E-5
564960.642269,23.389906,179.981443,-0.025127,-89.999992,-2.7E-4,-0.707107,0.707107,-4.1E-5
565020.642269,24.038834,179.980601,-0.027595,-89.999991,-2.9E-4,-0.707107,0.707107,-5.1E-5
565080.642269,24.706778,179.979521,-0.029938,-89.999989,-3.11E-4,-0.707107,0.707107,-5.8E-5
565140.642269,25.288732,179.978192,-0.032145,-89.999988,-3.33E-4,-0.707107,0.707107,-6.4E-5
565200.642269,25.996343,179.976612,-0.034207,-89.999986,-3.55E-4,-0.707107,0.707107,-6.7E-5
565260.642269,26.824826,179.974784,-0.036116,-89.999984,-3.78E-4,-0.707107,0.707107,-6.7E-5
565320.642269,27.72135,179.972724,-0.037864,-89.999982,-4.02E-4,-0.707107,0.707107,-6.5E-5
565380.642269,28.579578,179.970454,-0.039444,-89.99998,-4.26E-4,-0.707107,0.707107,-6.1E-5
565440.642269,29.453031,179.968007,-0.040849,-89.999977,-4.49E-4,-0.707107,0.707107,-5.5E-5
565500.642269,30.377224,179.965423,-0.042073,-89.999975,-4.73E-4,-0.707107,0.707107,-4.6E-5
565560.642269,31.14032,179.96275,-0.043113,-89.999972,-4.96E-4,-0.707107,0.707107,-3.6E-5
565620.642269,31.819954,179.960036,-0.043964,-89.999969,-5.18E-4,-0.707107,0.707107,-2.5E-5
565680.642269,32.531562,179.957331,-0.044623,-89.999967,-5.39E-4,-0.707107,0.707107,-1.2E-5
565740.642269,33.375638,179.954678,-0.045087,-89.999964,-5.58E-4,-0.707107,0.707107,1.0E-6
