ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
561746.787586,97.261283,0.03764,24.046376,-89.984663,-0.691639,-0.147503,-0.147088,0.691551
561806.787586,97.146529,0.04444,23.871869,-89.982016,-0.691871,-0.146488,-0.145997,0.691767
561866.787586,97.005098,0.050813,23.602938,-89.979655,-0.692219,-0.1449,-0.144337,0.692101
561926.787586,96.669117,0.056683,23.239637,-89.977634,-0.69268,-0.142738,-0.142108,0.69255
561986.787586,96.338712,0.061983,22.782082,-89.975998,-0.693248,-0.140002,-0.139311,0.693108
562046.787586,96.015184,0.066655,22.230494,-89.974782,-0.693916,-0.136692,-0.135945,0.693769
562106.787586,95.543816,0.070653,21.585247,-89.974008,-0.694675,-0.132807,-0.132011,0.694523
562166.787586,95.036779,0.073947,20.846925,-89.973684,0.695515,0.128351,0.127512,-0.69536
562226.787586,94.547709,0.076515,20.016397,-89.97381,0.696424,0.123324,0.122451,-0.696269
562286.787586,94.07173,0.078341,19.094885,-89.974372,0.697388,0.117734,0.116833,-0.697236
562346.787586,93.451415,0.079422,18.084054,-89.975347,0.698393,0.111588,0.110668,-0.698246
562406.787586,92.865205,0.079768,16.986092,-89.976697,0.699422,0.104898,0.103967,-0.699283
562466.787586,92.316083,0.079408,15.803797,-89.978374,0.700457,0.097678,0.096744,-0.700328
562526.787586,91.806962,0.078384,14.540656,-89.98032,-0.701481,-0.089949,-0.089021,0.701362
562586.787586,91.2862,0.076737,13.200921,-89.982476,-0.702473,-0.081736,-0.080821,0.702367
562646.787586,90.750732,0.074507,11.78967,-89.984777,-0.703414,-0.07307,-0.072174,0.703321
562706.787586,90.276363,0.071735,10.312837,-89.987158,-0.704284,-0.063985,-0.063118,0.704206
562766.787586,89.866025,0.06847,8.777224,-89.989552,-0.705065,-0.054525,-0.053692,0.705001
562826.787586,89.52234,0.064776,7.190475,-89.991892,-0.70574,-0.044737,-0.043945,0.70569
562886.787586,89.24757,0.060722,5.561025,-89.994116,-0.706292,-0.034674,-0.033929,0.706256
562946.787586,89.043568,0.056377,3.898012,-89.996167,-0.706709,-0.024396,-0.023702,0.706686
563006.787586,88.911743,0.0518,2.211163,-89.998001,-0.706981,-0.013963,-0.013324,0.706969
563066.787586,88.853024,0.047039,0.510636,-89.999581,-0.707101,-0.003441,-0.002861,0.707098
563126.787586,88.867835,0.042141,-1.193157,-90.000877,0.707066,-0.007102,-0.007622,-0.707071
563186.787586,88.956092,0.037158,-2.889744,-90.001873,0.706876,-0.017601,-0.018059,-0.706888
563246.787586,89.117196,0.032148,-4.568785,-90.002561,0.706537,-0.027987,-0.028383,-0.706553
563306.787586,89.350052,0.027164,-6.220257,-90.002943,0.706056,-0.038198,-0.038531,-0.706074
563366.787586,89.653092,0.022249,-7.834616,-90.003033,0.705445,-0.048171,-0.048443,-0.705464
563426.787586,90.024314,0.017449,-9.402951,-90.002851,0.704719,-0.057852,-0.058063,-0.704736
563486.787586,90.461321,0.01281,-10.917091,-90.002426,0.703893,-0.067187,-0.067341,-0.703908
563546.787586,90.961371,0.008381,-12.36968,-90.001795,0.702986,-0.076131,-0.076231,-0.702997
563606.787586,91.521425,0.004199,-13.754222,-90.000998,0.702016,-0.084644,-0.084694,-0.702022
563666.787586,92.009173,2.93E-4,-15.065082,-90.000076,0.701005,-0.092692,-0.092696,-0.701005
563726.787586,92.535593,-0.00331,-16.297476,-89.999071,0.69997,-0.100247,-0.100208,-0.699965
563786.787586,93.100973,-0.006574,-17.447427,-89.998029,-0.698932,0.107285,0.107209,0.698921
563846.787586,93.70236,-0.009463,-18.511696,-89.996996,-0.697909,0.113788,0.113679,0.697891
563906.787586,94.267735,-0.011957,-19.487707,-89.996011,-0.696918,0.119742,0.119605,0.696894
563966.787586,94.745846,-0.014063,-20.373457,-89.995104,-0.695975,0.125137,0.124977,0.695946
564026.787586,95.243301,-0.015802,-21.167436,-89.994294,-0.695094,0.129965,0.129786,0.69506
564086.787586,95.757885,-0.017198,-21.868548,-89.993594,-0.694288,0.134223,0.134029,0.694251
564092.825509,95.810531,-0.01732,-21.933928,-89.99353,-0.694212,0.134619,0.134425,0.694174
564092.825577,0.0,-0.01732,-21.933929,-89.99353,-0.694212,0.134619,0.134425,0.694174
564137.763559,0.0,-0.018129,-22.39067,-89.993094,-0.693671,0.137389,0.137186,0.693631
564197.763559,0.0,-0.018945,-22.918199,-89.992623,-0.693033,0.140585,0.140374,0.69299
564257.763559,0.0,-0.019483,-23.351315,-89.992277,-0.692498,0.143206,0.14299,0.692454
564317.763559,0.0,-0.019784,-23.689821,-89.992051,-0.692073,0.145252,0.145034,0.692027
564377.763559,0.0,-0.01989,-23.933615,-89.991931,-0.691763,0.146725,0.146505,0.691717
564437.763559,0.0,-0.019845,-24.082654,-89.991902,-0.691572,0.147624,0.147405,0.691525
564497.763559,0.0,-0.019692,-24.136927,-89.991947,-0.691502,0.147951,0.147734,0.691455
564557.763559,0.0,-0.019477,-24.096439,-89.992048,-0.691554,0.147705,0.147491,0.691508
564617.763559,0.0,-0.019251,-23.961202,-89.992182,-0.691727,0.146888,0.146675,0.691682
564677.763559,0.0,-0.019067,-23.731244,-89.992326,-0.69202,0.145499,0.145288,0.691976
564737.763559,0.0,-0.018978,-23.406622,-89.992461,-0.692429,0.143538,0.143327,0.692385
564797.763559,0.0,-0.019028,-22.987444,-89.992569,-0.692948,0.141004,0.140793,0.692905
564855.179661,0.0,-0.019235,-22.497966,-89.99264,-0.693544,0.138045,0.13783,0.693501
564900.261599,0.0,-0.019523,-22.053263,-89.99267,-0.694074,0.135355,0.135135,0.694031
564900.2616,0.0,-0.019523,-22.053262,-89.99267,-0.694074,0.135355,0.135135,0.694031
564960.261599,95.382675,-0.02009,-21.379407,-89.992676,-0.694857,0.131275,0.131048,0.694814
565020.261599,94.880544,-0.020882,-20.612566,-89.992649,-0.695719,0.126627,0.12639,0.695676
565080.261599,94.39715,-0.021909,-19.753741,-89.992595,-0.696648,0.121416,0.121166,0.696605
565140.261599,93.874267,-0.02318,-18.804316,-89.992528,-0.69763,0.115649,0.115382,0.697585
565200.261599,93.263847,-0.024695,-17.766142,-89.992465,-0.698648,0.109334,0.109047,0.698603
565260.261599,92.688563,-0.026445,-16.641622,-89.992426,-0.699686,0.102484,0.102175,0.699641
565320.261599,92.151374,-0.028415,-15.433796,-89.992438,-0.700726,0.095117,0.094782,0.70068
565380.261599,91.655154,-0.03058,-14.146413,-89.992526,-0.701748,0.087253,0.08689,0.701703
565440.261599,91.111999,-0.032907,-12.784003,-89.992719,-0.702733,0.078919,0.078526,0.702689
565500.261599,90.595108,-0.035358,-11.351929,-89.99304,-0.703661,0.070147,0.069722,0.703619
565560.261599,90.140316,-0.03789,-9.85641,-89.993514,-0.704512,0.060975,0.060516,0.704473
565620.261599,89.75045,-0.040458,-8.304525,-89.994156,-0.705269,0.051446,0.050953,0.705233
565680.261599,89.428005,-0.043024,-6.704189,-89.994977,-0.705912,0.041609,0.041083,0.705882
565740.261599,89.175097,-0.045551,-5.064079,-89.995979,-0.706429,0.031518,0.030959,0.706404
565800.261599,88.993421,-0.048002,-3.39354,-89.997159,-0.706805,0.021233,0.020642,0.706788
565860.261599,88.884209,-0.05033,-1.702438,-89.998505,-0.707033,0.010815,0.010194,0.707024
565920.261599,88.848208,-0.052477,-0.001004,-89.999999,-0.707107,3.3E-4,-3.18E-4,0.707107
565980.261599,88.885661,-0.05438,1.700344,-90.001614,-0.707024,-0.010157,-0.010827,0.707034
566040.261599,88.996298,-0.05599,3.391189,-90.003312,-0.706787,-0.020578,-0.021268,0.706807
566100.261599,89.179348,-0.057265,5.061299,-90.005052,-0.706402,-0.03087,-0.031573,0.706433
566160.261599,89.433551,-0.058166,6.70082,-90.006787,-0.705877,-0.040969,-0.041681,0.705919
566220.261599,89.757191,-0.058643,8.300437,-90.008466,-0.705227,-0.050817,-0.051532,0.705278
566280.261599,90.148136,-0.058642,9.851504,-90.010033,-0.704465,-0.06036,-0.061071,0.704526
566340.261599,90.603875,-0.058115,11.34614,-90.011433,-0.703609,-0.069549,-0.070249,0.703678
566400.261599,91.12157,-0.057026,12.777292,-90.012612,-0.702677,-0.07834,-0.079022,0.702754
566460.261599,91.663891,-0.055353,14.138763,-90.013521,-0.70169,-0.086696,-0.087353,0.701772
566520.261599,92.160553,-0.053078,15.42522,-90.014118,-0.700668,-0.094584,-0.09521,0.700752
566580.261599,92.698041,-0.050191,16.632163,-90.014366,-0.699629,-0.101978,-0.102565,0.699715
566640.261599,93.273471,-0.046686,17.755871,-90.014238,-0.698593,-0.108857,-0.109399,0.698677
566700.261599,93.883884,-0.042571,18.793336,-90.013714,-0.697578,-0.115203,-0.115694,0.697659
566760.261599,94.405287,-0.03786,19.742186,-90.012789,-0.696601,-0.121004,-0.121437,0.696676
566820.261599,94.888508,-0.03258,20.600597,-90.011463,-0.695677,-0.126251,-0.126621,0.695745
566880.261599,95.39035,-0.026772,21.36721,-90.009754,-0.694821,-0.130936,-0.131238,0.694878
566940.261599,95.908618,-0.020492,22.041045,-90.00769,-0.694044,-0.135056,-0.135286,0.694089
567000.261599,96.239918,-0.013802,22.621428,-90.005309,-0.693358,-0.138607,-0.138762,0.693389
567060.261599,96.568338,-0.006774,23.107918,-90.002659,-0.692771,-0.141589,-0.141665,0.692786
567120.261599,96.902717,5.13E-4,23.500245,-89.999795,-0.69229,-0.144001,-0.143995,0.692289
567180.261599,97.109809,0.007971,23.798255,-89.996784,-0.691922,-0.145842,-0.145754,0.691903
567240.261599,97.224237,0.015498,24.00187,-89.993696,-0.691671,-0.147113,-0.146942,0.691634
567300.261599,97.339353,0.022992,24.111056,-89.990607,-0.691539,-0.147813,-0.147559,0.691485
567360.261599,97.373716,0.03035,24.125801,-89.987595,-0.691529,-0.147942,-0.147608,0.691457
567420.261599,97.258408,0.037468,24.046099,-89.984733,-0.69164,-0.147501,-0.147088,0.691552
567480.261599,97.143661,0.04425,23.871955,-89.982092,-0.69187,-0.146487,-0.145999,0.691767
