ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
624816.354261,11.363027,179.909412,26.594672,89.959446,-0.163124,-0.688264,-0.688034,0.162151
624876.354261,11.853829,179.910691,24.695466,89.962687,-0.1517,-0.690857,-0.690643,0.150722
624936.354261,12.297143,179.912432,23.010939,89.965769,-0.141528,-0.692997,-0.692799,0.140553
624996.354261,12.666517,179.914647,21.518075,89.968693,-0.132483,-0.694768,-0.694585,0.131521
625056.354261,13.010171,179.917335,20.195037,89.971463,-0.124444,-0.696238,-0.69607,0.123502
625116.354261,13.298217,179.92049,19.02183,89.974085,-0.117297,-0.697463,-0.69731,0.116382
625176.354261,13.569515,179.924097,17.980554,89.976569,-0.110937,-0.698489,-0.69835,0.110057
625236.354261,13.793653,179.928128,17.055417,89.97892,-0.105275,-0.699352,-0.699226,0.104436
625296.354261,14.014013,179.932542,16.232622,89.981143,-0.100227,-0.70008,-0.699968,0.099436
625356.354261,14.189496,179.937284,15.500188,89.98324,-0.095725,-0.700698,-0.700597,0.094986
625416.354261,14.368211,179.942298,14.847754,89.985214,-0.091706,-0.701224,-0.701135,0.091023
625476.354261,14.514195,179.947524,14.266379,89.987068,-0.088117,-0.701673,-0.701595,0.087495
625536.354261,14.652402,179.952902,13.748356,89.988807,-0.084913,-0.702057,-0.70199,0.084353
625596.354261,14.784365,179.958365,13.287046,89.990431,-0.082055,-0.702388,-0.70233,0.081558
625656.354261,14.890018,179.963844,12.876735,89.991943,0.079507,0.702671,0.702623,-0.079075
625716.354261,15.002256,179.969276,12.512503,89.993344,0.077241,0.702916,0.702875,-0.076873
625776.354261,15.098829,179.974602,12.190116,89.994637,0.075232,0.703126,0.703093,-0.074927
625836.354261,15.185348,179.979771,11.905931,89.995827,0.073457,0.703306,0.703281,-0.073214
625896.354261,15.279867,179.984734,11.656815,89.996916,0.071898,0.703461,0.703442,-0.071715
625956.354261,15.362358,179.989449,11.440079,89.997907,0.070539,0.703592,0.70358,-0.070412
626016.354261,15.437786,179.993878,11.253421,89.998805,0.069366,0.703703,0.703696,-0.069293
626076.354261,15.50167,179.997993,11.094884,89.999614,0.068368,0.703796,0.703794,-0.068344
626136.354261,15.570575,-179.998229,10.962809,90.000337,0.067534,0.703872,0.703874,-0.067555
626196.354261,15.618708,-179.994805,10.855809,90.000978,0.066856,0.703933,0.703939,-0.066919
626256.354261,15.675754,-179.991752,10.772739,90.001542,-0.066327,-0.70398,-0.703989,0.066427
626316.354261,15.734112,-179.989077,10.712673,90.00203,-0.065942,-0.704013,-0.704025,0.066074
626376.354261,15.778183,-179.986781,10.674883,90.002449,-0.065696,-0.704033,-0.704048,0.065856
626436.354261,15.822947,-179.984858,10.658829,90.002801,-0.065586,-0.704042,-0.704059,0.065769
