ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
389739.146141,97.513179,-179.929036,-7.564809,-66.967358,-0.035879,-0.832249,0.550464,-0.055361
389799.146141,97.513379,-179.948834,-6.062546,-66.550164,-0.028641,-0.834889,0.547872,-0.044456
389859.146141,97.513583,-179.969394,-4.537868,-66.227399,-0.021405,-0.836937,0.545865,-0.033306
389919.146141,97.513791,-179.990428,-2.996571,-65.999091,-0.01417,-0.838389,0.544444,-0.021974
389979.146141,97.514001,179.988345,-1.444411,-65.865226,-0.006938,-0.839243,0.54361,-0.010524
390039.146141,97.514211,179.967204,0.112885,-65.82577,2.95E-4,-0.839497,0.543363,9.83E-4
390099.146141,97.514422,179.946423,1.669603,-65.880693,0.00753,-0.839152,0.543702,0.012481
390159.146141,97.514631,179.926274,3.220036,-66.029963,0.014769,-0.838207,0.544628,0.02391
390219.146141,97.514838,179.907027,4.758465,-66.273549,0.022014,-0.836664,0.54614,0.035205
390279.146141,97.515042,179.888949,6.279147,-66.611396,0.029265,-0.834527,0.548237,0.046304
390339.146141,97.515241,179.872304,7.77631,-67.043403,0.036521,-0.831799,0.550918,0.057145
390399.146141,97.515435,179.857353,9.244141,-67.569389,0.043779,-0.828485,0.554181,0.067665
390459.146141,97.515623,179.84435,10.676783,-68.189042,0.051033,-0.824592,0.558023,0.077804
390519.146141,97.515803,179.833542,12.068336,-68.901866,0.058276,-0.820128,0.562439,0.087501
390579.146141,97.515975,179.82516,13.412866,-69.70711,0.065495,-0.815101,0.567424,0.096699
390639.146141,97.516138,179.819421,14.704411,-70.603692,0.072675,-0.809525,0.572967,0.10534
390699.146141,97.516291,179.816513,15.93701,-71.59012,0.079796,-0.803411,0.57906,0.113371
390759.146141,97.516433,179.81659,17.104726,-72.664398,0.086832,-0.796778,0.585685,0.12074
390819.146141,97.516563,179.819768,18.201688,-73.823947,0.093755,-0.789642,0.592827,0.127401
390879.146141,97.516681,179.826105,19.222137,-75.065516,-0.100527,0.782028,-0.600462,-0.133311
390939.146141,97.516785,179.835603,20.160479,-76.385105,-0.10711,0.77396,-0.608564,-0.138434
390999.146141,97.516876,179.84819,21.011356,-77.777901,-0.113457,0.765467,-0.6171,-0.142739
391059.146141,97.516953,179.863718,21.769712,-79.238233,-0.119517,0.756584,-0.626035,-0.146205
391119.146141,97.517014,179.881956,22.430874,-80.759551,-0.125236,0.747349,-0.635326,-0.148817
391179.146141,97.517061,179.90259,22.990628,-82.334438,-0.130556,0.737803,-0.644927,-0.15057
391239.146141,97.517092,179.925225,23.445301,-83.954654,-0.135415,0.727992,-0.654788,-0.151469
391299.146141,97.517107,179.949396,23.791831,-85.611217,-0.139754,0.717969,-0.664853,-0.151527
391359.146141,97.517106,179.974576,24.027838,-87.294518,-0.143511,0.707786,-0.675065,-0.150767
391419.146141,97.517089,-179.999802,24.151672,-88.994471,-0.146629,0.6975,-0.685366,-0.149222
391479.146141,97.517056,-179.974327,24.162455,-90.70068,-0.149052,0.687172,-0.695694,-0.146933
391539.146141,97.517006,-179.949589,24.060103,-92.402632,-0.150734,0.67686,-0.705988,-0.143946
391599.146141,97.51694,-179.926152,23.845324,-94.089889,-0.151631,0.666627,-0.71619,-0.140315
391659.146141,97.516858,-179.904537,23.519606,-95.752285,-0.151712,0.656531,-0.726242,-0.136097
391719.146141,97.51676,-179.885201,23.085177,-97.3801,-0.15095,0.646631,-0.73609,-0.131353
391779.146141,97.516646,-179.868526,22.544959,-98.964213,-0.149332,0.636981,-0.745683,-0.126142
391839.146141,97.516517,-179.854808,21.902501,-100.496224,-0.146851,0.627634,-0.754973,-0.120525
391899.146141,97.516373,-179.844251,21.161909,-101.968546,-0.143512,0.618635,-0.763918,-0.11456
391959.146141,97.516215,-179.836974,20.327766,-103.37445,0.139329,-0.610027,0.77248,0.108301
392019.146141,97.516043,-179.83301,19.405054,-104.708085,0.134322,-0.601849,0.780623,0.101799
392079.146141,97.515858,-179.832319,18.399078,-105.964459,0.12852,-0.594131,0.788319,0.0951
392139.146141,97.51566,-179.834794,17.315389,-107.139401,0.12196,-0.586903,0.79554,0.088245
392199.146141,97.51545,-179.840272,16.159724,-108.229502,0.114684,-0.580186,0.802264,0.081269
392259.146141,97.515229,-179.848549,14.937941,-109.232047,0.106738,-0.574,0.808471,0.074202
392319.146141,97.514998,-179.859388,13.655975,-110.144924,0.098172,-0.568359,0.814145,0.06707
392379.146141,97.514758,-179.872525,12.319797,-110.966545,0.089041,-0.563276,0.819271,0.059892
392439.146141,97.514509,-179.887684,10.93538,-111.695747,0.0794,-0.55876,0.823837,0.052684
392499.146141,97.514253,-179.904578,9.508682,-112.33172,0.06931,-0.554817,0.827833,0.04546
392559.146141,97.51399,-179.922915,8.045626,-112.87392,0.058828,-0.551453,0.831251,0.038226
