ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
389739.039534,97.513179,-3.236233,-7.564537,-66.967276,-0.830867,0.059879,0.039451,0.551831
389799.039534,97.513379,-2.65921,-6.062269,-66.5501,-0.833979,0.048377,0.031484,0.54877
389859.039534,97.513584,-2.035567,-4.537588,-66.227352,-0.836416,0.03649,0.023457,0.546377
389919.039534,97.513791,-1.376338,-2.996288,-65.999061,-0.838157,0.024308,0.015386,0.54467
389979.039534,97.514001,-0.693244,-1.444127,-65.865213,-0.839187,0.011928,0.007288,0.543663
390039.039534,97.514211,0.001538,0.113169,-65.825775,-0.839497,-5.48E-4,-8.22E-4,0.543363
390099.039534,97.514422,0.695615,1.669886,-65.880714,-0.839084,-0.013018,-0.008929,0.543772
390159.039534,97.514631,1.376613,3.220316,-66.030002,-0.837952,-0.025378,-0.017017,0.544887
390219.039534,97.514838,2.032415,4.758741,-66.273605,-0.836112,-0.037529,-0.025072,0.546699
390279.039534,97.515042,2.651397,6.279418,-66.611469,-0.833579,-0.049374,-0.033078,0.549195
390339.039534,97.515241,3.222662,7.776575,-67.043492,-0.830375,-0.060823,-0.041017,0.552354
390399.039534,97.515435,3.736243,9.244399,-67.569494,-0.826528,-0.071794,-0.048873,0.556155
390459.039534,97.515623,4.183269,10.677032,-68.189163,-0.822068,-0.082213,-0.056626,0.560569
390519.039534,97.515803,4.55608,12.068577,-68.902003,-0.817029,-0.092017,-0.064256,0.565568
390579.039534,97.515976,4.84834,13.413096,-69.707262,-0.811447,-0.101152,-0.071742,0.571117
390639.039534,97.516138,5.055115,14.70463,-70.60386,-0.805359,-0.109575,-0.079062,0.577182
390699.039534,97.516291,5.172941,15.937216,-71.590301,-0.798804,-0.117251,-0.086191,0.583726
390759.039534,97.516433,5.199865,17.104919,-72.664593,-0.79182,-0.124155,-0.093104,0.590711
390819.039534,97.516563,5.135457,18.201868,-73.824155,-0.784444,-0.130272,-0.099775,0.598099
390879.039534,97.516681,4.980816,19.222301,-75.065736,-0.776715,-0.135593,-0.106175,0.605851
390939.039534,97.516785,4.738565,20.160628,-76.385337,-0.768668,-0.140118,-0.112277,0.61393
390999.039534,97.516876,4.41282,21.011488,-77.778143,-0.76034,-0.143851,-0.118051,0.622297
391059.039534,97.516953,4.009148,21.769828,-79.238483,-0.751765,-0.146804,-0.123468,0.630915
391119.039534,97.517015,3.534495,22.430972,-80.759808,-0.742976,-0.148991,-0.128495,0.639747
391179.039534,97.517061,2.997097,22.990709,-82.334701,-0.734007,-0.150431,-0.133102,0.648759
391239.039534,97.517092,2.406359,23.445363,-83.954922,-0.724888,-0.151146,-0.137257,0.657915
391299.039534,97.517107,1.772708,23.791875,-85.611488,-0.715653,-0.15116,-0.140929,0.667181
391359.039534,97.517106,1.107409,24.027864,-87.294791,-0.706331,-0.150502,-0.144086,0.676525
391419.039534,97.517089,0.422357,24.151679,-88.994743,-0.696954,-0.149198,-0.146696,0.685913
391479.039534,97.517056,-0.27016,24.162445,-90.700951,-0.687552,-0.147278,-0.148728,0.695314
391539.039534,97.517006,-0.957699,24.060075,-92.402899,-0.678158,-0.144774,-0.15015,0.704696
391599.039534,97.51694,-1.62792,23.845279,-94.090151,-0.668803,-0.141715,-0.150934,0.714029
391659.039534,97.516858,-2.268826,23.519544,-95.752541,-0.65952,-0.138134,-0.151051,0.723282
391719.039534,97.51676,-2.869003,23.085099,-97.380348,-0.65034,-0.134063,-0.150472,0.732423
391779.039534,97.516646,-3.417835,22.544865,-98.964452,-0.641299,-0.129533,-0.149173,0.74142
391839.039534,97.516517,-3.905692,21.902392,-100.496454,-0.63243,-0.124576,-0.147132,0.750243
391899.039534,97.516373,-4.324091,21.161785,-101.968765,-0.62377,-0.119223,-0.144328,0.758859
391959.039534,97.516215,-4.66582,20.327629,-103.374658,0.615354,0.113506,0.140746,-0.767233
392019.039534,97.516043,-4.925031,19.404904,-104.708281,0.60722,0.107453,0.136374,-0.775332
392079.039534,97.515858,-5.097313,18.398916,-105.964642,0.599406,0.101095,0.131206,-0.78312
392139.039534,97.51566,-5.179746,17.315216,-107.139571,0.59195,0.094461,0.125241,-0.790561
392199.039534,97.51545,-5.170924,16.15954,-108.22966,0.58489,0.087579,0.118487,-0.797618
392259.039534,97.515229,-5.070977,14.937747,-109.232191,0.578265,0.080475,0.110957,-0.804252
392319.039534,97.514998,-4.881569,13.655772,-110.145055,0.572114,0.073175,0.102674,-0.810425
392379.039534,97.514758,-4.605884,12.319586,-110.966661,0.566472,0.065703,0.093671,-0.816099
392439.039534,97.514509,-4.248594,10.935162,-111.69585,0.561376,0.058082,0.08399,-0.821236
392499.039534,97.514253,-3.815803,9.508457,-112.331808,0.556859,0.050334,0.073682,-0.8258
392559.039534,97.51399,-3.314956,8.045394,-112.873994,0.552952,0.04248,0.06281,-0.829756
392619.039534,97.513721,-2.754733,6.551855,-113.322067,0.549682,0.034538,0.051446,-0.833073
392679.039534,97.513448,-2.144917,5.033679,-113.675828,0.547074,0.026526,0.03967,-0.835723
392739.039534,97.513171,-1.496245,3.496666,-113.935169,0.545147,0.018462,0.027571,-0.837683
392799.039534,97.512892,-0.820226,1.946581,-114.100035,0.543916,0.010361,0.015244,-0.838937
392859.039534,97.512612,-0.128929,0.389168,-114.170394,0.543391,0.00224,0.00279,-0.839472
392919.039534,97.512331,0.565264,-1.16984,-114.146217,0.543576,-0.005887,-0.009689,-0.839284
392979.039534,97.512052,1.249912,-2.724712,-114.027473,0.544469,-0.014005,-0.02209,-0.838373
