ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
389738.388119,97.51318,179.80701,-7.563826,-66.967072,-0.037791,-0.832166,0.550588,-0.054085
389798.388119,97.51338,-179.560981,-6.061541,-66.549939,-0.02581,-0.834983,0.547717,-0.046302
389858.388119,97.513584,-178.932106,-4.536844,-66.227235,-0.013823,-0.837098,0.54554,-0.038238
389918.388119,97.513792,-178.310571,-2.995531,-65.99899,-0.001874,-0.838508,0.544063,-0.029945
389978.388119,97.514001,-177.700334,-1.443359,-65.865187,0.009995,-0.839213,0.543287,-0.021478
390038.388119,97.514212,-177.105155,0.113944,-65.825795,0.021745,-0.839216,0.543211,-0.012891
390098.388119,97.514422,-176.528656,1.670666,-65.880782,0.03334,-0.838522,0.54383,-0.004239
390158.388119,97.514631,-175.974382,3.221099,-66.030119,0.044744,-0.837141,0.545136,0.004423
390218.388119,97.514839,-175.445846,4.759523,-66.273771,0.055922,-0.835082,0.54712,0.013042
390278.388119,97.515042,-174.946574,6.280196,-66.611684,0.066839,-0.832359,0.549769,0.021565
390338.388119,97.515242,-174.480141,7.777346,-67.043759,0.07746,-0.828987,0.553067,0.029942
390398.388119,97.515436,-174.050178,9.245159,-67.569812,0.087749,-0.824985,0.556997,0.038126
390458.388119,97.515624,-173.660382,10.677779,-68.189534,0.097671,-0.820373,0.561538,0.046073
390518.388119,97.515804,-173.314493,12.069306,-68.902426,0.107187,-0.815176,0.566667,0.053741
390578.388119,97.515976,-173.016259,13.413803,-69.707739,0.116259,-0.809418,0.572358,0.061092
390638.388119,97.516139,-172.769383,14.705312,-70.60439,0.124848,-0.80313,0.578582,0.068095
390698.388119,97.516292,-172.577444,15.93787,-71.590885,0.132912,-0.796345,0.585309,0.07472
390758.388119,97.516433,-172.443807,17.10554,-72.665229,-0.140413,0.789095,-0.592504,-0.080942
390818.388119,97.516563,-172.371517,18.202452,-73.824843,-0.147309,0.78142,-0.600132,-0.086743
390878.388119,97.516681,-172.363184,19.222845,-75.066475,-0.153561,0.773359,-0.608154,-0.092108
390938.388119,97.516786,-172.420862,20.161127,-76.386124,-0.159131,0.764954,-0.616529,-0.097028
390998.388119,97.516877,-172.545932,21.011939,-77.778976,-0.163981,0.75625,-0.625215,-0.101498
391058.388119,97.516953,-172.739,21.770227,-79.23936,-0.168078,0.747292,-0.634169,-0.105518
391118.388119,97.517015,-172.999808,22.431316,-80.760725,-0.171393,0.738126,-0.643346,-0.109091
391178.388119,97.517062,-173.32718,22.990993,-82.335653,-0.173896,0.728799,-0.6527,-0.112227
