ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
561746.869208,111.830673,-179.965707,0.007378,-89.999996,-2.57E-4,0.707107,-0.707107,1.66E-4
561806.869208,111.660245,-179.959441,0.010352,-89.999993,-3.14E-4,0.707107,-0.707107,1.86E-4
561866.869208,111.372537,-179.953515,0.013279,-89.999989,-3.69E-4,0.707107,-0.707107,2.05E-4
561926.869208,110.925167,-179.947991,0.016146,-89.999985,-4.21E-4,0.707107,-0.707107,2.21E-4
561986.869208,110.45585,-179.942926,0.018939,-89.999981,-4.69E-4,0.707107,-0.707107,2.35E-4
562046.869208,109.911847,-179.93837,0.021647,-89.999977,-5.14E-4,0.707107,-0.707107,2.47E-4
562106.869208,109.204062,-179.934369,0.024257,-89.999972,-5.55E-4,0.707107,-0.707107,2.55E-4
562166.869208,108.487458,-179.930958,0.026758,-89.999968,5.91E-4,-0.707107,0.707107,-2.61E-4
562226.869208,107.664524,-179.928168,0.029138,-89.999963,6.23E-4,-0.707107,0.707107,-2.63E-4
562286.869208,106.655732,-179.926026,0.031389,-89.999959,6.5E-4,-0.707107,0.707106,-2.63E-4
562346.869208,105.593369,-179.924554,0.033499,-89.999956,6.72E-4,-0.707107,0.707106,-2.59E-4
562406.869208,104.532814,-179.923761,0.03546,-89.999953,6.89E-4,-0.707107,0.707106,-2.52E-4
562466.869208,103.467796,-179.923638,0.037265,-89.99995,7.01E-4,-0.707107,0.707106,-2.41E-4
562526.869208,102.21342,-179.924166,0.038904,-89.999949,-7.08E-4,0.707107,-0.707106,2.28E-4
562586.869208,100.863613,-179.925325,0.040373,-89.999947,-7.1E-4,0.707107,-0.707106,2.12E-4
562646.869208,99.537257,-179.927095,0.041664,-89.999947,-7.07E-4,0.707107,-0.707106,1.93E-4
562706.869208,98.167062,-179.929449,0.042772,-89.999947,-6.99E-4,0.707107,-0.707106,1.71E-4
562766.869208,96.684422,-179.932351,0.043693,-89.999948,-6.87E-4,0.707107,-0.707106,1.48E-4
562826.869208,95.23642,-179.935747,0.044424,-89.99995,-6.71E-4,0.707107,-0.707106,1.22E-4
562886.869208,93.828249,-179.939572,0.04496,-89.999953,-6.5E-4,0.707107,-0.707106,9.5E-5
562946.869208,92.254647,-179.943756,0.045301,-89.999956,-6.27E-4,0.707107,-0.707107,6.8E-5
563006.869208,90.721762,-179.948236,0.045444,-89.999959,-6.0E-4,0.707107,-0.707107,3.9E-5
563066.869208,89.243098,-179.952955,0.04539,-89.999963,-5.7E-4,0.707107,-0.707107,1.0E-5
563126.869208,87.365189,-179.957855,0.045137,-89.999967,5.39E-4,-0.707107,0.707107,1.8E-5
563186.869208,85.380326,-179.96287,0.044688,-89.999971,5.05E-4,-0.707107,0.707107,4.7E-5
563246.869208,83.466404,-179.967929,0.044043,-89.999975,4.7E-4,-0.707107,0.707107,7.4E-5
563306.869208,81.762138,-179.972966,0.043205,-89.99998,4.33E-4,-0.707107,0.707107,1.0E-4
563366.869208,80.274112,-179.977924,0.042177,-89.999984,3.96E-4,-0.707107,0.707107,1.24E-4
563426.869208,78.868642,-179.982746,0.040964,-89.999988,3.59E-4,-0.707107,0.707107,1.46E-4
563486.869208,77.498283,-179.987377,0.039569,-89.999991,3.22E-4,-0.707107,0.707107,1.66E-4
563546.869208,75.854292,-179.991764,0.037999,-89.999995,2.85E-4,-0.707107,0.707107,1.84E-4
