ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2510783.185866,0.0,179.904272,-0.03357,-89.999944,-7.98E-4,-0.707107,0.707106,3.84E-4
2510841.543326,0.0,179.906503,-0.035468,-89.999942,-7.96E-4,-0.707107,0.707106,3.58E-4
2510880.483876,0.0,179.908033,-0.036652,-89.999941,-7.94E-4,-0.707107,0.707106,3.41E-4
2510880.483876,0.0,179.908033,-0.036652,-89.999941,-7.94E-4,-0.707107,0.707106,3.41E-4
2510940.483876,22.776989,179.910452,-0.03834,-89.99994,-7.89E-4,-0.707107,0.707106,3.16E-4
2511000.483876,23.466923,179.912948,-0.039859,-89.999939,-7.83E-4,-0.707107,0.707106,2.91E-4
2511060.483876,24.016908,179.915524,-0.041203,-89.999939,-7.76E-4,-0.707107,0.707106,2.67E-4
2511120.483876,24.691259,179.918191,-0.042366,-89.99994,-7.66E-4,-0.707107,0.707106,2.43E-4
2511180.483876,25.494801,179.92097,-0.043343,-89.99994,-7.55E-4,-0.707107,0.707106,2.2E-4
2511240.483876,26.421407,179.923895,-0.044133,-89.999941,-7.42E-4,-0.707107,0.707106,1.97E-4
2511300.483876,27.316446,179.927002,-0.04473,-89.999943,-7.26E-4,-0.707107,0.707106,1.74E-4
2511360.483876,28.187026,179.930326,-0.045135,-89.999945,-7.08E-4,-0.707107,0.707106,1.51E-4
2511420.483876,29.110193,179.933902,-0.045344,-89.999948,-6.88E-4,-0.707107,0.707106,1.28E-4
2511480.483876,30.082249,179.937761,-0.045358,-89.999951,-6.64E-4,-0.707107,0.707106,1.04E-4
2511540.483876,30.767916,179.941937,-0.045177,-89.999954,-6.37E-4,-0.707107,0.707106,8.0E-5
2511600.483876,31.477435,179.946458,-0.0448,-89.999958,-6.07E-4,-0.707107,0.707107,5.4E-5
2511660.483876,32.218138,179.951344,-0.044231,-89.999962,-5.73E-4,-0.707107,0.707107,2.7E-5
2511720.483876,33.27748,179.956604,-0.043471,-89.999967,-5.36E-4,-0.707107,0.707107,0.0
2511780.483876,34.476425,179.962244,-0.042523,-89.999972,-4.95E-4,-0.707107,0.707107,-2.9E-5
2511840.483876,35.700709,179.96827,-0.041391,-89.999977,-4.51E-4,-0.707107,0.707107,-6.0E-5
2511900.483876,36.647808,179.974688,-0.040079,-89.999982,-4.04E-4,-0.707107,0.707107,-9.1E-5
2511960.483876,37.418838,179.981502,-0.038592,-89.999988,-3.52E-4,-0.707107,0.707107,-1.24E-4
2512020.483876,38.207258,179.988708,-0.036936,-89.999993,-2.98E-4,-0.707107,0.707107,-1.58E-4
2512080.483876,38.970228,179.996292,-0.035118,-89.999998,-2.4E-4,-0.707107,0.707107,-1.94E-4
2512140.483876,39.701169,-179.995765,-0.033145,-90.000002,-1.78E-4,-0.707107,0.707107,-2.31E-4
2512200.483876,40.44624,-179.987495,-0.031026,-90.000007,-1.14E-4,-0.707107,0.707107,-2.69E-4
2512260.483876,41.181078,-179.978941,-0.028768,-90.000011,-4.8E-5,-0.707107,0.707107,-3.07E-4
2512320.483876,41.854484,-179.970155,-0.026381,-90.000014,-2.1E-5,0.707107,-0.707107,3.47E-4
2512380.483876,42.535807,-179.961194,-0.023875,-90.000016,-9.2E-5,0.707107,-0.707107,3.87E-4
2512440.483876,43.222487,-179.952112,-0.021262,-90.000018,-1.64E-4,0.707107,-0.707107,4.27E-4
2512500.483876,43.834056,-179.942965,-0.018552,-90.000018,-2.37E-4,0.707107,-0.707107,4.66E-4
2512560.483876,44.38186,-179.933822,-0.015756,-90.000018,-3.11E-4,0.707107,-0.707107,5.06E-4
2512620.483876,44.926295,-179.924756,-0.012889,-90.000017,-3.85E-4,0.707107,-0.707107,5.44E-4
2512680.483876,45.465085,-179.915846,-0.009961,-90.000015,-4.58E-4,0.707107,-0.707107,5.81E-4
2512740.483876,45.958085,-179.907166,-0.006986,-90.000011,-5.3E-4,0.707107,-0.707107,6.16E-4
2512800.483876,46.33602,-179.898784,-0.003978,-90.000007,-6.0E-4,0.707106,-0.707107,6.49E-4
2512860.483876,46.703966,-179.890774,-9.51E-4,-90.000002,-6.68E-4,0.707106,-0.707106,6.8E-4
2512920.483876,47.060282,-179.883216,0.002083,-89.999996,-7.33E-4,0.707106,-0.707106,7.08E-4
2512980.483876,47.338067,-179.876192,0.005109,-89.999989,-7.96E-4,0.707106,-0.707106,7.32E-4
2513040.483876,47.575419,-179.86978,0.008112,-89.999982,-8.54E-4,0.707106,-0.707106,7.53E-4
2513100.483876,47.794632,-179.864054,0.011081,-89.999974,-9.07E-4,0.707106,-0.707106,7.71E-4
2513160.483876,47.922214,-179.85908,0.014,-89.999966,-9.56E-4,0.707106,-0.707106,7.83E-4
2513220.483876,48.004358,-179.854924,0.016857,-89.999957,-9.99E-4,0.707106,-0.707106,7.91E-4
2513280.483876,48.060789,-179.851647,0.019639,-89.999949,-0.001037,0.707106,-0.707106,7.94E-4
2513340.483876,48.013091,-179.8493,0.022333,-89.999941,-0.001068,0.707106,-0.707106,7.92E-4
2513400.483876,47.934307,-179.847917,0.024926,-89.999934,-0.001092,0.707106,-0.707106,7.85E-4
2513460.483876,47.823196,-179.847517,0.027408,-89.999927,-0.00111,0.707106,-0.707106,7.72E-4
2513520.483876,47.605951,-179.848112,0.029768,-89.999921,-0.001121,0.707106,-0.707106,7.54E-4
2513580.483876,47.370392,-179.849714,0.031995,-89.999916,-0.001125,0.707106,-0.707106,7.3E-4
2513640.483876,47.107191,-179.852333,0.034079,-89.999912,-0.001121,0.707106,-0.707106,7.01E-4
2513700.483876,46.751847,-179.855969,0.036012,-89.999909,-0.001111,0.707106,-0.707106,6.67E-4
2513760.483876,46.384599,-179.860598,0.037785,-89.999908,-0.001093,0.707107,-0.707106,6.27E-4
2513820.483876,46.007077,-179.866179,0.03939,-89.999908,-0.001069,0.707107,-0.707106,5.83E-4
2513880.483876,45.532756,-179.872657,0.040822,-89.999909,-0.001038,0.707107,-0.707106,5.34E-4
2513940.483876,44.993586,-179.879969,0.042073,-89.999912,-0.001,0.707107,-0.707106,4.81E-4
2514000.483876,44.448358,-179.888045,0.043138,-89.999916,-9.57E-4,0.707107,-0.707106,4.25E-4
2514060.483876,43.899347,-179.896815,0.044014,-89.999921,-9.08E-4,0.707107,-0.707106,3.65E-4
2514120.483876,43.302634,-179.906208,0.044697,-89.999927,-8.55E-4,0.707107,-0.707106,3.03E-4
2514180.483876,42.613265,-179.916153,0.045182,-89.999934,-7.96E-4,0.707107,-0.707106,2.39E-4
2514240.483876,41.928786,-179.926571,0.04547,-89.999942,-7.34E-4,0.707107,-0.707106,1.73E-4
2514300.483876,41.25178,-179.93737,0.045557,-89.99995,-6.68E-4,0.707107,-0.707106,1.05E-4
2514360.483876,40.521774,-179.948458,0.045445,-89.999959,-5.98E-4,0.707107,-0.707107,3.8E-5
2514420.483876,39.772118,-179.959743,0.045132,-89.999968,-5.27E-4,0.707107,-0.707107,-3.0E-5
2514480.483876,39.036197,-179.971129,0.044621,-89.999978,-4.53E-4,0.707107,-0.707107,-9.7E-5
2514540.483876,38.275706,-179.982515,0.043913,-89.999987,-3.79E-4,0.707107,-0.707107,-1.63E-4
2514600.483876,37.481326,-179.99379,0.043011,-89.999995,-3.04E-4,0.707107,-0.707107,-2.27E-4
2514660.483876,36.704276,179.995148,0.041918,-90.000004,-2.29E-4,0.707107,-0.707107,-2.89E-4
2514720.483876,35.786447,179.984385,0.040639,-90.000011,-1.54E-4,0.707107,-0.707107,-3.47E-4
2514780.483876,34.553178,179.973985,0.039179,-90.000018,-8.1E-5,0.707107,-0.707107,-4.02E-4
2514840.483876,33.345685,179.964002,0.037544,-90.000024,-1.0E-5,0.707107,-0.707107,-4.54E-4
2514900.483876,32.255265,179.954492,0.035741,-90.000028,6.0E-5,0.707107,-0.707107,-5.01E-4
2514960.483876,31.50801,179.945509,0.033777,-90.000032,1.28E-4,0.707107,-0.707107,-5.45E-4
2515020.483876,30.792173,179.937102,0.031661,-90.000035,1.93E-4,0.707107,-0.707107,-5.83E-4
2515080.483876,30.109254,179.929317,0.029401,-90.000036,2.55E-4,0.707107,-0.707107,-6.18E-4
2515140.483876,29.133547,179.92219,0.027008,-90.000037,3.13E-4,0.707106,-0.707107,-6.47E-4
2515200.483876,28.20275,179.915752,0.024493,-90.000036,3.69E-4,0.707106,-0.707107,-6.71E-4
2515260.483876,27.325085,179.910017,0.021866,-90.000034,4.2E-4,0.707106,-0.707107,-6.9E-4
2515320.483876,26.429624,179.904988,0.019139,-90.000032,4.68E-4,0.707106,-0.707107,-7.04E-4
2515380.483876,25.494407,179.900656,0.016325,-90.000028,5.12E-4,0.707106,-0.707107,-7.14E-4
2515440.483876,24.683556,179.897003,0.013437,-90.000024,5.53E-4,0.707106,-0.707107,-7.18E-4
2515500.483876,24.003307,179.894004,0.010488,-90.000019,-5.89E-4,-0.707106,0.707107,7.19E-4
2515560.483876,23.449262,179.891637,0.007491,-90.000014,-6.22E-4,-0.707106,0.707107,7.15E-4
2515620.483876,22.765019,179.889873,0.004461,-90.000009,-6.52E-4,-0.707106,0.707106,7.07E-4
2515637.349182,22.576276,179.889482,0.003606,-90.000007,-6.6E-4,-0.707106,0.707106,7.04E-4
2515637.34928,0.0,179.889482,0.003606,-90.000007,-6.6E-4,-0.707106,0.707106,7.04E-4
2515675.547539,0.0,179.888754,0.001663,-90.000003,-6.76E-4,-0.707106,0.707106,6.97E-4
2515735.547539,0.0,179.888032,-0.001391,-89.999997,-6.99E-4,-0.707106,0.707106,6.82E-4
2515795.547539,0.0,179.887773,-0.004437,-89.999991,-7.2E-4,-0.707106,0.707106,6.65E-4
2515855.547539,0.0,179.887927,-0.007461,-89.999985,-7.38E-4,-0.707106,0.707106,6.46E-4
2515915.547539,0.0,179.888451,-0.010449,-89.99998,-7.53E-4,-0.707107,0.707106,6.24E-4
2515975.547539,0.0,179.889309,-0.013387,-89.999974,-7.66E-4,-0.707107,0.707106,6.0E-4
2516035.547539,0.0,179.890458,-0.016262,-89.999969,-7.76E-4,-0.707107,0.707106,5.76E-4
2516095.547539,0.0,179.891857,-0.01906,-89.999964,-7.85E-4,-0.707107,0.707106,5.5E-4
2516155.547539,0.0,179.893467,-0.02177,-89.99996,-7.92E-4,-0.707107,0.707106,5.23E-4
2516215.547539,0.0,179.895259,-0.024379,-89.999955,-7.97E-4,-0.707107,0.707106,4.96E-4
2516275.547539,0.0,179.897205,-0.026877,-89.999952,-8.0E-4,-0.707107,0.707106,4.68E-4
2516335.547539,0.0,179.899276,-0.029251,-89.999949,-8.02E-4,-0.707107,0.707106,4.41E-4
2516395.547539,0.0,179.901446,-0.031492,-89.999946,-8.02E-4,-0.707107,0.707106,4.14E-4
2516455.547539,0.0,179.903697,-0.033592,-89.999944,-8.02E-4,-0.707107,0.707106,3.87E-4
2516514.884611,0.0,179.905992,-0.03552,-89.999942,-7.99E-4,-0.707107,0.707106,3.61E-4
