ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2510775.67696,0.0,-0.104687,-23.549447,-89.958173,-0.692348,0.144875,0.143716,0.692106
2510833.972766,0.0,-0.101776,-22.971203,-89.96028,-0.693062,0.141367,0.140234,0.692831
2510872.917847,0.0,-0.099769,-22.534048,-89.961765,-0.69359,0.138714,0.137598,0.693368
2510872.917848,0.0,-0.099769,-22.534048,-89.961765,-0.69359,0.138714,0.137598,0.693368
2510932.917847,93.731408,-0.096591,-21.781177,-89.964159,-0.694476,0.13414,0.133053,0.694267
2510992.917847,93.228636,-0.09332,-20.932677,-89.966659,-0.695439,0.12898,0.127923,0.695244
2511052.917847,92.675579,-0.089967,-19.989584,-89.969245,-0.696466,0.123238,0.122211,0.696285
2511112.917847,92.03656,-0.086534,-18.953371,-89.971894,-0.69754,0.116921,0.115924,0.697373
2511172.917847,91.431945,-0.083009,-17.826032,-89.974589,-0.698644,0.110037,0.109074,0.698493
2511232.917847,90.864787,-0.079372,-16.610187,-89.977311,-0.699759,0.102602,0.101673,0.699623
2511292.917847,90.320048,-0.075597,-15.309173,-89.98004,-0.700866,0.094633,0.093741,0.700746
2511352.917847,89.704919,-0.071659,-13.927136,-89.982753,-0.701943,0.086154,0.085302,0.701839
2511412.917847,89.148546,-0.067533,-12.469103,-89.985419,-0.702969,0.077196,0.076387,0.70288
2511472.917847,88.654289,-0.063193,-10.941031,-89.988006,-0.703923,0.067792,0.06703,0.70385
2511532.917847,88.225253,-0.058611,-9.349836,-89.990478,-0.704783,0.057986,0.057275,0.704725
2511592.917847,87.864231,-0.053762,-7.703374,-89.992793,-0.705532,0.047827,0.047171,0.705487
2511652.917847,87.57365,-0.048625,-6.010404,-89.994909,-0.70615,0.037369,0.036773,0.706119
2511712.917847,87.35552,-0.043186,-4.280492,-89.996777,-0.706623,0.026673,0.026142,0.706604
2511772.917847,87.211389,-0.037431,-2.52388,-89.998352,-0.70694,0.015803,0.015342,0.70693
