ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2459184.56043,0.0,-179.837029,47.06391,90.119314,-0.281692,-0.648028,-0.648575,0.282948
2459244.56043,0.0,-179.837209,47.356601,90.119746,-0.283352,-0.647305,-0.647852,0.284598
2459304.56043,0.0,-179.837943,47.621759,90.119714,-0.284856,-0.646647,-0.647192,0.28609
2459364.56043,0.0,-179.839182,47.856162,90.11924,-0.286187,-0.646064,-0.646604,0.287404
2459424.56043,0.0,-179.840879,48.056772,90.118356,-0.287327,-0.645564,-0.646098,0.288526
2459484.56043,0.0,-179.842988,48.220788,90.117087,-0.288262,-0.645155,-0.645682,0.28944
2459544.56043,0.0,-179.845469,48.345686,90.115461,-0.288976,-0.644844,-0.645363,0.290132
2459604.56043,0.0,-179.848281,48.429271,90.113507,-0.289458,-0.644637,-0.645147,0.290591
2459664.56043,0.0,-179.851393,48.469711,90.111248,-0.289698,-0.64454,-0.645039,0.290806
2459724.56043,0.0,-179.854783,48.465575,90.108703,-0.289687,-0.644556,-0.645044,0.290771
2459775.252189,0.0,-179.85785,48.426588,90.106343,-0.289479,-0.64466,-0.645137,0.29054
2459814.557341,0.0,-179.860346,48.373729,90.104391,-0.28919,-0.644798,-0.645267,0.290234
2459814.557341,0.0,-179.860346,48.373729,90.104391,-0.28919,-0.644798,-0.645267,0.290234
2459874.557341,14.192742,-179.86434,48.254766,90.101218,-0.288533,-0.645105,-0.645561,0.289551
2459934.557341,14.02576,-179.868544,48.089723,90.097828,-0.287617,-0.645528,-0.645969,0.288607
2459994.557341,13.840176,-179.872964,47.879218,90.094227,-0.286445,-0.646063,-0.64649,0.287406
2460054.557341,13.655565,-179.877613,47.624333,90.090413,-0.285022,-0.646708,-0.647119,0.285953
2460114.557341,13.465938,-179.882504,47.326594,90.086387,-0.283355,-0.647456,-0.64785,0.284256
2460174.557341,13.255122,-179.887644,46.987951,90.082156,-0.281456,-0.6483,-0.648677,0.282324
2460234.557341,13.047694,-179.893039,46.610749,90.077729,-0.279338,-0.649234,-0.649593,0.28017
2460294.557341,12.843985,-179.898698,46.197682,90.073113,-0.277013,-0.650248,-0.650587,0.277809
2460354.557341,12.62121,-179.904631,45.751754,90.068315,-0.2745,-0.651332,-0.651652,0.275256
2460414.557341,12.38968,-179.910853,45.276228,90.06334,-0.271815,-0.652478,-0.652776,0.272529
2460474.557341,12.164235,-179.917385,44.774574,90.058187,-0.268978,-0.653675,-0.65395,0.269647
2460534.557341,11.945242,-179.924263,44.250416,90.052849,-0.266009,-0.654911,-0.655164,0.266629
2460594.557341,11.733073,-179.931517,43.707478,90.04732,-0.262929,-0.656178,-0.656406,0.263496
2460654.557341,11.519168,-179.939157,43.149535,90.041611,-0.259759,-0.657465,-0.657666,0.260269
2460714.557341,11.298816,-179.947177,42.580361,90.035742,-0.256521,-0.658762,-0.658936,0.256968
2460774.557341,11.082899,-179.955563,42.003677,90.029736,-0.253235,-0.66006,-0.660206,0.253616
2460834.557341,10.8772,-179.964312,41.423116,90.023612,-0.249923,-0.66135,-0.661467,0.250232
2460894.557341,10.682219,-179.973424,40.84218,90.01738,-0.246605,-0.662624,-0.662711,0.246838
2460954.557341,10.498491,-179.982891,40.264217,90.011058,-0.243301,-0.663876,-0.663931,0.243452
2461014.557341,10.313151,-179.992693,39.692391,90.004667,-0.240028,-0.665098,-0.665122,0.240093
2461074.557341,10.135788,179.997203,39.129671,89.998235,-0.236804,-0.666285,-0.666276,0.236779
2461134.557341,9.971156,179.986833,38.578811,89.991789,-0.233646,-0.667432,-0.66739,0.233526
2461194.557341,9.819977,179.976242,38.042347,89.985359,-0.230568,-0.668535,-0.66846,0.230349
2461254.557341,9.684373,179.965477,37.522596,89.978973,-0.227584,-0.66959,-0.669482,0.227264
2461314.557341,9.556669,179.954587,37.021659,89.972656,-0.224707,-0.670595,-0.670453,0.224283
2461374.557341,9.42693,179.943629,36.541425,89.966437,-0.221948,-0.671546,-0.671371,0.221418
2461434.557341,9.301019,179.932664,36.083587,89.960342,-0.219318,-0.672443,-0.672235,0.218679
2461494.557341,9.196836,179.921764,35.64965,89.954402,-0.216824,-0.673283,-0.673043,0.216078
2461554.557341,9.759905,179.911005,35.240949,89.948649,-0.214476,-0.674067,-0.673795,0.213621
2461614.557341,10.117106,179.900468,34.858663,89.943112,-0.21228,-0.674792,-0.67449,0.211319
2461674.557341,10.261472,179.890236,34.50383,89.937823,-0.210242,-0.675459,-0.675128,0.209176
2461734.557341,10.192587,179.880394,34.177367,89.932811,-0.208368,-0.676068,-0.675709,0.207201
2461794.557341,9.93101,179.871028,33.880083,89.928103,-0.206663,-0.676618,-0.676233,0.205399
2461854.557341,9.926655,179.862217,33.6127,89.923727,-0.20513,-0.677109,-0.676699,0.203774
2461914.557341,9.849065,179.854043,33.375863,89.919705,-0.203773,-0.677541,-0.677109,0.202332
2461974.557341,9.827798,179.846584,33.170162,89.916062,-0.202596,-0.677915,-0.677462,0.201077
2462034.557341,9.633799,179.839917,32.99614,89.912821,-0.201601,-0.678229,-0.677759,0.200012
2462094.557341,9.255685,179.83411,32.854308,89.910003,-0.200792,-0.678485,-0.677999,0.199143
2462154.557341,8.893701,179.829222,32.745158,89.907625,-0.200172,-0.678682,-0.678182,0.198471
2462214.557341,8.58399,179.825308,32.669173,89.905703,-0.199742,-0.678819,-0.678309,0.198001
