ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2510704.010393,0.0,-179.819121,-23.230676,-80.229046,-0.128544,-0.749301,0.630879,-0.154973
2510762.768072,0.0,-179.826053,-22.5496,-78.683641,-0.122794,-0.758639,0.621481,-0.15215
2510801.696362,0.0,-179.832373,-22.045046,-77.694031,-0.118807,-0.76463,0.615453,-0.149808
2510801.696363,0.0,-179.832373,-22.045046,-77.694031,-0.118807,-0.76463,0.615453,-0.149808
2510861.696362,96.205477,-179.844583,-21.187764,-76.227152,-0.112425,-0.773531,0.606505,-0.145471
2510921.696362,96.205575,-179.859468,-20.238642,-74.836353,-0.1058,-0.781997,0.598004,-0.140277
2510981.696362,96.205686,-179.876639,-19.20333,-73.526696,-0.09898,-0.789999,0.589983,-0.134259
2511041.696362,96.20581,-179.895688,-18.087706,-72.302331,-0.092003,-0.797509,0.582468,-0.127456
2511101.696362,96.205946,-179.9162,-16.897815,-71.166574,-0.084907,-0.804507,0.575483,-0.119913
2511161.696362,96.206094,-179.937767,-15.639794,-70.121999,-0.077719,-0.810971,0.569046,-0.111679
2511221.696362,96.206252,-179.959997,-14.319831,-69.170535,-0.070464,-0.816887,0.56317,-0.10281
2511281.696362,96.206419,-179.982513,-12.944113,-68.313567,-0.063161,-0.82224,0.557867,-0.09336
2511341.696362,96.206595,179.995033,-11.518804,-67.552039,-0.055826,-0.827019,0.553145,-0.08339
2511401.696362,96.206779,179.972967,-10.050016,-66.886544,-0.048468,-0.831213,0.54901,-0.072959
2511461.696362,96.20697,179.951589,-8.5438,-66.317409,-0.041096,-0.834816,0.545467,-0.062129
2511521.696362,96.207166,179.931173,-7.00614,-65.844777,-0.033712,-0.837819,0.542518,-0.050964
2511581.696362,96.207368,179.91197,-5.442951,-65.468665,-0.02632,-0.840218,0.540165,-0.039525
2511641.696362,96.207573,179.894209,-3.860088,-65.189022,-0.01892,-0.842009,0.53841,-0.027878
2511701.696362,96.20778,179.8781,-2.263355,-65.005773,-0.01151,-0.843188,0.537255,-0.016085
2511761.696362,96.207989,179.863833,-0.658518,-64.918853,-0.004087,-0.843754,0.536699,-0.004211
2511821.696362,96.208199,179.851583,0.948682,-64.928228,0.003351,-0.843704,0.536743,0.00768
2511881.696362,96.208408,179.841509,2.552507,-65.033898,0.010807,-0.843039,0.537389,0.019525
2511941.696362,96.208615,179.833752,4.147211,-65.235903,0.018283,-0.841759,0.538637,0.031258
2512001.696362,96.20882,179.828441,5.727019,-65.534307,0.025781,-0.839867,0.540487,0.042817
2512061.696362,96.20902,179.825684,7.286116,-65.929181,0.0333,-0.837363,0.542939,0.054137
2512121.696362,96.209216,179.825572,8.81863,-66.420565,0.040839,-0.834253,0.545994,0.065155
2512181.696362,96.209406,179.828173,10.318628,-67.008427,0.048393,-0.83054,0.549649,0.075808
2512241.696362,96.209588,179.833528,11.780105,-67.692591,0.055956,-0.826232,0.553902,0.086034
2512301.696362,96.209763,179.841646,13.19699,-68.47268,-0.063515,0.821336,-0.558749,-0.095772
2512361.696362,96.209929,179.852499,14.563154,-69.348035,-0.071056,0.815862,-0.564184,-0.104962
2512421.696362,96.210086,179.866018,15.87242,-70.317629,-0.07856,0.809821,-0.570197,-0.113548
2512481.696362,96.210231,179.88208,17.118592,-71.379976,-0.086002,0.803229,-0.576777,-0.121473
2512541.696362,96.210365,179.900511,18.295485,-72.533023,-0.093353,0.796101,-0.583907,-0.128689
2512601.696362,96.210487,179.921073,19.396971,-73.774048,-0.100575,0.788459,-0.591567,-0.135148
2512661.696362,96.210596,179.943464,20.417034,-75.09957,-0.107629,0.780326,-0.599733,-0.140809
2512721.696362,96.210691,179.967319,21.349835,-76.505259,-0.114465,0.771731,-0.608374,-0.145638
2512781.696362,96.210772,179.992207,22.189785,-77.985873,-0.121033,0.762705,-0.617454,-0.149607
2512841.696362,96.210839,-179.982357,22.931629,-79.535208,-0.127273,0.753286,-0.626933,-0.152697
2512901.696362,96.21089,-179.956908,23.570535,-81.146076,-0.133124,0.743516,-0.636764,-0.1549
2512961.696362,96.210925,-179.932012,24.102179,-82.810322,-0.13852,0.73344,-0.646897,-0.156215
2513021.696362,96.210945,-179.908247,24.522842,-84.518888,-0.143397,0.72311,-0.657274,-0.156652
2513081.696362,96.210948,-179.886186,24.829484,-86.261916,-0.147687,0.712582,-0.667837,-0.156232
2513141.696362,96.210935,-179.866369,25.019822,-88.028896,-0.151327,0.701915,-0.678524,-0.154986
2513201.696362,96.210905,-179.849284,25.092382,-89.808851,-0.154255,0.69117,-0.689271,-0.152952
2513261.696362,96.210859,-179.835341,25.046536,-91.590536,-0.156417,0.680412,-0.700014,-0.150178
2513321.696362,96.210796,-179.82486,24.882522,-93.362663,-0.157766,0.669705,-0.71069,-0.146717
2513381.696362,96.210717,-179.818057,24.601436,-95.114115,-0.158261,0.659112,-0.721236,-0.142628
2513441.696362,96.210621,-179.815036,24.205203,-96.834163,-0.157874,0.648698,-0.731594,-0.137973
2513501.696362,96.210509,-179.815794,23.696534,-98.512666,-0.156585,0.63852,-0.74171,-0.132816
2513561.696362,96.210382,-179.820222,23.07886,-100.140227,-0.154385,0.628635,-0.751531,-0.127218
2513621.696362,96.210239,-179.828124,22.356253,-101.70832,-0.151275,0.619094,-0.761012,-0.121242
2513681.696362,96.210082,-179.839223,21.533344,-103.209358,-0.147267,0.609944,-0.770109,-0.114944
2513741.696362,96.20991,-179.853183,20.615232,-104.636722,-0.142381,0.601226,-0.778786,-0.108379
2513801.696362,96.209724,-179.869625,19.607395,-105.984763,-0.136647,0.592976,-0.78701,-0.101596
2513861.696362,96.209525,-179.888143,18.515612,-107.248766,-0.130101,0.585224,-0.794752,-0.094637
2513921.696362,96.209314,-179.90832,17.345877,-108.424894,-0.122785,0.577997,-0.801985,-0.08754
2513981.696362,96.209091,-179.929737,16.104337,-109.510107,-0.114748,0.571314,-0.80869,-0.080338
2514041.696362,96.208857,-179.951986,14.797229,-110.502067,-0.106043,0.565192,-0.814847,-0.073056
2514101.696362,96.208614,-179.974677,13.430835,-111.399036,-0.096725,0.559645,-0.82044,-0.065717
2514161.696362,96.208361,-179.997439,12.011444,-112.19977,-0.086855,0.554684,-0.825457,-0.058337
2514221.696362,96.2081,179.980072,10.54532,-112.903431,-0.076492,0.550314,-0.829885,-0.050929
2514281.696362,96.207832,179.958174,9.03869,-113.509489,-0.0657,0.546543,-0.833715,-0.043502
2514341.696362,96.207557,179.937162,7.497728,-114.017644,-0.054543,0.543375,-0.83694,-0.036061
2514401.696362,96.207278,179.917303,5.928554,-114.427758,-0.043085,0.540811,-0.839552,-0.028609
2514461.696362,96.206994,179.898844,4.337235,-114.73979,-0.031392,0.538855,-0.841548,-0.021147
2514521.696362,96.206708,179.882009,2.729793,-114.953749,-0.019531,0.537508,-0.842922,-0.013674
2514581.696362,96.20642,179.867002,1.112214,-115.06966,-0.007566,0.536771,-0.843672,-0.006189
2514641.696362,96.20613,179.854011,-0.509537,-115.087537,0.004436,0.536645,-0.843796,0.001311
2514701.696362,96.205842,179.843205,-2.129504,-115.007375,0.016408,0.537131,-0.843293,0.008829
2514761.696362,96.205554,179.834737,-3.741721,-114.829143,0.028284,0.538229,-0.842165,0.016368
2514821.696362,96.205269,179.828742,-5.340202,-114.552794,0.039999,0.539941,-0.840411,0.023927
2514881.696362,96.204988,179.825337,-6.918928,-114.178289,0.051485,0.542266,-0.838036,0.031509
2514941.696362,96.204712,179.82462,-8.47183,-113.705623,0.062678,0.545203,-0.835042,0.03911
2515001.696362,96.204441,179.826664,-9.992788,-113.134875,0.073512,0.548751,-0.831435,0.046727
2515061.696362,96.204177,179.831515,-11.475623,-112.466262,0.083924,0.552907,-0.827222,0.054352
2515121.696362,96.203921,179.839186,-12.914101,-111.700208,0.09385,0.557668,-0.82241,0.061976
2515181.696362,96.203673,179.849653,-14.301942,-110.837425,0.103229,0.563025,-0.81701,0.069582
2515241.696362,96.203436,179.862849,-15.632831,-109.878994,0.112003,0.56897,-0.811034,0.077153
2515301.696362,96.203209,179.878653,-16.900451,-108.826465,0.120115,0.575491,-0.804497,0.084664
2515361.696362,96.202993,179.896891,-18.098511,-107.681949,0.127512,0.58257,-0.797417,0.092084
2515421.696362,96.202789,179.917326,-19.220797,-106.448228,-0.134148,-0.590188,0.789814,-0.09938
2515481.696362,96.202598,179.939656,-20.26122,-105.128849,-0.13998,-0.598318,0.781714,-0.106508
2515541.696362,96.202421,179.963512,-21.213889,-103.728213,-0.144974,-0.606931,0.773145,-0.113423
2515557.818112,96.202376,179.970128,-21.454178,-103.338682,-0.146168,-0.609323,0.770766,-0.115237
2515557.818213,0.0,179.970128,-21.45418,-103.338679,-0.146168,-0.609323,0.770766,-0.115237
2515596.004025,0.0,179.986061,-21.995817,-102.394826,-0.148746,-0.615112,0.765012,-0.119453
2515656.004025,0.0,-179.98842,-22.766043,-100.854924,-0.152071,-0.624539,0.755644,-0.12581
2515716.004025,0.0,-179.962781,-23.433237,-99.251922,-0.1545,-0.634328,0.745916,-0.131787
2515776.004025,0.0,-179.937591,-23.993049,-97.593962,-0.156033,-0.644428,0.735874,-0.137319
2515836.004025,0.0,-179.913434,-24.441741,-95.890094,-0.156679,-0.654782,0.725569,-0.142341
2515896.004025,0.0,-179.890888,-24.776263,-94.150166,-0.156458,-0.665332,0.715058,-0.146786
