ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2510699.441433,0.0,-3.974277,-23.231105,-80.230414,-0.74414,0.155628,0.132001,0.636091
2510758.254587,0.0,-4.475934,-22.549424,-78.683533,-0.753034,0.153468,0.126813,0.627141
2510797.180464,0.0,-4.767431,-22.044898,-77.693992,-0.758807,0.151616,0.12317,0.621332
2510797.180464,0.0,-4.767431,-22.044898,-77.693992,-0.758807,0.151616,0.12317,0.621332
2510857.180464,96.20548,-5.14801,-21.187613,-76.227123,-0.767502,0.148091,0.117255,0.612586
2510917.180464,96.205578,-5.439679,-20.23849,-74.836336,-0.775921,0.14374,0.111001,0.604123
2510977.180464,96.205689,-5.637583,-19.203177,-73.526691,-0.784027,0.138553,0.10444,0.595984
2511037.180464,96.205813,-5.738452,-18.087556,-72.302338,-0.791784,0.132529,0.097603,0.588207
2511097.180464,96.205949,-5.740618,-16.897667,-71.166594,-0.799154,0.12567,0.090519,0.580832
2511157.180464,96.206097,-5.644031,-15.639651,-70.122031,-0.806098,0.117989,0.083215,0.573899
2511217.180464,96.206255,-5.450258,-14.319694,-69.170578,-0.812575,0.109506,0.075719,0.567448
2511277.180464,96.206422,-5.162471,-12.943984,-68.313622,-0.818546,0.100252,0.068055,0.561516
2511337.180464,96.206598,-4.785419,-11.518684,-67.552104,-0.823971,0.090268,0.060247,0.556142
2511397.180464,96.206782,-4.325376,-10.049907,-66.886619,-0.828811,0.079605,0.052318,0.551361
2511457.180464,96.206973,-3.790073,-8.543703,-66.317493,-0.833029,0.068327,0.044288,0.547205
2511517.180464,96.207169,-3.188603,-7.006055,-65.844869,-0.83659,0.056506,0.036176,0.543705
2511577.180464,96.207371,-2.531295,-5.44288,-65.468763,-0.839466,0.044228,0.028,0.540886
2511637.180464,96.207576,-1.829551,-3.860032,-65.189125,-0.841629,0.031583,0.019775,0.53877
2511697.180464,96.207783,-1.095648,-2.263315,-65.00588,-0.843059,0.018674,0.011519,0.537373
2511757.180464,96.207992,-0.342497,-0.658494,-64.918962,-0.843744,0.005606,0.003245,0.536706
2511817.180464,96.208202,0.416604,0.948689,-64.928338,-0.843677,-0.007511,-0.005034,0.536776
2511877.180464,96.208411,1.168235,2.552498,-65.034007,-0.842857,-0.020566,-0.013301,0.53758
2511937.180464,96.208618,1.899125,4.147185,-65.23601,-0.841293,-0.033451,-0.021545,0.539114
2511997.180464,96.208823,2.596414,5.726977,-65.534411,-0.838998,-0.046058,-0.02975,0.541364
2512057.180464,96.209023,3.247907,7.286058,-65.929279,-0.835995,-0.058289,-0.0379,0.544315
2512117.180464,96.209219,3.842296,8.818557,-66.420657,-0.832309,-0.07005,-0.04598,0.547942
2512177.180464,96.209409,4.369356,10.31854,-67.008509,-0.827971,-0.08126,-0.053971,0.552221
2512237.180464,96.209591,4.820103,11.780003,-67.692664,-0.823016,-0.091845,-0.061856,0.557121
2512297.180464,96.209766,5.186937,13.196877,-68.472742,-0.817481,-0.101744,-0.069613,0.562608
2512357.180464,96.209932,5.463739,14.563029,-69.348084,-0.811406,-0.110905,-0.07722,0.568646
2512417.180464,96.210088,5.645934,15.872286,-70.317665,-0.80483,-0.119289,-0.084654,0.575197
2512477.180464,96.210234,5.730532,17.11845,-71.379998,-0.797795,-0.126867,-0.09189,0.582223
2512537.180464,96.210368,5.716157,18.295336,-72.533029,-0.79034,-0.133617,-0.098901,0.589684
2512597.180464,96.21049,5.603067,19.396818,-73.774039,-0.782505,-0.13953,-0.10566,0.597539
2512657.180464,96.210599,5.393162,20.416878,-75.099544,-0.774328,-0.144603,-0.112138,0.605749
2512717.180464,96.210694,5.089963,21.349678,-76.505217,-0.765845,-0.148838,-0.118304,0.614274
2512777.180464,96.210775,4.698579,22.189629,-77.985815,-0.757093,-0.152246,-0.124127,0.623076
2512837.180464,96.210841,4.225649,22.931476,-79.535135,-0.748106,-0.154842,-0.129576,0.632116
2512897.180464,96.210893,3.679275,23.570386,-81.145988,-0.738918,-0.156645,-0.134619,0.641358
2512957.180464,96.210928,3.068918,24.102036,-82.81022,-0.729562,-0.157677,-0.139221,0.650765
2513017.180464,96.210948,2.405269,24.522706,-84.518773,-0.720069,-0.157965,-0.143351,0.660302
2513077.180464,96.210951,1.700059,24.829356,-86.26179,-0.71047,-0.157536,-0.146973,0.669935
2513137.180464,96.210938,0.965855,25.019703,-88.028762,-0.700798,-0.15642,-0.150054,0.679631
2513197.180464,96.210908,0.215815,25.092271,-89.808709,-0.691083,-0.154647,-0.15256,0.689357
2513257.180464,96.210862,-0.536574,25.046435,-91.59039,-0.681357,-0.15225,-0.154458,0.699081
2513317.180464,96.210799,-1.27776,24.882431,-93.362514,-0.671652,-0.149262,-0.155715,0.708772
2513377.180464,96.21072,-1.994415,24.601353,-95.113965,-0.662,-0.145715,-0.156299,0.718396
