ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2510661.74345,0.0,165.420877,-23.231755,-80.234528,-0.223736,-0.726549,0.645593,-0.072649
2510720.922429,0.0,164.580993,-22.545757,-78.678067,-0.224549,-0.735008,0.636341,-0.066422
2510759.832749,0.0,164.051391,-22.041192,-77.689079,-0.224796,-0.740462,0.630345,-0.062039
2510759.83275,0.0,164.051391,-22.041192,-77.689079,-0.224796,-0.740462,0.630345,-0.062039
2510819.832749,96.205505,163.272073,-21.18356,-76.222464,-0.22474,-0.74868,0.621259,-0.054839
2510879.832749,96.205603,162.540091,-20.234104,-74.831953,-0.224168,-0.756638,0.612396,-0.047115
2510939.832749,96.205714,161.857157,-19.198475,-73.522604,-0.223095,-0.764304,0.603785,-0.038884
2510999.832749,96.205839,161.224398,-18.082553,-72.298564,-0.221534,-0.771649,0.595458,-0.030168
2511059.832749,96.205975,160.642477,-16.892382,-71.163147,-0.219498,-0.778648,0.587442,-0.020992
2511119.832749,96.206122,160.111712,-15.634103,-70.118924,-0.216996,-0.785275,0.579764,-0.011385
2511179.832749,96.20628,159.632222,-14.313902,-69.167822,-0.214035,-0.791508,0.572453,-0.00138
2511239.832749,96.206447,159.204069,-12.937969,-68.311227,-0.210619,-0.797327,0.565533,0.008985
2511299.832749,96.206624,158.827412,-11.512466,-67.550078,-0.206749,-0.802715,0.559032,0.019669
2511359.832749,96.206808,158.502657,-10.043507,-66.884969,-0.20242,-0.807655,0.552975,0.030626
2511419.832749,96.206998,158.230621,-8.537144,-66.316227,-0.197624,-0.812135,0.547388,0.041805
2511479.832749,96.207195,158.012691,-6.99936,-65.843993,-0.192345,-0.816143,0.542299,0.053152
2511539.832749,96.207396,157.850997,-5.43607,-65.468283,-0.186563,-0.81967,0.537737,0.064605
2511599.832749,96.207601,157.748596,-3.853132,-65.189047,-0.180249,-0.822708,0.533733,0.076097
2511659.832749,96.207809,157.709673,-2.256348,-65.006211,-0.173367,-0.825252,0.530319,0.087554
2511719.832749,96.208018,157.739754,-0.651485,-64.919708,-0.16587,-0.827295,0.527531,0.098897
2511779.832749,96.208227,157.845953,0.955714,-64.929505,-0.157704,-0.828834,0.52541,0.110033
2511839.832749,96.208436,158.037235,2.559513,-65.035601,-0.1488,-0.829865,0.523999,0.120862
2511899.832749,96.208644,158.324713,4.154163,-65.238037,-0.139077,-0.830381,0.523348,0.131272
2511959.832749,96.208848,158.721953,5.73389,-65.536877,-0.128441,-0.830374,0.523511,0.141134
2512019.832749,96.209049,159.245293,7.292877,-65.93219,-0.116781,-0.829832,0.524547,0.150305
2512079.832749,96.209244,159.914123,8.825253,-66.424018,-0.103971,-0.828737,0.526522,0.158619
2512139.832749,96.209434,160.751089,10.325081,-67.012325,-0.089869,-0.82706,0.529505,0.165892
2512199.832749,96.209617,161.782109,11.786358,-67.696937,-0.074317,-0.82476,0.533568,0.171911
2512259.832749,96.209792,163.036073,13.203013,-68.477474,-0.057153,-0.821778,0.538781,0.176439
2512319.832749,96.209958,164.543981,14.568914,-69.353274,-0.038208,-0.81803,0.545205,0.179215
2512379.832749,96.210114,166.337259,15.877885,-70.32331,-0.017336,-0.813408,0.552886,0.179957
2512439.832749,96.210259,168.444867,17.123729,-71.386091,-0.005574,0.807768,-0.561838,-0.178376
2512499.832749,96.210393,170.888901,18.300262,-72.539561,-0.030557,0.800938,-0.572032,-0.174194
2512559.832749,96.210515,173.678598,19.401355,-73.780996,-0.057528,0.792726,-0.583374,-0.167184
2512619.832749,96.210624,176.803187,20.420995,-75.106907,-0.086238,0.78294,-0.595695,-0.15721
2512679.832749,96.210719,-179.775025,21.353341,-76.512961,-0.116229,0.771426,-0.608748,-0.144285
2512739.832749,96.2108,-176.124953,22.192808,-77.993911,-0.146827,0.758119,-0.622219,-0.128613
2512799.832749,96.210866,-172.345634,22.934141,-79.543548,-0.177176,0.743088,-0.635762,-0.110612
2512859.832749,96.210917,-168.557916,23.572511,-81.154677,-0.206322,0.726567,-0.649053,-0.090894
2512919.832749,96.210953,-164.889828,24.103599,-82.81914,-0.233343,0.708945,-0.661832,-0.070189
2512979.832749,96.210972,-161.459504,24.523686,-84.527874,-0.257467,0.690717,-0.67394,-0.04925
2513039.832749,96.210975,-158.360859,24.829738,-86.271017,-0.278161,0.672413,-0.685318,-0.028751
2513099.832749,96.210962,-155.655775,25.019475,-88.038057,-0.295159,0.654517,-0.695991,-0.009221
2513159.832749,96.210932,-153.373518,25.091428,-89.818013,-0.308424,0.637427,-0.706032,0.008982
2513219.832749,96.210886,-151.515505,25.044973,-91.599641,-0.318103,0.621422,-0.715532,0.025664
2513279.832749,96.210823,-150.062577,24.880354,-93.371653,-0.324449,0.606676,-0.72458,0.040758
2513339.832749,96.210743,-148.982431,24.598669,-95.122933,-0.327775,0.59327,-0.733244,0.054291
2513399.832749,96.210648,-148.235869,24.201849,-96.842756,-0.328407,0.581216,-0.741576,0.066348
2513459.832749,96.210536,-147.781411,23.692608,-98.520982,-0.326662,0.570483,-0.749604,0.077043
2513519.832749,96.210409,-147.578369,23.074382,-100.148221,-0.322832,0.561008,-0.757342,0.086506
2513579.832749,96.210266,-147.588709,22.351244,-101.71595,-0.317179,0.552716,-0.764789,0.094865
2513639.832749,96.210108,-147.778025,21.52783,-103.216587,-0.309937,0.545525,-0.771938,0.102241
2513699.832749,96.209936,-148.115941,20.609239,-104.643519,-0.301306,0.539353,-0.778773,0.108747
2513759.832749,96.209751,-148.576133,19.600954,-105.991101,-0.291465,0.534122,-0.785275,0.114481
2513819.832749,96.209552,-149.136151,18.508751,-107.254622,-0.280567,0.529758,-0.791423,0.119531
2513879.832749,96.20934,-149.777119,17.338628,-108.43025,-0.268747,0.526197,-0.797197,0.123975
2513939.832749,96.209117,-150.483384,16.096732,-109.514949,-0.256123,0.523376,-0.802574,0.127878
2513999.832749,96.208884,-151.242152,14.789301,-110.506384,-0.242801,0.521243,-0.807536,0.131297
2514059.832749,96.20864,-152.043144,13.422617,-111.402818,-0.228872,0.51975,-0.812063,0.13428
2514119.832749,96.208387,-152.878257,12.002967,-112.203012,-0.214421,0.518854,-0.816137,0.13687
2514179.832749,96.208126,-153.741273,10.536618,-112.906127,-0.199523,0.518518,-0.819744,0.1391
2514239.832749,96.207858,-154.62759,9.029796,-113.511635,-0.184247,0.518707,-0.82287,0.141
2514299.832749,96.207583,-155.533984,7.488674,-114.019238,-0.168657,0.519393,-0.825502,0.142593
2514359.832749,96.207304,-156.458407,5.919372,-114.428797,-0.152812,0.520548,-0.82763,0.143901
2514419.832749,96.20702,-157.399803,4.327959,-114.740272,-0.136765,0.522149,-0.829246,0.144938
2514479.832749,96.206734,-158.357959,2.720454,-114.953672,-0.120569,0.524174,-0.830344,0.145719
2514539.832749,96.206446,-159.333365,1.102846,-115.06902,-0.10427,0.526604,-0.830919,0.146251
2514599.832749,96.206156,-160.327096,-0.518901,-115.086332,-0.087916,0.529422,-0.830968,0.146544
2514659.832749,96.205868,-161.340709,-2.13883,-115.005601,-0.071549,0.532611,-0.83049,0.146601
2514719.832749,96.20558,-162.376148,-3.750976,-114.826796,-0.055211,0.536156,-0.829487,0.146425
2514779.832749,96.205295,-163.435656,-5.349351,-114.549871,-0.03894,0.540042,-0.82796,0.146016
2514839.832749,96.205014,-164.521691,-6.927935,-114.174785,-0.022776,0.544257,-0.825913,0.145375
2514899.832749,96.204738,-165.636847,-8.480659,-113.701534,-0.006753,0.548786,-0.823352,0.144496
2514959.832749,96.204467,-166.783766,-10.001403,-113.130199,0.009094,0.553616,-0.820286,0.143378
2515019.832749,96.204203,-167.965059,-11.483985,-112.460996,0.024732,0.558736,-0.816722,0.142013
2515079.832749,96.203947,-169.183218,-12.922172,-111.694353,0.040129,0.56413,-0.812672,0.140396
2515139.832749,96.2037,-170.440515,-14.309681,-110.830982,0.055256,0.569787,-0.808147,0.138519
2515199.832749,96.203462,-171.738915,-15.640199,-109.871967,0.070085,0.575692,-0.803162,0.136372
2515259.832749,96.203235,-173.079965,-16.907406,-108.818862,0.084588,0.581831,-0.797731,0.133947
2515319.832749,96.203019,-174.464699,-18.105013,-107.673782,0.09874,0.58819,-0.791872,0.131233
2515379.832749,96.202816,-175.89353,-19.226804,-106.439513,-0.11252,-0.594752,0.785601,-0.128219
2515439.832749,96.202625,-177.366157,-20.266692,-105.119608,-0.125903,-0.601502,0.778938,-0.124895
2515499.832749,96.202448,-178.881478,-21.218786,-103.718474,-0.138872,-0.608422,0.771904,-0.121247
2515515.367837,96.202405,-179.28056,-21.450296,-103.343089,-0.142159,-0.61024,0.770025,-0.120249
2515515.367939,0.0,-179.280562,-21.450297,-103.343087,-0.142159,-0.61024,0.770025,-0.120249
2515553.535872,0.0,179.727615,-21.991898,-102.39984,-0.150112,-0.614746,0.765311,-0.1177
2515613.535872,0.0,178.137536,-22.762493,-100.860186,-0.162246,-0.621938,0.757633,-0.113409
2515673.535872,0.0,176.512982,-23.430068,-99.257401,-0.173917,-0.629246,0.749649,-0.108762
2515733.535872,0.0,174.858572,-23.990273,-97.599625,-0.185114,-0.636647,0.741383,-0.103747
2515793.535872,0.0,173.179773,-24.439364,-95.895906,-0.195826,-0.644122,0.732861,-0.098353
2515853.535872,0.0,171.482801,-24.77429,-94.156089,-0.206045,-0.651647,0.724108,-0.09257
2515913.535872,0.0,169.774478,-24.992762,-92.390684,-0.215764,-0.659198,0.715151,-0.086389
2515973.535872,0.0,168.062061,-25.093305,-90.610677,-0.22498,-0.666752,0.706015,-0.079801
2516033.535872,0.0,166.353038,-25.075296,-88.827334,-0.233688,-0.674283,0.69673,-0.072799
2516093.535872,0.0,164.654914,-24.938981,-87.051975,-0.24189,-0.681767,0.68732,-0.065376
2516153.535872,0.0,162.974992,-24.685466,-85.295746,-0.249585,-0.689178,0.677814,-0.057527
2516213.535872,0.0,161.320166,-24.316688,-83.569405,-0.256777,-0.696489,0.668239,-0.049249
2516273.535872,0.0,159.696739,-23.835366,-81.883132,-0.263471,-0.703675,0.658621,-0.040541
2516333.535872,0.0,158.110272,-23.244935,-80.246364,-0.269672,-0.710709,0.648987,-0.031402
2516393.535872,0.0,156.565472,-22.54947,-78.667678,-0.275387,-0.717565,0.639363,-0.021835
