ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2510777.052525,0.0,179.904086,-0.033567,-89.999944,-7.99E-4,-0.707107,0.707106,3.85E-4
2510835.452965,0.0,179.906334,-0.035467,-89.999942,-7.97E-4,-0.707107,0.707106,3.59E-4
2510874.392204,0.0,179.907874,-0.03665,-89.999941,-7.95E-4,-0.707107,0.707106,3.42E-4
2510874.392204,0.0,179.907874,-0.03665,-89.999941,-7.95E-4,-0.707107,0.707106,3.42E-4
2510934.392204,63.541073,179.910311,-0.038339,-89.99994,-7.9E-4,-0.707107,0.707106,3.17E-4
2510994.392204,64.717406,179.912825,-0.039858,-89.999939,-7.84E-4,-0.707107,0.707106,2.92E-4
2511054.392204,65.693006,179.91542,-0.041201,-89.999939,-7.76E-4,-0.707107,0.707106,2.68E-4
2511114.392204,66.858285,179.918105,-0.042364,-89.999939,-7.67E-4,-0.707107,0.707106,2.44E-4
2511174.392204,68.228882,179.920904,-0.043342,-89.99994,-7.56E-4,-0.707107,0.707106,2.21E-4
2511234.392204,69.794949,179.923848,-0.044131,-89.999941,-7.42E-4,-0.707107,0.707106,1.98E-4
2511294.392204,71.289461,179.926975,-0.044729,-89.999943,-7.27E-4,-0.707107,0.707106,1.75E-4
2511354.392204,72.774619,179.930319,-0.045133,-89.999945,-7.08E-4,-0.707107,0.707106,1.51E-4
2511414.392204,74.377573,179.933914,-0.045343,-89.999948,-6.88E-4,-0.707107,0.707106,1.28E-4
2511474.392204,76.091173,179.937793,-0.045357,-89.999951,-6.64E-4,-0.707107,0.707106,1.04E-4
2511534.392204,77.474356,179.941989,-0.045175,-89.999954,-6.37E-4,-0.707107,0.707106,7.9E-5
2511594.392204,78.932121,179.946529,-0.044799,-89.999958,-6.06E-4,-0.707107,0.707107,5.4E-5
2511654.392204,80.471388,179.951434,-0.04423,-89.999963,-5.73E-4,-0.707107,0.707107,2.7E-5
2511714.392204,82.291356,179.956713,-0.04347,-89.999967,-5.35E-4,-0.707107,0.707107,-1.0E-6
2511774.392204,84.262603,179.962371,-0.042522,-89.999972,-4.95E-4,-0.707107,0.707107,-3.0E-5
2511834.392204,86.293214,179.968415,-0.04139,-89.999977,-4.5E-4,-0.707107,0.707107,-6.1E-5
2511894.392204,88.016193,179.97485,-0.040078,-89.999982,-4.02E-4,-0.707107,0.707107,-9.2E-5
2511954.392204,89.553308,179.98168,-0.038591,-89.999988,-3.51E-4,-0.707107,0.707107,-1.25E-4
2512014.392204,91.134054,179.988901,-0.036935,-89.999993,-2.96E-4,-0.707107,0.707107,-1.59E-4
2512074.392204,92.657644,179.9965,-0.035118,-89.999998,-2.38E-4,-0.707107,0.707107,-1.95E-4
2512134.392204,94.109472,-179.995543,-0.033145,-90.000003,-1.77E-4,-0.707107,0.707107,-2.32E-4
2512194.392204,95.600566,-179.987261,-0.031025,-90.000007,-1.13E-4,-0.707107,0.707107,-2.7E-4
2512254.392204,97.074514,-179.978695,-0.028768,-90.000011,-4.6E-5,-0.707107,0.707107,-3.09E-4
2512314.392204,98.411583,-179.969898,-0.026381,-90.000014,-2.3E-5,0.707107,-0.707107,3.49E-4
2512374.392204,99.776415,-179.960928,-0.023876,-90.000016,-9.4E-5,0.707107,-0.707107,3.88E-4
2512434.392204,101.164049,-179.951837,-0.021262,-90.000018,-1.66E-4,0.707107,-0.707107,4.28E-4
2512494.392204,102.386089,-179.942684,-0.018552,-90.000019,-2.39E-4,0.707107,-0.707107,4.68E-4
2512554.392204,103.468498,-179.933534,-0.015757,-90.000018,-3.13E-4,0.707107,-0.707107,5.07E-4
2512614.392204,104.556026,-179.924464,-0.012889,-90.000017,-3.87E-4,0.707107,-0.707107,5.46E-4
2512674.392204,105.644371,-179.915551,-0.009962,-90.000015,-4.6E-4,0.707107,-0.707107,5.83E-4
2512734.392204,106.64069,-179.906868,-0.006987,-90.000011,-5.32E-4,0.707107,-0.707107,6.18E-4
2512794.392204,107.379591,-179.898486,-0.003979,-90.000007,-6.02E-4,0.707106,-0.707107,6.51E-4
2512854.392204,108.111615,-179.890476,-9.52E-4,-90.000002,-6.7E-4,0.707106,-0.707106,6.82E-4
2512914.392204,108.833777,-179.88292,0.002082,-89.999996,-7.35E-4,0.707106,-0.707106,7.1E-4
2512974.392204,109.385946,-179.875899,0.005108,-89.999989,-7.97E-4,0.707106,-0.707106,7.34E-4
2513034.392204,109.86058,-179.869492,0.008111,-89.999982,-8.55E-4,0.707106,-0.707106,7.55E-4
2513094.392204,110.312023,-179.863771,0.01108,-89.999974,-9.09E-4,0.707106,-0.707106,7.72E-4
2513154.392204,110.56393,-179.858804,0.013999,-89.999966,-9.58E-4,0.707106,-0.707106,7.85E-4
2513214.392204,110.727915,-179.854656,0.016856,-89.999957,-0.001001,0.707106,-0.707106,7.93E-4
2513274.392204,110.852117,-179.851389,0.019638,-89.999949,-0.001038,0.707106,-0.707106,7.96E-4
2513334.392204,110.746561,-179.849052,0.022331,-89.999941,-0.001069,0.707106,-0.707106,7.94E-4
