ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2493617.014449,0.0,108.175071,-6.277008,103.28899,-0.328658,-0.527012,-0.614235,-0.486784
2493677.014449,0.0,164.348864,-21.386413,19.510862,-0.100711,-0.963688,-0.140051,-0.203834
2493737.014449,0.0,-174.368257,27.888309,-50.388503,0.1456,-0.872104,0.423357,0.197492
2493797.014449,0.0,124.618616,46.695563,-163.258312,0.285072,-0.300554,0.777492,0.473189
2493852.818937,0.0,174.658339,38.797433,-67.043348,0.146584,-0.794042,0.507432,0.30087
2493891.878264,0.0,158.872609,46.604619,-95.828738,0.175752,-0.658958,0.621449,0.3856
2493891.878265,0.0,158.872597,46.604623,-95.82876,0.175752,-0.658958,0.621449,0.3856
2493951.878264,0.0,113.931789,20.730668,161.124146,0.236729,0.038472,0.829586,0.504249
2494011.878264,0.0,139.931547,-13.678633,85.37961,0.17416,0.713304,0.60248,0.312862
2494071.878264,1.999272,175.146891,8.788854,5.725935,0.045985,0.994761,0.052996,-0.074349
2494131.878264,7.444271,151.030337,43.697935,-84.030334,-0.068695,0.729984,-0.532341,-0.423104
2494191.878264,0.0,116.730022,15.582474,179.514452,-0.117621,0.067529,-0.843841,-0.51917
2494251.878264,0.0,145.633627,-13.419421,101.637017,-0.098841,-0.626202,-0.71367,-0.297954
2494311.878264,0.0,177.130865,13.978703,23.713271,-0.049313,-0.970462,-0.206854,0.113946
2494371.878264,8.220381,143.911696,46.549957,-71.559347,-0.011174,-0.780158,0.411378,0.471166
2494431.878264,0.0,113.04466,10.513054,-163.949001,-0.001021,-0.166003,0.815403,0.554581
2494491.878264,0.0,149.627206,-19.049487,117.662764,-0.002932,0.529689,0.791949,0.303707
2494551.878264,0.0,-175.312037,15.788454,42.501431,0.011982,0.924435,0.353479,-0.142582
2494611.878264,7.648846,140.269578,54.534899,-57.907182,0.055705,0.806862,-0.268478,-0.523249
2494671.878264,1.47415,104.041295,8.348544,-149.400295,0.106607,0.250646,-0.74646,-0.607133
2494731.878264,0.0,149.226448,-29.033582,133.33981,0.120194,-0.430714,-0.830721,-0.331573
2494791.878264,0.0,-164.869039,11.93665,59.942858,0.061943,-0.860918,-0.480676,0.154706
2494851.878264,5.774888,145.776813,65.9052,-38.818533,-0.060107,-0.809585,0.115556,0.572369
2494911.878264,4.729205,91.569018,10.584031,-137.885711,-0.187802,-0.316443,0.642901,0.671768
2494971.878264,0.0,141.766781,-40.847771,150.443252,-0.240526,0.336365,0.827015,0.380857
2495031.878264,0.0,-154.618,2.24754,73.193853,-0.16494,0.785653,0.578045,-0.146313
2495091.878264,2.842926,-178.773439,75.492957,5.962448,0.023384,0.789953,0.034579,-0.611745
2495151.878264,7.056578,77.14856,17.00892,-131.17965,0.23557,0.360133,-0.513768,-0.742195
2495211.878264,0.0,123.787191,-50.931007,172.646049,0.351205,-0.253218,-0.781746,-0.448786
2495271.878264,0.0,-145.711384,-11.721519,80.626516,0.286727,-0.705354,-0.637939,0.115313
2495331.878264,0.0,-122.583529,69.664796,67.127572,0.051578,-0.751582,-0.169403,0.635427
2495391.878264,8.161686,61.007466,25.895869,-131.100248,-0.24401,-0.380492,0.370422,0.811463
2495451.878264,0.0,94.816336,-54.531335,-159.186979,-0.440378,0.186736,0.699635,0.530761
2495511.878264,0.0,-137.100063,-27.869636,81.459626,-0.41521,0.62709,0.656161,-0.061736
2495571.878264,0.0,-103.052705,53.717796,87.154899,-0.15827,0.699741,0.277826,-0.638848
2495631.878264,7.907614,42.117457,34.427524,-139.219833,0.210902,0.378453,-0.225502,-0.872607
2495691.878264,0.310696,65.674417,-49.586611,-135.706597,0.498164,-0.140769,-0.588779,-0.620771
2495751.878264,0.0,-125.828846,-43.915449,73.886474,0.537598,-0.557633,-0.632364,-0.012267
2495811.878264,0.0,-94.849013,36.299592,90.972109,0.287155,-0.640863,-0.351223,0.619257
2495871.878264,6.341092,20.147943,39.130654,-155.708007,-0.137932,-0.357016,0.091756,0.91929
2495931.878264,4.004592,44.155807,-40.011257,-124.767991,-0.517573,0.117192,0.459905,0.711949
2495991.878264,0.0,-106.4209,-56.585809,53.320845,-0.641587,0.50283,0.570087,0.10261
2496051.878264,0.0,-88.329742,20.035931,87.486082,-0.426537,0.581954,0.384237,-0.575984
2496111.878264,3.644997,-1.200215,37.496264,-176.709578,0.03055,0.320974,0.019141,-0.946402
