ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
5708.631496,86.634911,-101.335002,80.191351,-174.282811,-0.521733,-0.378205,-0.611312,0.459405
5768.631496,86.634773,-112.65616,76.400332,-175.863941,-0.530045,-0.319046,-0.665956,0.416851
5828.631496,86.634601,-121.571736,72.603386,-176.750396,-0.527676,-0.268898,-0.711311,0.378535
5888.631496,86.634394,-128.597009,68.803696,-177.314949,-0.51734,-0.227542,-0.749002,0.345803
5948.631496,86.634155,-134.145531,65.002508,-177.704155,-0.501353,-0.193715,-0.780791,0.318568
6008.631496,86.633883,-138.555666,61.200413,-177.987277,-0.481389,-0.165951,-0.808096,0.296152
6068.631496,86.63358,-142.090663,57.397721,-178.201275,-0.458583,-0.14294,-0.831939,0.277754
6128.631496,86.633248,-144.94887,53.594612,-178.367658,-0.433694,-0.123622,-0.853022,0.262641
6188.631496,86.632887,-147.277798,49.791194,-178.499784,-0.40723,-0.107178,-0.871823,0.250205
6248.631496,86.632499,-149.186996,45.987535,-178.60638,0.37954,0.092977,0.888664,-0.23996
6308.631496,86.632085,-150.758203,42.183679,-178.693377,0.350873,0.080538,0.903769,-0.231526
6368.631496,86.631647,-152.052854,38.379654,-178.764939,0.321411,0.06949,0.917289,-0.224606
6428.631496,86.631188,-153.117488,34.575477,-178.824059,0.291293,0.059543,0.929331,-0.21897
6488.631496,86.630709,-153.9876,30.771157,-178.872938,0.260629,0.050468,0.939969,-0.214438
6548.631496,86.630211,-154.690387,26.966695,-178.913216,0.229509,0.04208,0.949257,-0.210871
6608.631496,86.629698,-155.246715,23.162091,-178.946134,0.198011,0.034227,0.95723,-0.208161
6668.631496,86.62917,-155.672527,19.357339,-178.972636,0.166204,0.026784,0.963914,-0.206225
6728.631496,86.628631,-155.979861,15.552431,-178.993434,0.134148,0.019641,0.969326,-0.205
6788.631496,86.628082,-156.177586,11.747359,-179.009058,0.101904,0.012704,0.973478,-0.204438
6848.631496,86.627527,-156.271918,7.942112,-179.019891,0.069525,0.005887,0.976375,-0.204509
6908.631496,86.626966,-156.266791,4.136677,-179.026194,0.037065,-8.9E-4,0.978019,-0.205192
6968.631496,86.626403,-156.164099,0.331044,-179.028122,0.004578,-0.007702,0.97841,-0.206478
7028.631496,86.625839,-155.963836,-3.474802,-179.025733,-0.027884,-0.014625,0.977543,-0.208369
7088.631496,86.625278,-155.66416,-7.28087,-179.018991,-0.060265,-0.021734,0.975411,-0.210876
7148.631496,86.624722,-155.261373,-11.087173,-179.007758,-0.092511,-0.029111,0.972003,-0.214019
7208.631496,86.624172,-154.749837,-14.89372,-178.991793,-0.124561,-0.03684,0.967304,-0.217831
7268.631496,86.623631,-154.12181,-18.700517,-178.970735,-0.156353,-0.045015,0.961294,-0.222353
7320.922657,86.623169,-153.471667,-22.018424,-178.947843,-0.183797,-0.052586,0.954967,-0.226916
7320.922676,0.0,-153.471667,-22.018425,-178.947843,-0.183797,-0.052586,0.954967,-0.226916
7329.411172,0.0,-153.356522,-22.557044,-178.943699,-0.188225,-0.05386,0.953843,-0.227714
7389.411172,0.0,-152.460712,-26.364358,-178.910701,-0.219281,-0.063267,0.945109,-0.233842
7449.411172,0.0,-151.409573,-30.171929,-178.870539,-0.249847,-0.073484,0.934961,-0.240883
7509.411172,0.0,-150.183703,-33.97975,-178.822034,-0.279823,-0.084671,0.923343,-0.248932
7569.411172,0.0,-148.759559,-37.787807,-178.763615,-0.309091,-0.097017,0.910184,-0.258102
7629.411172,0.0,-147.108825,-41.596083,-178.693182,-0.337508,-0.110741,0.895388,-0.268523
7689.411172,0.0,-145.1978,-45.404549,-178.607876,-0.364901,-0.126105,0.878836,-0.280342
7749.411172,0.0,-142.986958,-49.213165,-178.503739,-0.391051,-0.143412,0.860373,-0.293719
7809.411172,0.0,-140.431009,-53.021873,-178.37515,-0.415684,-0.163012,0.839801,-0.308817
7869.411172,0.0,-137.480064,-56.830593,-178.213873,-0.43845,-0.185301,0.816877,-0.325788
7929.411172,0.0,-134.082998,-60.639202,-178.00737,-0.45891,-0.210704,0.791301,-0.344744
7989.411172,0.0,-130.194969,-64.447516,-177.735594,-0.476518,-0.239647,0.762732,-0.365705
8049.411172,0.0,-125.79251,-68.255224,-177.364434,-0.490621,-0.27249,0.730811,-0.38853
8109.411172,0.0,-120.902659,-72.061769,-176.830811,-0.500491,-0.309432,0.695227,-0.412819
8169.411172,0.0,-115.661851,-75.866012,-176.003762,-0.505407,-0.350379,0.655827,-0.437823
8229.411172,0.0,-110.462315,-79.665173,-174.560022,-0.504809,-0.394806,0.612769,-0.462396
8289.411172,0.0,-106.51992,-83.450084,-171.430745,-0.498503,-0.441698,0.566675,-0.485053
8349.411172,0.0,-110.737259,-87.162539,-159.932924,-0.486843,-0.489628,0.51868,-0.504202
8409.411172,0.0,136.869566,-88.496536,-40.31037,-0.470765,-0.537014,0.470308,-0.518466
8469.411172,0.0,114.590993,-84.947225,-11.10386,-0.451627,-0.582448,0.423178,-0.52698
8529.411172,0.0,116.262382,-81.176051,-6.343971,-0.430909,-0.624938,0.378669,-0.529509
8589.411172,0.0,120.182049,-77.38039,-4.446641,-0.409922,-0.663983,0.337707,-0.52635
8649.411172,0.0,124.327428,-73.577259,-3.432578,-0.389647,-0.699487,0.300723,-0.51813
8709.411172,0.0,128.213451,-69.77093,-2.804373,-0.370704,-0.731614,0.267746,-0.505601
8769.411172,0.0,131.703015,-65.962996,-2.378986,-0.353412,-0.760649,0.238544,-0.489499
8829.411172,0.0,134.774579,-62.154192,-2.073382,-0.337882,-0.786912,0.212748,-0.470473
8889.411172,0.0,137.4501,-58.344914,-1.844472,-0.324089,-0.810699,0.189938,-0.449063
8949.411172,0.0,139.766825,-54.535398,-1.667687,-0.311941,-0.832268,0.169702,-0.425705
9009.411172,0.0,141.765143,-50.725795,-1.52801,-0.301308,-0.851832,0.151659,-0.400744
9069.411172,0.0,143.483344,-46.91621,-1.415755,-0.292056,-0.869559,0.135472,-0.374457
9129.411172,0.0,144.955573,-43.106719,-1.324406,-0.284053,-0.885583,0.120848,-0.347062
9189.411172,0.0,146.211294,-39.297376,-1.249425,-0.277178,-0.900008,0.107537,-0.318737
9249.411172,0.0,147.275415,-35.488224,-1.187566,-0.271324,-0.912915,0.095322,-0.289627
9309.411172,0.0,148.168706,-31.679294,-1.136452,-0.2664,-0.924364,0.084019,-0.259854
9369.411172,0.0,148.908275,-27.870611,-1.094318,-0.262325,-0.934402,0.07347,-0.229521
9429.411172,0.0,149.508044,-24.062194,-1.059834,-0.259036,-0.943066,0.063538,-0.198719
9453.130017,0.0,149.709124,-22.556749,-1.048081,-0.25794,-0.946118,0.059754,-0.186431
9461.585309,0.0,149.776063,-22.020099,-1.044131,-0.257577,-0.947155,0.058423,-0.182037
9461.585309,0.0,149.776063,-22.020099,-1.044131,-0.257577,-0.947155,0.058423,-0.182037
9521.585309,86.622565,150.181934,-18.212113,-1.019525,-0.255393,-0.953757,0.049206,-0.150668
9581.585309,86.623047,150.47167,-14.404417,-1.000471,-0.253879,-0.959038,0.040324,-0.11902
9641.585309,86.623538,150.650806,-10.597011,-0.986482,-0.253006,-0.96301,0.031685,-0.087158
9701.585309,86.624035,150.723047,-6.789896,-0.977207,-0.252755,-0.965679,0.023201,-0.055143
9761.585309,86.624536,150.690396,-2.983067,-0.972406,-0.253114,-0.967049,0.014792,-0.023035
9821.585309,86.62504,150.553228,0.823483,-0.971947,-0.254078,-0.96712,0.006377,0.009106
9881.585309,86.625542,150.310324,4.629761,-0.975794,-0.255651,-0.965887,-0.002124,0.041222
9941.585309,86.626042,149.958844,8.435776,-0.984013,-0.257844,-0.963345,-0.01079,0.073253
10001.585309,86.626537,149.494266,12.241537,-0.996766,-0.260675,-0.959482,-0.019706,0.10514
10061.585309,86.627024,148.910265,16.047056,-1.014327,-0.264169,-0.954284,-0.028961,0.136818
10121.585309,86.627502,148.198551,19.852344,-1.037091,-0.268359,-0.94773,-0.038651,0.168219
10181.585309,86.627967,147.348636,23.65741,-1.065604,-0.273287,-0.939796,-0.048884,0.199271
10241.585309,86.628418,146.347561,27.462265,-1.100597,-0.279002,-0.930448,-0.059777,0.229894
