ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
538728.942107,83.336057,-179.949788,60.868979,90.043861,-0.358057,-0.609597,-0.60975,0.358317
538788.942107,86.510188,-179.960113,61.938864,90.035198,-0.363764,-0.606243,-0.606363,0.363963
538848.942107,89.061393,-179.972057,62.755729,90.024843,-0.368109,-0.603653,-0.603735,0.368244
538908.942107,90.963155,-179.985329,63.310589,90.013108,-0.37106,-0.601883,-0.601925,0.37113
538968.942107,92.238636,-179.99951,63.59975,90.000439,-0.372612,-0.600965,-0.600966,0.372614
539028.942107,92.932223,179.985913,63.624564,89.98738,-0.372776,-0.600905,-0.600865,0.37271
539088.942107,93.054796,179.971486,63.391127,89.974506,-0.371585,-0.601684,-0.601602,0.371451
539148.942107,92.566313,179.957727,62.909939,89.962365,-0.36909,-0.60326,-0.603136,0.368887
539208.942107,91.517969,179.945071,62.195541,89.951413,-0.365356,-0.605568,-0.605405,0.365085
539268.942107,89.898098,179.933821,61.266106,89.94197,-0.360467,-0.608529,-0.608329,0.360129
539328.942107,87.703804,179.924137,60.14296,89.934206,-0.354519,-0.612048,-0.611814,0.354116
539388.942107,84.945733,179.916062,58.850022,89.928164,-0.347624,-0.616021,-0.615758,0.347157
539448.942107,81.646172,179.909546,57.413132,89.923785,-0.339904,-0.620341,-0.620053,0.339377
539508.942107,77.840063,179.904486,55.859301,89.920947,-0.331492,-0.6249,-0.62459,0.330908
539568.942107,73.583271,179.900751,54.215889,89.919487,-0.322525,-0.629594,-0.629267,0.321888
539628.942107,68.795148,179.898202,52.509775,89.919227,-0.313142,-0.634327,-0.633989,0.312457
539688.942107,63.674076,179.896702,50.766574,89.919988,-0.303481,-0.639016,-0.63867,0.302753
539748.942107,58.578946,179.896127,49.009959,89.921594,0.293671,0.643588,0.64324,-0.292906
539808.942107,53.194603,179.896366,47.261136,89.923886,0.283833,0.647989,0.647641,-0.283038
539868.942107,47.650692,179.897325,45.538494,89.926719,0.274074,0.652174,0.651831,-0.273256
539928.942107,42.148485,179.898927,43.857448,89.92997,0.264488,0.656115,0.655779,-0.263654
539988.942107,36.586458,179.901111,42.230437,89.933536,0.255153,0.659793,0.659467,-0.25431
540048.942107,30.923268,179.903829,40.667063,89.937329,0.246131,0.6632,0.662887,-0.245287
540108.942107,25.263445,179.907034,39.174336,89.941275,0.23747,0.666337,0.666039,-0.236632
540168.942107,19.586253,179.910684,37.756976,89.94531,0.229205,0.66921,0.668928,-0.228381
540228.942107,13.991104,179.914734,36.417754,89.94938,0.221361,0.67183,0.671565,-0.220556
