ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
550414.744037,86.152621,-179.976231,47.219002,90.017445,-0.283106,-0.647879,-0.647959,0.283288
550474.744037,86.332475,-179.985062,47.293148,90.010977,-0.283559,-0.647711,-0.647761,0.283673
550534.744037,86.19532,-179.99422,47.246398,90.004244,-0.28333,-0.647842,-0.647861,0.283374
550594.744037,85.996623,179.996458,47.078295,89.997407,-0.282415,-0.648273,-0.648261,0.282388
550654.744037,85.461001,179.987133,46.787239,89.990622,-0.280804,-0.649003,-0.64896,0.280704
550714.744037,84.853905,179.977957,46.370479,89.984045,-0.278478,-0.650036,-0.649962,0.278305
550774.744037,83.977875,179.969084,45.824095,89.977827,-0.275412,-0.65137,-0.651267,0.275167
550834.744037,82.994101,179.960662,45.142988,89.972114,-0.271571,-0.653009,-0.652878,0.271255
550894.744037,81.805236,179.952828,44.320862,89.967042,-0.266914,-0.654952,-0.654795,0.266529
550954.744037,80.496269,179.945703,43.350229,89.962727,-0.261392,-0.657199,-0.657019,0.260939
551014.744037,79.036048,179.939383,42.222433,89.959264,-0.254944,-0.659748,-0.659548,0.254427
551074.744037,77.474739,179.933943,40.927717,89.956726,-0.247505,-0.662591,-0.662376,0.246928
551134.744037,75.800898,179.929437,39.455361,89.955159,0.239,0.665718,0.665491,-0.238368
551194.744037,74.083559,179.925885,37.793899,89.954581,0.229351,0.669112,0.668878,-0.228667
551254.744037,72.273113,179.923282,35.931482,89.954981,0.218471,0.672747,0.672511,-0.217741
551314.744037,70.521703,179.921593,33.856408,89.956318,0.206275,0.676585,0.676351,-0.205506
551374.744037,68.674171,179.920762,31.557879,89.95853,0.192682,0.680575,0.680348,-0.19188
551434.744037,66.949484,179.920712,29.027015,89.961528,0.177621,0.684649,0.684435,-0.176793
551494.744037,65.276927,179.921355,26.258143,89.965206,0.16104,0.688722,0.688525,-0.160192
551554.744037,63.687957,179.922589,23.250343,89.969442,0.142918,0.69269,0.692513,-0.142058
551614.744037,62.289061,179.924312,20.009141,89.974102,0.123276,0.696431,0.696278,-0.122411
551674.744037,61.098619,179.926427,16.548157,89.979045,0.102189,0.699809,0.699684,-0.101328
551734.744037,60.049692,179.928847,12.890415,89.984127,0.0798,0.702686,0.702589,-0.07895
551794.744037,59.260354,179.931501,9.068934,89.989203,0.056319,0.704926,0.70486,-0.055487
551854.744037,58.747893,179.934333,5.126266,89.994133,0.032025,0.706417,0.706381,-0.031219
551914.744037,58.521579,179.937305,1.112754,89.998782,0.007253,0.707077,0.70707,-0.00648
551974.744037,58.585618,179.940396,-2.916402,90.003033,-0.017627,0.706868,0.706887,0.018361
552034.744037,58.938782,179.943603,-6.9049,90.00678,-0.042237,0.705803,0.705844,0.042927
552094.744037,59.57452,179.946937,-10.799287,90.009942,-0.06622,0.703939,0.703999,0.06686
552154.744037,60.481523,179.950419,-14.552413,90.012458,-0.089263,0.701375,0.70145,0.089851
552214.744037,61.595321,179.954071,-18.125856,90.014289,-0.111117,0.698237,0.698322,0.111649
552274.744037,62.87935,179.957912,-21.491081,90.015419,-0.131601,0.694662,0.694753,0.132076
552334.744037,64.363716,179.961947,-24.62939,90.015858,-0.150604,0.690791,0.690882,0.151021
552394.744037,66.029906,179.966175,-27.53096,90.015635,-0.168075,0.686753,0.686841,0.168435
552454.744037,67.689767,179.970582,-30.193347,90.014795,-0.184013,0.682662,0.682744,0.184316
552471.028286,68.160526,179.971805,-30.874976,90.014469,-0.188079,0.681556,0.681635,0.188366
552471.028288,0.0,179.971805,-30.874976,90.014469,-0.188079,0.681556,0.681635,0.188366
552483.910094,0.0,179.972781,-31.401938,90.014182,-0.191217,0.680684,0.680761,0.191493
552543.910094,0.0,179.977395,-33.716111,90.012547,-0.204951,0.676686,0.676753,0.205173
552603.910094,0.0,179.98209,-35.806154,90.010478,-0.217285,0.67284,0.672895,0.217455
552663.910094,0.0,179.9868,-37.682759,90.008069,-0.228299,0.669197,0.669238,0.228421
552723.910094,0.0,179.991451,-39.357579,90.005421,-0.238077,0.665795,0.665822,0.238154
552783.910094,0.0,179.995966,-40.842458,90.002638,-0.246706,0.662661,0.662674,0.246741
552843.910094,0.0,-179.999732,-42.14888,89.99982,-0.254263,0.659812,0.659811,0.254261
552903.910094,0.0,-179.99571,-43.287602,89.997059,-0.260824,0.657259,0.657245,0.260788
552963.910094,0.0,-179.992028,-44.268425,89.994435,-0.266455,0.655009,0.654982,0.266389
553023.910094,0.0,-179.988733,-45.100052,89.992019,-0.271214,0.653064,0.653026,0.271123
553083.910094,0.0,-179.985862,-45.790024,89.989866,-0.275152,0.651424,0.651377,0.275039
553143.910094,0.0,-179.983441,-46.344685,89.988019,-0.27831,0.650089,0.650033,0.27818
553203.910094,0.0,-179.981478,-46.769183,89.986505,-0.280723,0.649057,0.648995,0.28058
553263.910094,0.0,-179.979974,-47.067477,89.985338,-0.282417,0.648327,0.64826,0.282263
553323.910094,0.0,-179.978918,-47.242356,89.984521,-0.28341,0.647897,0.647826,0.283248
553383.910094,0.0,-179.978285,-47.295452,89.984043,-0.283712,0.647767,0.647694,0.283546
553443.910094,0.0,-179.978032,-47.22725,89.983875,-0.283328,0.647936,0.647862,0.283159
553503.910094,0.0,-179.978097,-47.037092,89.983972,-0.282253,0.648405,0.648331,0.282084
553563.910094,0.0,-179.97841,-46.723172,89.984281,-0.280475,0.649175,0.649102,0.280307
553623.910094,0.0,-179.9789,-46.282527,89.98475,-0.277975,0.650247,0.650177,0.27781
553683.910094,0.0,-179.9795,-45.711021,89.985326,-0.274728,0.651624,0.651556,0.274565
553743.910094,0.0,-179.980143,-45.00333,89.985958,-0.270697,0.653307,0.65324,0.270537
553803.910094,0.0,-179.980761,-44.152933,89.986598,-0.265841,0.655296,0.655232,0.265683
553863.910094,0.0,-179.981295,-43.152115,89.987207,-0.260107,0.657591,0.657529,0.25995
553923.910094,0.0,-179.981696,-41.992004,89.987754,-0.253437,0.660189,0.660129,0.25328
553983.910094,0.0,-179.981924,-40.662646,89.988222,-0.245762,0.663083,0.663024,0.245604
554043.910094,0.0,-179.981952,-39.153157,89.988605,-0.237009,0.666261,0.666203,0.236846
554103.910094,0.0,-179.98176,-37.451974,89.988908,-0.227096,0.669705,0.669647,0.226927
554163.910094,0.0,-179.981341,-35.547241,89.989152,-0.215938,0.673385,0.673328,0.21576
554223.910094,0.0,-179.980691,-33.427391,89.989363,-0.203452,0.677263,0.677206,0.203261
554279.467637,0.0,-179.979886,-31.263543,89.989561,-0.190635,0.680982,0.680925,0.19043
554292.229336,0.0,-179.979673,-30.738435,89.98961,-0.187514,0.681848,0.681791,0.187306
554292.229336,0.0,-179.979673,-30.738435,89.98961,-0.187514,0.681848,0.681791,0.187306
554352.229336,66.396539,-179.978537,-28.126193,89.989882,0.171933,-0.685942,-0.685885,-0.171707
554412.229336,64.719105,-179.977184,-25.274965,89.990259,0.154826,-0.690004,-0.689948,-0.154578
554472.229336,63.191908,-179.97563,-22.185893,89.990798,0.136185,-0.693922,-0.693869,-0.135912
554532.229336,61.861363,-179.973886,-18.867154,89.991555,0.116048,-0.697569,-0.697519,-0.115747
554592.229336,60.717354,-179.971957,-15.335522,89.992584,0.094514,-0.700806,-0.700762,-0.094183
554652.229336,59.752347,-179.969844,-11.617471,89.993927,0.071746,-0.703494,-0.703458,-0.071384
554712.229336,59.055813,-179.967544,-7.749431,89.995624,0.047981,-0.705504,-0.705477,-0.047585
554772.229336,58.639899,-179.965056,-3.7769,89.997698,0.023517,-0.70673,-0.706716,-0.023087
554832.229336,58.512145,-179.962379,0.24773,90.000163,-0.001297,-0.707105,-0.707106,0.001761
554892.229336,58.674849,-179.959517,4.268449,90.003013,-0.026084,-0.706607,-0.706626,0.026582
554952.229336,59.124861,-179.95648,8.229534,90.006229,-0.050473,-0.705265,-0.705303,0.051003
555012.229336,59.853861,-179.953298,12.0794,90.009773,-0.07412,-0.703152,-0.703211,0.07468
555072.229336,60.84906,-179.950012,15.773739,90.013589,-0.096733,-0.700377,-0.700459,0.097322
555132.229336,62.007397,-179.946671,19.277509,90.017606,-0.118089,-0.697072,-0.697176,0.118701
555192.229336,63.360318,-179.94334,22.565654,90.021743,-0.13803,-0.693378,-0.693504,0.138664
555252.229336,64.906952,-179.9401,25.622708,90.025903,-0.15647,-0.68943,-0.689577,0.15712
555312.229336,66.581078,-179.937056,28.441612,90.029978,-0.173376,-0.685354,-0.685522,0.174039
555372.229336,68.274076,-179.934325,31.022094,90.033847,-0.188763,-0.68126,-0.681446,0.189432
555432.229336,70.09295,-179.932024,33.368969,90.037389,-0.202676,-0.677237,-0.677438,0.203347
