ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2578844.685257,0.0,-131.131022,-27.289184,-53.298374,0.262946,-0.834521,0.309615,-0.372253
2578904.685257,0.0,-133.307244,-24.980074,-51.819065,0.261257,-0.843745,0.314591,-0.347665
2578960.561691,0.0,-135.176508,-22.764776,-50.599644,0.259941,-0.851514,0.319279,-0.324678
2578973.70917,0.0,-135.595913,-22.235361,-50.334053,0.259664,-0.853227,0.320393,-0.319259
2578973.709171,0.0,-135.595913,-22.235361,-50.334053,0.259664,-0.853227,0.320393,-0.319259
2579033.70917,85.231741,-137.418579,-19.783998,-49.221309,0.258548,-0.860492,0.325547,-0.294491
2579093.70917,85.232031,-139.103282,-17.281273,-48.265357,0.257657,-0.86685,0.33084,-0.269683
2579153.70917,85.232331,-140.665146,-14.735476,-47.458638,0.256968,-0.872301,0.336301,-0.244866
2579213.70917,85.232641,-142.118239,-12.154244,-46.794562,0.256464,-0.876847,0.341954,-0.220074
2579273.70917,85.232957,-143.47571,-9.544667,-46.267576,0.256128,-0.880488,0.347823,-0.195341
2579333.70917,85.233279,-144.749918,-6.913394,-45.873201,0.255945,-0.883224,0.35393,-0.170705
2579393.70917,85.233605,-145.952576,-4.266738,-45.60804,0.255901,-0.885058,0.360294,-0.146205
2579453.70917,85.233934,-147.094889,-1.610766,-45.469786,0.25598,-0.88599,0.366935,-0.121878
2579513.70917,85.234264,-148.187697,1.048602,-45.457217,0.25617,-0.886024,0.373871,-0.097767
2579573.70917,85.234593,-149.241614,3.705505,-45.570194,0.256455,-0.885165,0.381118,-0.073914
2579633.70917,85.23492,-150.267162,6.354046,-45.809665,0.256821,-0.883416,0.388694,-0.05036
2579693.70917,85.235244,-151.274909,8.988204,-46.177659,0.257253,-0.880785,0.396613,-0.027151
2579753.70917,85.235561,-152.275588,11.601741,-46.677289,-0.257733,0.877279,-0.404891,0.004331
2579813.70917,85.235872,-153.280221,14.188103,-47.31275,-0.258242,0.872908,-0.413542,-0.018053
2579873.70917,85.236175,-154.300217,16.740326,-48.089302,-0.258762,0.867683,-0.422578,-0.039957
2579933.70917,85.236468,-155.347452,19.25093,-49.013248,-0.259271,0.861617,-0.432011,-0.061333
2579993.70917,85.236749,-156.43432,21.711811,-50.091872,-0.259743,0.854725,-0.441851,-0.082133
2580053.70917,85.237018,-157.573736,24.114135,-51.333346,-0.260154,0.847026,-0.452106,-0.102312
2580113.70917,85.237272,-158.779069,26.448228,-52.746566,-0.260474,0.838538,-0.462782,-0.121821
2580173.70917,85.237511,-160.063993,28.703476,-54.340898,-0.260672,0.829285,-0.473882,-0.140616
2580233.70917,85.237734,-161.442218,30.868241,-56.125817,-0.260713,0.819291,-0.485408,-0.15865
2580293.70917,85.237939,-162.927064,32.929799,-58.11039,-0.26056,0.808587,-0.497355,-0.175881
2580353.70917,85.238125,-164.530869,34.874326,-60.302595,-0.260172,0.797203,-0.509716,-0.192266
2580413.70917,85.238292,-166.264183,36.686953,-62.708436,-0.259508,0.785176,-0.522482,-0.207766
2580473.70917,85.238437,-168.134768,38.351906,-65.330869,-0.25852,0.772544,-0.535635,-0.222347
2580533.70917,85.238562,-170.146424,39.852766,-68.168555,-0.257161,0.75935,-0.549156,-0.235975
2580593.70917,85.238664,-172.29775,41.172869,-71.214556,-0.255379,0.745641,-0.563017,-0.248623
2580653.70917,85.238743,-174.580973,42.295861,-74.455129,-0.253125,0.731466,-0.577187,-0.260271
2580713.70917,85.2388,-176.981085,43.206391,-77.868821,-0.250344,0.71688,-0.591628,-0.270901
2580773.70917,85.238832,-179.475527,43.890902,-81.426156,-0.246985,0.701939,-0.606298,-0.280505
2580833.70917,85.23884,177.965339,44.338457,-85.090104,-0.242994,0.686703,-0.621148,-0.28908
2580893.70917,85.238825,175.376864,44.541484,-88.817478,-0.238323,0.671235,-0.636125,-0.296632
2580953.70917,85.238785,172.797895,44.49634,-92.561195,-0.232923,0.655599,-0.651171,-0.303172
2581013.70917,85.23872,170.267986,44.203587,-96.273121,-0.226751,0.639858,-0.666226,-0.308721
2581073.70917,85.238632,167.824458,43.667949,-99.907099,-0.219767,0.62408,-0.681224,-0.313307
2581133.70917,85.238519,165.499782,42.897942,-103.421643,-0.211937,0.608328,-0.696099,-0.316964
2581193.70917,85.238383,163.319661,41.905246,-106.781953,-0.203234,0.592665,-0.710784,-0.319733
2581253.70917,85.238224,161.30203,40.703932,-109.96102,0.193637,-0.577154,0.725213,0.32166
2581313.70917,85.238043,159.456936,39.309641,-112.93984,-0.183132,0.56185,-0.739317,-0.322796
2581373.70917,85.237839,157.78716,37.738814,-115.706877,-0.171713,0.54681,-0.753033,-0.323195
2581433.70917,85.237614,156.289314,36.008037,-118.257048,-0.159381,0.532082,-0.766299,-0.322913
2581493.70917,85.237369,154.955154,34.133543,-120.59045,-0.146144,0.517713,-0.779055,-0.322008
2581553.70917,85.237104,153.772922,32.130848,-122.711061,-0.132019,0.503741,-0.791247,-0.320537
2581613.70917,85.236821,152.728561,30.014534,-124.625553,-0.117026,0.490202,-0.802824,-0.318559
