ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
1037388.52623,62.316352,-179.918798,53.979501,90.065677,-0.320645,-0.62996,-0.630228,0.32117
1037448.52623,62.74223,-179.925018,55.513981,90.061805,-0.329084,-0.625618,-0.625862,0.329547
1037508.52623,63.029849,-179.932889,56.920696,90.056233,-0.336773,-0.621543,-0.621759,0.337171
1037568.52623,63.212347,-179.942513,58.179939,90.048847,-0.343619,-0.617819,-0.618001,0.343946
1037628.52623,63.262023,-179.953919,59.274559,90.039613,-0.349543,-0.614526,-0.61467,0.349796
1037688.52623,63.257952,-179.967052,60.190393,90.028589,-0.354483,-0.611733,-0.611835,0.354658
1037748.52623,63.11189,-179.981748,60.916548,90.015951,-0.358393,-0.609497,-0.609553,0.358487
1037808.52623,63.035873,-179.997723,61.445544,90.002,-0.361244,-0.60786,-0.607867,0.361256
1037868.52623,62.735419,179.985416,61.773339,89.98715,-0.363024,-0.60685,-0.606806,0.362951
1037928.52623,62.584334,179.968135,61.899264,89.971891,-0.363733,-0.606476,-0.606381,0.363575
1037988.52623,62.53418,179.950932,61.8259,89.956746,-0.363388,-0.606735,-0.606588,0.363143
1038048.52623,62.437558,179.934292,61.558896,89.942223,-0.362017,-0.607605,-0.607407,0.361685
1038108.52623,62.300772,179.918652,61.106758,89.928778,-0.35966,-0.609052,-0.608806,0.359243
1038168.52623,61.999006,179.904367,60.480596,89.916781,-0.35637,-0.611031,-0.610738,0.355868
1038228.52623,61.70976,179.891686,59.693831,89.906488,-0.352209,-0.613483,-0.613147,0.351624
1038288.52623,61.098778,179.880748,58.761862,89.898037,-0.347249,-0.616344,-0.615969,0.346584
1038348.52623,60.480272,179.871597,57.701674,89.891464,-0.341572,-0.619544,-0.619135,0.34083
1038408.52623,59.67199,179.864205,56.531413,89.886721,-0.335266,-0.623011,-0.622573,0.334452
1038468.52623,58.717899,179.858494,55.26992,89.883704,-0.328423,-0.626671,-0.626209,0.327542
1038528.52623,57.455503,179.854357,53.93625,89.882268,0.321141,0.630455,0.629975,-0.320198
1038588.52623,55.99038,179.851671,52.549195,89.882245,0.313517,0.634296,0.633804,-0.312519
1038648.52623,54.178616,179.850303,51.126834,89.883456,0.305647,0.638137,0.637636,-0.304601
1038708.52623,52.152237,179.850122,49.686143,89.885716,0.297623,0.641923,0.641421,-0.296537
1038768.52623,49.693008,179.851006,48.242682,89.888854,0.289533,0.645613,0.645113,-0.288415
1038828.52623,47.10093,179.852854,46.810362,89.892717,0.281455,0.649171,0.648678,-0.280315
1038888.52623,44.205513,179.855579,45.401311,89.897166,0.273462,0.652571,0.652088,-0.272307
1038948.52623,41.133816,179.859106,44.025819,89.902081,0.265615,0.655792,0.655324,-0.264455
1039008.52623,37.906036,179.863362,42.692362,89.907351,0.257966,0.658823,0.658372,-0.256811
1039068.52623,34.511941,179.868277,41.407695,89.912877,0.250559,0.661657,0.661226,-0.249419
1039128.52623,31.027464,179.87378,40.176985,89.918569,0.24343,0.664293,0.663884,-0.242312
1039188.52623,27.445434,179.879804,39.003986,89.924352,0.236604,0.666732,0.666347,-0.235517
1039248.52623,23.68215,179.886287,37.891214,89.930162,0.230101,0.66898,0.668621,-0.229053
1039308.52623,19.88042,179.89317,36.840141,89.935946,0.223933,0.671045,0.670711,-0.222932
1039368.52623,16.057885,179.900396,35.851369,89.941663,0.21811,0.672934,0.672628,-0.217162
1039428.52623,12.357177,179.907905,34.924801,89.947276,0.212633,0.674659,0.674379,-0.211744
1039488.52623,9.084154,179.915637,34.059791,89.952752,0.207503,0.676228,0.675975,-0.206679
1039548.52623,7.630003,179.923528,33.255273,89.958065,0.202717,0.677652,0.677426,-0.201961
1039608.52623,7.134584,179.931513,32.509877,89.963192,0.19827,0.67894,0.678741,-0.197585
1039668.52623,6.655701,179.939529,31.822026,89.968115,0.194154,0.680103,0.67993,-0.193544
1039728.52623,6.180992,179.947514,31.190015,89.972818,0.190363,0.68115,0.681001,-0.189829
1039788.52623,5.742126,179.955402,30.612076,89.97729,0.186887,0.682088,0.681963,-0.18643
1039814.72032,5.568529,179.9588,30.376267,89.979166,0.185466,0.682466,0.682351,-0.185043
1039814.72032,0.0,179.9588,30.376267,89.979166,0.185466,0.682466,0.682351,-0.185043
1039827.12545,0.0,179.960398,30.268027,89.980039,0.184814,0.682638,0.682528,-0.184406
1039887.12545,0.0,179.967997,29.775089,89.984108,0.181837,0.683415,0.683327,-0.181506
1039947.12545,0.0,179.975345,29.331591,89.987922,0.179154,0.684102,0.684035,-0.178897
1040007.12545,0.0,179.98239,28.935891,89.99148,0.176754,0.684706,0.684659,-0.17657
1040067.12545,0.0,179.989088,28.586442,89.994779,0.174631,0.685233,0.685204,-0.174516
1040127.12545,0.0,179.995404,28.281802,89.997822,0.172776,0.685686,0.685674,-0.172727
1040187.12545,0.0,-179.99869,28.020647,90.000616,0.171181,0.68607,0.686074,-0.171195
1040247.12545,0.0,-179.993214,27.801771,90.003165,0.169842,0.686389,0.686406,-0.169913
1040307.12545,0.0,-179.988181,27.624097,90.00548,0.16875,0.686645,0.686676,-0.168876
1040367.12545,0.0,-179.983594,27.48667,90.007572,0.167902,0.686841,0.686883,-0.168077
1040427.12545,0.0,-179.979449,27.38866,90.009454,0.167292,0.686979,0.687032,-0.167511
1040487.12545,0.0,-179.975735,27.329356,90.01114,0.166917,0.687061,0.687123,-0.167176
1040547.12545,0.0,-179.97244,27.308162,90.012644,0.166772,0.687087,0.687159,-0.167066
1040607.12545,0.0,-179.969553,27.324597,90.013976,0.166856,0.68706,0.687138,-0.16718
1040667.12545,0.0,-179.967057,27.378282,90.015149,0.167164,0.686978,0.687063,-0.167515
1040727.12545,0.0,-179.964926,27.46894,90.016179,0.167697,0.686842,0.686934,-0.16807
1040787.12545,0.0,-179.963122,27.596382,90.017084,0.168451,0.686653,0.686749,-0.168843
1040847.12545,0.0,-179.961595,27.760503,90.017888,0.169427,0.686408,0.686509,-0.169834
1040907.12545,0.0,-179.960289,27.961269,90.01862,0.170623,0.686108,0.686213,-0.171043
1040967.12545,0.0,-179.959142,28.198707,90.019307,0.172039,0.685751,0.685859,-0.17247
1041027.12545,0.0,-179.958095,28.472892,90.019978,0.173674,0.685335,0.685447,-0.174115
1041087.12545,0.0,-179.957088,28.783932,90.020662,0.17553,0.684859,0.684974,-0.175979
