ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2582101.434143,0.0,-2.988591,-88.274829,-87.012761,-0.507847,0.492825,0.492028,0.507074
2582161.434143,0.0,-3.224746,-88.33027,-86.776621,-0.507624,0.493089,0.492257,0.506817
2582221.434143,0.0,-3.43396,-88.375669,-86.567416,-0.507443,0.493306,0.492445,0.506606
2582281.434143,0.0,-3.613197,-88.412196,-86.388186,-0.507297,0.49348,0.492595,0.506436
2582341.434143,0.0,-3.760209,-88.440739,-86.241179,-0.507182,0.493617,0.492713,0.506302
2582401.434143,0.0,-3.873662,-88.461951,-86.12773,-0.507098,0.493719,0.4928,0.506203
2582461.434143,0.0,-3.953126,-88.476298,-86.048268,-0.50704,0.493788,0.492859,0.506136
2582521.434143,0.0,-3.99895,-88.484081,-86.002445,-0.50701,0.493825,0.492891,0.506099
2582581.434143,0.0,-4.012115,-88.48545,-85.989282,-0.507005,0.493833,0.492896,0.506092
2582641.434143,0.0,-3.994112,-88.480421,-86.007288,-0.507026,0.49381,0.492874,0.506115
2582701.434143,0.0,-3.946817,-88.468867,-86.054588,-0.507074,0.493756,0.492825,0.506167
2582761.434143,0.0,-3.872344,-88.450518,-86.129068,-0.50715,0.493672,0.492746,0.506249
2582821.434143,0.0,-3.772946,-88.424949,-86.228475,-0.507256,0.493554,0.492637,0.506364
2582881.434143,0.0,-3.65098,-88.391552,-86.350455,-0.507395,0.4934,0.492494,0.506514
2582941.434143,0.0,-3.508899,-88.349502,-86.492553,-0.50757,0.493207,0.492313,0.506702
2583001.434143,0.0,-3.349217,-88.29771,-86.652257,-0.507787,0.49297,0.49209,0.506932
2583061.434143,0.0,-3.174445,-88.234747,-86.827058,-0.508051,0.492683,0.491817,0.507211
2583121.434143,0.0,-2.987022,-88.158741,-87.014518,-0.50837,0.492338,0.491487,0.507546
2583181.434143,0.0,-2.789252,-88.067225,-87.212333,-0.508755,0.491923,0.491089,0.507948
2583241.434143,0.0,-2.583265,-87.956915,-87.418375,-0.50922,0.491424,0.490607,0.508431
2583301.434143,0.0,-2.371018,-87.82337,-87.630691,-0.509784,0.490821,0.490021,0.509013
2583361.434143,0.0,-2.154346,-87.660457,-87.847448,-0.510472,0.490087,0.489304,0.50972
2583421.434143,0.0,-1.935024,-87.459502,-88.066876,-0.511321,0.489182,0.488417,0.510589
2583481.434143,0.0,-1.714789,-87.207847,-88.287246,-0.512383,0.488048,0.487302,0.511673
2583541.434143,0.0,-1.495308,-86.886315,-88.506899,-0.51374,0.4866,0.485872,0.513051
2583601.434143,0.0,-1.278174,-86.464438,-88.724258,-0.515516,0.484696,0.483987,0.514849
2583608.737618,0.0,-1.25198,-86.404077,-88.750484,-0.515769,0.484423,0.483717,0.515106
2583617.341046,0.0,-1.221202,-86.329981,-88.781302,-0.516081,0.484088,0.483385,0.515421
2583617.341047,0.0,-1.221202,-86.329981,-88.781302,-0.516081,0.484088,0.483385,0.515421
2583677.341046,29.933404,-1.009322,-85.702896,-88.993515,-0.518708,0.481248,0.480564,0.518073
2583737.341046,24.705948,-0.803564,-84.792308,-89.199753,-0.5225,0.477103,0.476439,0.521893
2583797.341046,19.402269,-0.605966,-83.360213,-89.398098,-0.528402,0.47053,0.469884,0.527827
2583857.341046,14.046761,-0.419001,-80.801027,-89.586388,-0.538752,0.458611,0.457981,0.538216
2583917.341046,8.684161,-0.24615,-75.012764,-89.762223,-0.561176,0.430834,0.430211,0.560698
2583977.341046,3.652431,-0.097656,-52.052548,-89.922991,-0.635564,0.3106,0.309934,0.635238
2584037.341046,3.46483,-0.086576,49.570976,-90.065903,-0.641825,-0.29612,-0.29675,0.642116
2584097.341046,8.452242,-0.195097,74.568914,-90.188064,-0.562406,-0.428091,-0.428601,0.562795
2584157.341046,13.809182,-0.290476,80.62134,-90.286594,-0.539013,-0.457228,-0.457673,0.539391
2584217.341046,19.166213,-0.361233,83.257881,-90.358735,-0.528361,-0.469539,-0.46993,0.528709
2584277.341046,24.473907,-0.403629,84.722687,-90.401918,-0.522333,-0.476283,-0.476621,0.522642
2584337.341046,29.707278,-0.414982,85.65029,-90.413787,-0.518482,-0.480523,-0.480808,0.518746
2584397.341046,34.800121,-0.393075,86.287543,-90.39225,-0.515826,-0.483428,-0.483657,0.51604
2584457.341046,39.742142,-0.336116,86.75018,-90.335575,-0.513896,-0.485536,-0.485707,0.514058
2584517.341046,44.538735,-0.242814,87.099585,-90.242503,-0.512442,-0.487131,-0.487241,0.512546
2584577.341046,49.177754,-0.112494,87.371304,-90.112376,-0.511315,-0.488377,-0.488423,0.511359
2584637.341046,53.560281,0.054763,87.587323,-89.945285,-0.510426,-0.489373,-0.489352,0.510406
2584697.341046,57.721207,0.258007,87.761952,-89.74219,-0.509712,-0.490185,-0.490095,0.509626
2584757.341046,61.668907,0.495406,87.904895,-89.504926,-0.509135,-0.490856,-0.490695,0.50898
2584817.341046,65.393495,0.764369,88.022948,-89.236086,-0.508664,-0.491417,-0.491183,0.508438
2584877.341046,68.760234,1.061637,88.120997,-88.938933,-0.508279,-0.49189,-0.491582,0.50798
2584937.341046,71.857193,1.383213,88.202629,-88.617467,-0.507965,-0.492291,-0.491906,0.507592
2584997.341046,74.687854,1.724229,88.270519,-88.276556,-0.507709,-0.492631,-0.49217,0.507262
2585057.341046,77.243347,2.07899,88.326694,-87.921895,-0.507504,-0.492919,-0.492382,0.506982
2585117.341046,79.363189,2.441246,88.372699,-87.559737,-0.507341,-0.493162,-0.492549,0.506745
2585177.341046,81.18546,2.804452,88.409715,-87.196626,-0.507217,-0.493366,-0.492677,0.506548
2585237.341046,82.705894,3.161838,88.43864,-86.839334,-0.507126,-0.493532,-0.492771,0.506385
2585297.341046,83.904645,3.506375,88.460146,-86.494888,-0.507066,-0.493665,-0.492832,0.506256
2585357.341046,84.64315,3.830894,88.474718,-86.170459,-0.507035,-0.493766,-0.492865,0.506157
2585417.341046,85.065327,4.128399,88.482683,-85.873043,-0.50703,-0.493836,-0.49287,0.506089
2585477.341046,85.170286,4.392355,88.484222,-85.609176,-0.50705,-0.493875,-0.492849,0.506051
2585537.341046,84.928532,4.616832,88.479377,-85.384787,-0.507096,-0.493884,-0.492802,0.506042
2585597.341046,84.233676,4.796599,88.468055,-85.205108,-0.507167,-0.493861,-0.492728,0.506065
2585657.341046,83.225082,4.927253,88.45002,-85.074541,-0.507265,-0.493805,-0.492628,0.506119
2585717.341046,81.905362,5.005366,88.424877,-84.996516,-0.50739,-0.493714,-0.492499,0.506208
2585777.341046,80.238612,5.02857,88.392051,-84.9734,-0.507546,-0.493585,-0.492339,0.506333
2585837.341046,78.155949,4.995676,88.350752,-85.006383,-0.507734,-0.493415,-0.492144,0.506499
2585897.341046,75.783454,4.906877,88.299925,-85.095272,-0.50796,-0.493198,-0.491911,0.506711
2585957.341046,73.127065,4.763902,88.238177,-85.23834,-0.50823,-0.492928,-0.491632,0.506973
2586017.341046,70.149156,4.56987,88.163678,-85.432467,0.50855,0.492598,0.491301,-0.507294
2586077.341046,66.818889,4.328937,88.074007,-85.673499,0.508932,0.492195,0.490905,-0.507685
2586137.341046,63.242316,4.046069,87.965947,-85.956472,0.509389,0.491706,0.490431,-0.508159
2586197.341046,59.428306,3.72714,87.835148,-86.275513,0.509938,0.491111,0.48986,-0.508734
2586257.341046,55.343484,3.37912,87.675624,-86.623654,0.510606,0.490383,0.489164,-0.509435
2586317.341046,50.990884,3.010011,87.478926,-86.992897,0.511428,0.489485,0.488305,-0.510299
2586377.341046,46.45235,2.628485,87.232766,-87.374576,0.512455,0.48836,0.487227,-0.511375
2586437.341046,41.73923,2.243444,86.918591,-87.759796,0.513764,0.486926,0.485846,-0.512741
2586497.341046,36.829466,1.863704,86.507052,-88.139755,0.515478,0.485047,0.484027,-0.514518
2586557.341046,31.751868,1.497777,85.948852,-88.505964,0.517799,0.482498,0.481543,-0.516909
2586617.341046,26.56397,1.153704,85.154426,-88.850418,0.521092,0.478864,0.477978,-0.520278
2586677.341046,21.281853,0.838947,83.942498,-89.165736,0.526083,0.473292,0.47248,-0.525352
2586737.341046,15.909302,0.560343,81.883477,-89.44527,0.53445,0.463731,0.462994,-0.53381
2586797.341046,10.512992,0.324235,77.663171,-89.683252,0.551098,0.443713,0.443047,-0.550562
2586857.341046,5.25952,0.138282,64.697364,-89.874984,0.597564,0.37866,0.378044,-0.597174
2586917.341046,2.380503,0.051549,-19.223012,-90.016972,0.697131,-0.117767,-0.118359,-0.697231
2586977.341046,6.711506,0.11355,-70.405364,-90.106975,0.577654,-0.407434,-0.407818,-0.577925
2587037.341046,12.039745,0.146633,-79.227471,-90.144049,-0.544619,0.450727,0.450988,0.544835
2587097.341046,17.431355,0.12971,-82.580096,-90.128624,-0.531237,0.466522,0.466677,0.531373
2587157.341046,22.794959,0.062808,-84.327496,-90.0625,-0.524103,0.474618,0.474675,0.524154
2587217.341046,28.064931,-0.051481,-85.39406,-89.948685,-0.519705,0.479523,0.479486,0.519671
2587277.341046,33.210911,-0.209349,-86.109495,-89.791133,-0.516744,0.482804,0.482676,0.516624
2587289.983082,34.28863,-0.247747,-86.23092,-89.752789,-0.516241,0.48336,0.483214,0.516103
2587289.983082,0.0,-0.247747,-86.23092,-89.752789,-0.516241,0.48336,0.483214,0.516103
2587298.537775,0.0,-0.274689,-86.308495,-89.725881,-0.515919,0.483716,0.483557,0.51577
2587358.537775,0.0,-0.484003,-86.767093,-89.516767,-0.514021,0.48582,0.485575,0.513789
2587418.537775,0.0,-0.724866,-87.11352,-89.276054,-0.512589,0.487412,0.487086,0.512278
2587478.537775,0.0,-0.991138,-87.382915,-89.009895,-0.511479,0.488655,0.488251,0.511093
2587538.537775,0.0,-1.276274,-87.597037,-88.724848,-0.5106,0.489647,0.48917,0.510143
2587598.537775,0.0,-1.573499,-87.770064,-88.427692,-0.509893,0.490452,0.489907,0.509369
2587658.537775,0.0,-1.875967,-87.911621,-88.125278,-0.509317,0.491114,0.490506,0.508731
2587718.537775,0.0,-2.176921,-88.028457,-87.824366,-0.508843,0.491662,0.490998,0.508201
2587778.537775,0.0,-2.469878,-88.125435,-87.531443,-0.508451,0.49212,0.491404,0.507758
2587838.537775,0.0,-2.748849,-88.206129,-87.252496,-0.508126,0.492502,0.49174,0.507387
2587898.537775,0.0,-3.008579,-88.273213,-86.992785,-0.507856,0.492821,0.492018,0.507078
2587958.537775,0.0,-3.244702,-88.328707,-86.756675,-0.507634,0.493085,0.492248,0.506821
