ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2582026.017544,0.0,179.944707,-61.616667,-176.807915,-0.511981,-0.023675,0.858559,-0.013851
2582086.017544,0.0,179.943896,-65.349236,-176.362379,-0.539609,-0.026452,0.841334,-0.016723
2582146.017544,0.0,179.943066,-69.079034,-175.751477,-0.5666,-0.030252,0.82318,-0.020607
2582206.017544,0.0,179.942379,-72.80458,-174.86815,-0.592874,-0.035735,0.804076,-0.026164
2582266.017544,0.0,179.942425,-76.52283,-173.487578,-0.618273,-0.044289,0.783943,-0.03478
2582326.017544,0.0,179.945672,-80.226209,-171.045822,-0.642361,-0.059394,0.762464,-0.049933
2582386.017544,0.0,179.966745,-83.888981,-165.635438,-0.663193,-0.092801,0.737981,-0.083355
2582446.017544,0.0,-179.80416,-87.341315,-145.311587,-0.658746,-0.216756,0.690079,-0.207029
2582506.017544,0.0,-179.440454,-87.836795,-44.353001,-0.258559,-0.668313,0.268756,-0.643642
2582566.017544,0.0,-179.91563,-84.508551,-15.99899,-0.093038,-0.733034,0.102515,-0.665955
2582626.017544,0.0,-179.986654,-80.863481,-9.557711,-0.053942,-0.758539,0.063339,-0.646295
2582686.017544,0.0,179.98978,-77.169723,-6.816034,-0.037144,-0.7803,0.046524,-0.622566
2582746.017544,0.0,179.978609,-73.460595,-5.310085,-0.027853,-0.800594,0.037237,-0.5974
2582806.017544,0.0,179.972211,-69.745152,-4.363001,-0.021963,-0.819826,0.031368,-0.571331
2582866.017544,0.0,179.968092,-66.026856,-3.715478,-0.017896,-0.838097,0.027335,-0.544542
2582926.017544,0.0,179.965223,-62.307316,-3.247111,-0.014917,-0.855435,0.024403,-0.51712
2582986.017544,0.0,179.963106,-58.58738,-2.894459,-0.012638,-0.871841,0.022184,-0.489123
2583046.017544,0.0,179.961474,-54.867532,-2.620954,-0.010835,-0.887308,0.020453,-0.460596
2583106.017544,0.0,179.960172,-51.148067,-2.404053,-0.009369,-0.901827,0.019073,-0.431575
2583166.017544,0.0,179.959102,-47.429167,-2.229121,-0.00815,-0.915384,0.017953,-0.402098
2583226.017544,0.0,179.958204,-43.710948,-2.086258,-0.007116,-0.927969,0.017032,-0.372199
2583286.017544,0.0,179.957433,-39.99348,-1.968538,-0.006223,-0.939571,0.016269,-0.34191
2583346.017544,0.0,179.956759,-36.276801,-1.87099,-0.005441,-0.950179,0.015633,-0.311266
2583406.017544,0.0,179.956162,-32.560926,-1.789964,-0.004746,-0.959782,0.015101,-0.280299
2583466.017544,0.0,179.955624,-28.845856,-1.722736,-0.004119,-0.968373,0.014656,-0.249044
2583526.017544,0.0,179.955134,-25.131573,-1.667248,-0.003547,-0.975942,0.014286,-0.217532
2583533.386487,0.0,179.955076,-24.675454,-1.661162,-0.00348,-0.976801,0.014245,-0.213646
2583541.989822,0.0,179.95501,-24.142943,-1.654246,-0.003403,-0.977784,0.014198,-0.209104
2583541.989822,0.0,179.95501,-24.142943,-1.654246,-0.003403,-0.977784,0.014198,-0.209104
2583601.989822,85.228973,179.954566,-20.429619,-1.611417,-0.002884,-0.984051,0.013909,-0.177316
2583661.989822,85.229427,179.95415,-16.71701,-1.57729,-0.002397,-0.989283,0.013676,-0.145347
2583721.989822,85.229891,179.953757,-13.005071,-1.551018,-0.001934,-0.993475,0.013493,-0.113231
2583781.989822,85.230362,179.953381,-9.293752,-1.531979,-0.001489,-0.996623,0.013358,-0.081002
2583841.989822,85.230839,179.953019,-5.582997,-1.519733,-0.001055,-0.998725,0.013266,-0.048692
2583901.989822,85.231319,179.952666,-1.872749,-1.514001,-6.29E-4,-0.999779,0.013217,-0.016335
2583961.989822,85.2318,179.952319,1.837054,-1.514642,-2.04E-4,-0.999784,0.013209,0.016035
2584021.989822,85.23228,179.951976,5.546475,-1.521653,2.24E-4,-0.998741,0.013243,0.048385
