ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2582101.360555,0.0,-179.910632,-0.019257,89.99997,-6.7E-4,0.707107,0.707106,-4.33E-4
2582161.360555,0.0,-179.906656,-0.016394,89.999973,-6.77E-4,0.707107,0.707106,-4.75E-4
2582221.360555,0.0,-179.903291,-0.01346,89.999977,-6.8E-4,0.707107,0.707106,-5.14E-4
2582281.360555,0.0,-179.900522,-0.010467,89.999982,-6.78E-4,0.707107,0.707106,-5.49E-4
2582341.360555,0.0,-179.898326,-0.007429,89.999987,-6.73E-4,0.707107,0.707106,-5.82E-4
2582401.360555,0.0,-179.896674,-0.00436,89.999992,-6.64E-4,0.707107,0.707106,-6.11E-4
2582461.360555,0.0,-179.895529,-0.001272,89.999998,-6.53E-4,0.707106,0.707106,-6.37E-4
2582521.360555,0.0,-179.894847,0.00182,90.000003,-6.38E-4,0.707106,0.707106,-6.6E-4
2582581.360555,0.0,-179.894584,0.004902,90.000009,-6.2E-4,0.707106,0.707107,-6.81E-4
2582641.360555,0.0,-179.894695,0.007961,90.000015,6.01E-4,-0.707106,-0.707107,6.99E-4
2582701.360555,0.0,-179.895135,0.010983,90.00002,5.79E-4,-0.707106,-0.707107,7.15E-4
2582761.360555,0.0,-179.895864,0.013955,90.000025,5.56E-4,-0.707106,-0.707107,7.29E-4
2582821.360555,0.0,-179.896844,0.016865,90.00003,5.32E-4,-0.707106,-0.707107,7.41E-4
2582881.360555,0.0,-179.898041,0.019698,90.000035,5.08E-4,-0.707106,-0.707107,7.51E-4
2582941.360555,0.0,-179.899425,0.022444,90.000039,4.82E-4,-0.707106,-0.707107,7.59E-4
2583001.360555,0.0,-179.900966,0.025091,90.000043,4.56E-4,-0.707106,-0.707107,7.66E-4
2583061.360555,0.0,-179.902637,0.027627,90.000047,4.3E-4,-0.707106,-0.707107,7.71E-4
2583121.360555,0.0,-179.904414,0.030043,90.00005,4.04E-4,-0.707106,-0.707107,7.75E-4
2583181.360555,0.0,-179.906279,0.032328,90.000053,3.79E-4,-0.707106,-0.707107,7.78E-4
2583241.360555,0.0,-179.908218,0.034473,90.000055,3.54E-4,-0.707106,-0.707107,7.79E-4
2583301.360555,0.0,-179.910224,0.036471,90.000057,3.29E-4,-0.707106,-0.707107,7.79E-4
2583361.360555,0.0,-179.912293,0.038312,90.000059,3.05E-4,-0.707106,-0.707107,7.78E-4
2583421.360555,0.0,-179.914426,0.03999,90.00006,2.81E-4,-0.707106,-0.707107,7.75E-4
2583481.360555,0.0,-179.916625,0.041499,90.00006,2.58E-4,-0.707106,-0.707107,7.71E-4
2583541.360555,0.0,-179.918897,0.042832,90.000061,2.36E-4,-0.707106,-0.707107,7.65E-4
2583601.360555,0.0,-179.921256,0.043987,90.00006,2.14E-4,-0.707106,-0.707107,7.57E-4
2583608.658681,0.0,-179.92155,0.044115,90.00006,2.12E-4,-0.707106,-0.707107,7.56E-4
2583617.261958,0.0,-179.921898,0.044262,90.00006,2.09E-4,-0.707106,-0.707107,7.55E-4
2583617.261958,0.0,-179.921898,0.044262,90.00006,2.09E-4,-0.707106,-0.707107,7.55E-4
2583677.261958,0.0,-179.924402,0.045183,90.00006,1.88E-4,-0.707106,-0.707107,7.45E-4
2583737.261958,0.0,-179.927053,0.045916,90.000058,1.67E-4,-0.707106,-0.707107,7.33E-4
2583797.261958,0.0,-179.929886,0.046458,90.000057,1.46E-4,-0.707106,-0.707107,7.19E-4
2583857.261958,0.0,-179.932931,0.046808,90.000055,1.25E-4,-0.707106,-0.707107,7.03E-4
2583917.261958,0.0,-179.936221,0.046964,90.000052,1.04E-4,-0.707106,-0.707107,6.83E-4
2583977.261958,0.0,-179.939788,0.046926,90.000049,8.2E-5,-0.707106,-0.707107,6.61E-4
2584037.261958,1.492238,-179.94366,0.046695,90.000046,6.0E-5,-0.707106,-0.707107,6.36E-4
2584097.261958,4.77824,-179.94786,0.04627,90.000042,3.6E-5,-0.707107,-0.707107,6.07E-4
2584157.261958,9.196364,-179.952402,0.045655,90.000038,1.2E-5,-0.707107,-0.707107,5.75E-4
2584217.261958,13.558766,-179.957296,0.044851,90.000033,-1.3E-5,-0.707107,-0.707107,5.4E-4
2584277.261958,17.877172,-179.96255,0.04386,90.000029,-4.0E-5,-0.707107,-0.707107,5.02E-4
2584337.261958,22.14774,-179.968171,0.042688,90.000024,-6.7E-5,-0.707107,-0.707107,4.6E-4
2584397.261958,26.299683,-179.974165,0.041338,90.000019,-9.6E-5,-0.707107,-0.707107,4.15E-4
2584457.261958,30.314174,-179.980535,0.039816,90.000014,-1.26E-4,-0.707107,-0.707107,3.66E-4
2584517.261958,34.202858,-179.987278,0.038126,90.000008,-1.57E-4,-0.707107,-0.707107,3.14E-4
2584577.261958,37.960351,-179.994383,0.036276,90.000004,-1.89E-4,-0.707107,-0.707107,2.59E-4
2584637.261958,41.485842,179.998174,0.034273,89.999999,-2.23E-4,-0.707107,-0.707107,2.0E-4
2584697.261958,44.848133,179.990422,0.032124,89.999995,-2.57E-4,-0.707107,-0.707107,1.39E-4
2584757.261958,48.032864,179.982404,0.029838,89.999991,-2.93E-4,-0.707107,-0.707107,7.6E-5
2584817.261958,51.015108,179.97416,0.027425,89.999988,-3.29E-4,-0.707107,-0.707107,1.0E-5
2584877.261958,53.700258,179.965734,0.024893,89.999985,-3.65E-4,-0.707107,-0.707107,-5.8E-5
2584937.261958,56.162185,179.957172,0.022254,89.999983,-4.02E-4,-0.707107,-0.707107,-1.27E-4
2584997.261958,58.398127,179.94853,0.019518,89.999982,-4.38E-4,-0.707107,-0.707107,-1.97E-4
2585057.261958,60.392746,179.939871,0.016696,89.999982,-4.74E-4,-0.707107,-0.707107,-2.68E-4
2585117.261958,62.057326,179.931263,0.013801,89.999983,-5.09E-4,-0.707107,-0.707107,-3.39E-4
2585177.261958,63.653234,179.922771,0.010845,89.999985,-5.43E-4,-0.707107,-0.707107,-4.1E-4
2585237.261958,64.929295,179.914459,0.00784,89.999988,-5.76E-4,-0.707107,-0.707107,-4.79E-4
2585297.261958,65.655339,179.906399,0.0048,89.999992,-6.07E-4,-0.707107,-0.707107,-5.48E-4
2585357.261958,66.431795,179.898663,0.001737,89.999997,-6.36E-4,-0.707107,-0.707106,-6.15E-4
2585417.261958,66.412252,179.891328,-0.001335,90.000003,-6.62E-4,-0.707106,-0.707106,-6.79E-4
2585477.261958,66.72102,179.884465,-0.004403,90.000009,-6.86E-4,-0.707106,-0.707106,-7.4E-4
2585537.261958,66.546598,179.878142,-0.007453,90.000016,-7.06E-4,-0.707106,-0.707106,-7.98E-4
2585597.261958,65.899598,179.872426,-0.010472,90.000023,-7.23E-4,-0.707106,-0.707106,-8.52E-4
2585657.261958,65.227386,179.86738,-0.013446,90.000031,-7.35E-4,-0.707106,-0.707106,-9.01E-4
2585717.261958,64.274609,179.863063,-0.016363,90.000039,-7.44E-4,-0.707106,-0.707106,-9.46E-4
2585777.261958,62.72246,179.85953,-0.01921,90.000047,-7.48E-4,-0.707106,-0.707106,-9.85E-4
2585837.261958,61.074263,179.856831,-0.021975,90.000055,-7.48E-4,-0.707106,-0.707106,-0.001019
2585897.261958,59.212633,179.855006,-0.024646,90.000062,-7.43E-4,-0.707106,-0.707106,-0.001047
2585957.261958,57.118784,179.85408,-0.027211,90.000069,-7.33E-4,-0.707106,-0.707106,-0.001068
2586017.261958,54.758978,179.854065,-0.02966,90.000076,7.17E-4,0.707106,0.707106,0.001084
2586077.261958,52.104318,179.854967,-0.031981,90.000081,6.98E-4,0.707106,0.707106,0.001092
2586137.261958,49.242982,179.856797,-0.034166,90.000085,6.73E-4,0.707106,0.707106,0.001094
2586197.261958,46.177824,179.859561,-0.036206,90.000089,6.43E-4,0.707106,0.707106,0.00109
2586257.261958,42.874087,179.863253,-0.038092,90.000091,6.09E-4,0.707106,0.707107,0.001079
2586317.261958,39.372172,179.867846,-0.039816,90.000092,5.7E-4,0.707106,0.707107,0.001061
2586377.261958,35.707043,179.873295,-0.041371,90.000091,5.27E-4,0.707106,0.707107,0.001037
2586437.261958,31.887913,179.879549,-0.042751,90.00009,4.79E-4,0.707106,0.707107,0.001007
2586497.261958,27.911511,179.88655,-0.043951,90.000087,4.29E-4,0.707106,0.707107,9.71E-4
2586557.261958,23.778533,179.894239,-0.044965,90.000083,3.75E-4,0.707106,0.707107,9.3E-4
2586617.261958,19.549682,179.902555,-0.04579,90.000078,3.19E-4,0.707106,0.707107,8.84E-4
2586677.261958,15.244425,179.911437,-0.046422,90.000072,2.6E-4,0.707106,0.707107,8.33E-4
2586737.261958,10.888087,179.920816,-0.046859,90.000065,1.99E-4,0.707106,0.707107,7.78E-4
2586797.261958,6.473118,179.930616,-0.0471,90.000057,1.38E-4,0.707106,0.707107,7.19E-4
2586857.261958,2.679439,179.940753,-0.047142,90.000049,7.5E-5,0.707106,0.707107,6.56E-4
2586917.261958,0.0,179.951143,-0.046985,90.00004,1.2E-5,0.707107,0.707107,5.91E-4
2586977.261958,0.0,179.961702,-0.046631,90.000031,-5.1E-5,0.707107,0.707107,5.24E-4
2587037.261958,0.0,179.972342,-0.04608,90.000022,-1.14E-4,0.707107,0.707107,4.55E-4
2587097.261958,0.0,179.982965,-0.045335,90.000013,-1.75E-4,0.707107,0.707107,3.85E-4
2587157.261958,0.0,179.993475,-0.044397,90.000005,-2.34E-4,0.707107,0.707107,3.14E-4
2587217.261958,0.0,-179.996213,-0.043272,89.999997,-2.9E-4,0.707107,0.707107,2.44E-4
2587277.261958,0.0,-179.986172,-0.041962,89.99999,-3.44E-4,0.707107,0.707107,1.74E-4
2587289.909062,0.0,-179.984096,-0.041663,89.999988,-3.55E-4,0.707107,0.707107,1.59E-4
2587289.909062,0.0,-179.984096,-0.041663,89.999988,-3.55E-4,0.707107,0.707107,1.59E-4
2587298.463753,0.0,-179.9827,-0.041456,89.999987,-3.63E-4,0.707107,0.707107,1.49E-4
2587358.463753,0.0,-179.973117,-0.039906,89.999981,-4.12E-4,0.707107,0.707107,8.0E-5
2587418.463753,0.0,-179.963936,-0.038184,89.999976,-4.58E-4,0.707107,0.707107,1.3E-5
2587478.463753,0.0,-179.955207,-0.036299,89.999972,-5.0E-4,0.707107,0.707107,-5.2E-5
2587538.463753,0.0,-179.946976,-0.034258,89.999968,-5.39E-4,0.707107,0.707107,-1.16E-4
2587598.463753,0.0,-179.939285,-0.032068,89.999966,-5.73E-4,0.707107,0.707107,-1.77E-4
2587658.463753,0.0,-179.932169,-0.02974,89.999965,-6.02E-4,0.707107,0.707107,-2.35E-4
2587718.463753,0.0,-179.925659,-0.027282,89.999965,-6.27E-4,0.707107,0.707107,-2.9E-4
2587778.463753,0.0,-179.919778,-0.024706,89.999965,-6.47E-4,0.707107,0.707106,-3.43E-4
2587838.463753,0.0,-179.91454,-0.022022,89.999967,-6.63E-4,0.707107,0.707106,-3.91E-4
2587898.463753,0.0,-179.909947,-0.019242,89.99997,-6.74E-4,0.707107,0.707106,-4.37E-4
2587958.463753,0.0,-179.905987,-0.016378,89.999973,-6.81E-4,0.707107,0.707106,-4.79E-4
