ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2582406.921354,0.0,177.167951,-47.073737,93.962344,-0.276423,0.632503,0.663365,0.288926
2582466.921354,0.0,-179.881807,-47.200305,89.937224,-0.283605,0.648028,0.647902,0.282578
2582526.921354,0.0,-176.933398,-47.064327,85.914028,-0.289935,0.66348,0.632373,0.275385
2582586.921354,0.0,-174.051864,-46.668558,81.948839,-0.295347,0.678841,0.616795,0.267411
2582646.921354,0.0,-171.298289,-46.020477,78.093689,-0.299768,0.694097,0.601193,0.258719
2582706.921354,0.0,-168.726699,-45.131661,74.393353,-0.30312,0.709236,0.585592,0.249367
2582766.921354,0.0,-166.382096,-44.016878,70.883307,-0.305323,0.724247,0.570022,0.239413
2582826.921354,0.0,-164.299792,-42.69307,67.588964,-0.306287,0.739119,0.554519,0.228912
2582886.921354,0.0,-162.505859,-41.178361,64.526059,-0.305918,0.75384,0.53912,0.217919
2582946.921354,0.0,-161.018371,-39.491187,61.701835,-0.304112,0.768399,0.523872,0.206486
2583006.921354,0.0,-159.849026,-37.649625,59.116654,-0.300761,0.78278,0.508825,0.194666
2583066.921354,0.0,-159.00482,-35.670912,56.765715,-0.295748,0.796964,0.494036,0.18251
2583126.921354,0.0,-158.48953,-33.571145,54.640662,-0.28895,0.810923,0.479571,0.17007
2583186.921354,0.0,-158.304852,-31.365136,52.730935,-0.280241,0.82462,0.465503,0.157396
2583246.921354,0.0,-158.451125,-29.066364,51.024863,-0.269493,0.838008,0.451913,0.144538
2583306.921354,0.0,-158.927597,-26.687016,49.510476,-0.256582,0.85102,0.438892,0.131544
2583360.159602,0.0,-159.625248,-24.517215,48.317823,0.243225,-0.862184,-0.427896,-0.119938
2583372.909632,0.0,-159.830418,-23.990221,48.05236,0.239753,-0.864796,-0.425349,-0.117151
2583372.909632,0.0,-159.830418,-23.990221,48.05236,0.239753,-0.864796,-0.425349,-0.117151
2583432.909632,85.228936,-160.99128,-21.476097,46.903271,0.221963,-0.876716,-0.413863,-0.104018
2583492.909632,85.229236,-162.468457,-18.911996,45.912169,0.201748,-0.887918,-0.403286,-0.090882
2583552.909632,85.229546,-164.25004,-16.3059,45.070179,0.17911,-0.898241,-0.393745,-0.077773
2583612.909632,85.229865,-166.317928,-13.665078,44.369593,0.154116,-0.907498,-0.385366,-0.064719
2583672.909632,85.230193,-168.646263,-10.996208,43.803893,0.126921,-0.91549,-0.378276,-0.051733
2583732.909632,85.230527,-171.200239,-8.305483,43.367757,0.097779,-0.922013,-0.372592,-0.038822
2583792.909632,85.230865,-173.935662,-5.598721,43.057048,0.067045,-0.926876,-0.368417,-0.02598
2583852.909632,85.231207,-176.799571,-2.881459,42.868797,0.03517,-0.929923,-0.365831,-0.013193
2583912.909632,85.231551,-179.732092,-0.159046,42.801181,0.002683,-0.931047,-0.364888,-4.39E-4
2583972.909632,85.231895,177.330582,2.563267,42.853519,-0.029846,-0.93021,-0.365606,0.012308
2584032.909632,85.232237,174.452535,5.280239,43.026263,-0.061845,-0.92744,-0.36797,0.025076
2584092.909632,85.232576,171.694404,7.986555,43.321,-0.092776,-0.922835,-0.37193,0.037888
2584152.909632,85.232911,169.110276,10.676736,43.740457,-0.122177,-0.916547,-0.377409,0.050759
2584212.909632,85.233239,166.745643,13.345046,44.288518,-0.149677,-0.908762,-0.384306,0.063697
2584272.909632,85.23356,164.636596,15.9854,44.970235,-0.175009,-0.899684,-0.392503,0.076699
2584332.909632,85.233871,162.810129,18.591259,45.791843,-0.198004,-0.889514,-0.401876,0.089751
2584392.909632,85.234172,161.28525,21.155524,46.760758,-0.218583,-0.878442,-0.412296,0.102829
2584452.909632,85.234461,160.074519,23.670419,47.885552,-0.236738,-0.866633,-0.423637,0.115904
2584512.909632,85.234736,159.185692,26.127371,49.175883,-0.252514,-0.854228,-0.435782,0.128939
2584572.909632,85.234997,158.623191,28.516883,50.642368,-0.265996,-0.841342,-0.448616,0.141891
2584632.909632,85.235241,158.389266,30.828414,52.296357,-0.277291,-0.828065,-0.462039,0.154716
2584692.909632,85.235469,158.484744,33.050266,54.149579,-0.286522,-0.814468,-0.475958,0.167367
2584752.909632,85.235678,158.909352,35.169492,56.213623,-0.293815,-0.800602,-0.490288,0.179795
2584812.909632,85.235868,159.661569,37.171849,58.499194,-0.299299,-0.786508,-0.504955,0.191951
2584872.909632,85.236038,160.73805,39.041816,61.015125,-0.303097,-0.772214,-0.519893,0.203785
2584932.909632,85.236187,162.132608,40.762711,63.767105,-0.305328,-0.757742,-0.535044,0.215245
2584992.909632,85.236314,163.834847,42.316944,66.756176,-0.306102,-0.743107,-0.550355,0.226281
2585052.909632,85.236418,165.828553,43.686434,69.977058,-0.305524,-0.728323,-0.565781,0.23684
2585112.909632,85.236499,168.090065,44.853219,73.416534,-0.30369,-0.7134,-0.581282,0.24687
2585172.909632,85.236556,170.58694,45.800254,77.05214,-0.30069,-0.698348,-0.596823,0.256317
2585232.909632,85.23659,173.277276,46.512351,80.851562,-0.296608,-0.683179,-0.612373,0.265124
2585292.909632,85.236599,176.110047,46.977178,84.773045,-0.291521,-0.667903,-0.627905,0.273233
2585352.909632,85.236583,179.026662,47.186186,88.767048,-0.285503,-0.652533,-0.643397,0.280585
2585412.909632,85.236543,-178.03629,47.135309,92.779084,-0.27862,-0.637086,-0.658829,0.287116
2585472.909632,85.236478,-175.143478,46.825312,96.753388,-0.270939,-0.62158,-0.674183,0.292759
2585532.909632,85.236388,-172.35703,46.261724,100.636811,-0.262518,-0.606034,-0.689445,0.297443
2585592.909632,85.236275,-169.733197,45.454357,104.38226,-0.253419,-0.590474,-0.704602,0.301092
2585652.909632,85.236137,-167.319999,44.416518,107.951146,-0.243695,-0.574927,-0.719642,0.303624
2585712.909632,85.235976,-165.156107,43.164045,111.314597,-0.233403,-0.559428,-0.734553,0.304951
2585772.909632,85.235792,-163.270888,41.714315,114.453473,-0.222595,-0.544012,-0.749327,0.304979
2585832.909632,85.235585,-161.685365,40.085349,117.357482,-0.211323,-0.528723,-0.763948,0.303607
2585892.909632,85.235357,-160.413684,38.295079,120.023722,-0.19964,-0.513611,-0.778404,0.300724
2585952.909632,85.235108,-159.464764,36.3608,122.455017,0.187596,0.498729,0.792675,-0.296215
2586012.909632,85.234839,-158.843827,34.298815,124.658288,0.175242,0.484142,0.806735,-0.289957
2586072.909632,85.234551,-158.553641,32.124231,126.643114,0.162629,0.469921,0.820551,-0.281821
2586132.909632,85.234245,-158.595363,29.850881,128.420566,0.149805,0.456145,0.834076,-0.271676
2586192.909632,85.233922,-158.968945,27.491328,130.002307,0.136819,0.442905,0.847248,-0.259396
2586252.909632,85.233584,-159.673073,25.05693,131.399929,0.123718,0.430299,0.859988,-0.244861
2586312.909632,85.233232,-160.704656,22.557939,132.624499,0.110546,0.418437,0.872192,-0.227971
2586372.909632,85.232867,-162.05786,20.003614,133.68625,0.097343,0.407437,0.883732,-0.208657
2586432.909632,85.23249,-163.722766,17.40235,134.594399,0.084144,0.397424,0.894452,-0.186896
2586492.909632,85.232103,-165.683765,14.761796,135.357033,0.070978,0.388529,0.904172,-0.162727
2586552.909632,85.231708,-167.9179,12.088979,135.981066,0.057864,0.380881,0.912695,-0.136272
2586612.909632,85.231306,-170.393476,9.390412,136.472219,0.04481,0.374606,0.919811,-0.107749
2586672.909632,85.230898,-173.069276,6.672202,136.835018,0.031818,0.369816,0.925322,-0.077479
2586732.909632,85.230486,-175.894779,3.94015,137.07281,0.018875,0.366605,0.929053,-0.045885
2586792.909632,85.230072,-178.811596,1.199843,137.187774,0.005963,0.365038,0.930876,-0.013476
2586852.909632,85.229657,178.243867,-1.543248,137.180935,-0.006943,0.365148,0.930726,0.019181
2586912.909632,85.229243,175.336864,-4.28369,137.052166,-0.019868,0.366934,0.928608,0.051502
2586972.909632,85.228832,172.530453,-7.015989,136.800189,-0.032836,0.370359,0.924597,0.082927
2587032.909632,85.228425,169.882045,-9.734508,136.42256,-0.045865,0.375353,0.918829,0.112958
2587092.909632,85.228023,167.440909,-12.433374,135.915662,-0.058964,0.381822,0.911483,0.141184
2587152.909632,85.227629,165.24692,-15.106379,135.274682,-0.072131,0.389652,0.902762,0.167301
2587212.909632,85.227244,163.330515,-17.746881,134.4936,-0.085353,0.398717,0.892871,0.191105
2587272.909632,85.226868,161.713586,-20.347693,133.565193,-0.09861,0.408887,0.882007,0.212486
2587332.909632,85.226505,160.410939,-22.900971,132.481047,-0.111872,0.420033,0.870347,0.231416
2587351.30842,85.226396,160.07601,-23.673096,132.115956,-0.115934,0.423626,0.866636,0.236733
2587351.30842,0.0,160.07601,-23.673096,132.115956,-0.115934,0.423626,0.866636,0.236733
2587364.037404,0.0,159.862222,-24.204056,131.854125,-0.118742,0.426157,0.864035,0.240279
2587424.037404,0.0,159.053517,-26.668345,130.514848,-0.131938,0.438548,0.851444,0.255558
2587484.037404,0.0,158.575797,-29.061599,128.993917,-0.145037,0.451615,0.838387,0.268542
2587544.037404,0.0,158.431081,-31.372674,127.27966,-0.157992,0.465256,0.824951,0.279342
2587604.037404,0.0,158.620009,-33.589219,125.360151,-0.170754,0.479376,0.811202,0.288086
2587664.037404,0.0,159.142047,-35.697606,123.223808,-0.183273,0.493892,0.797191,0.294902
2587724.037404,0.0,159.99522,-37.682891,120.860228,-0.195498,0.50873,0.782957,0.299921
2587784.037404,0.0,161.175386,-39.52887,118.261295,-0.207378,0.523823,0.768526,0.303267
2587844.037404,0.0,162.67508,-41.218238,115.422562,-0.21886,0.539113,0.753921,0.305059
2587904.037404,0.0,164.482021,-42.732901,112.344869,-0.229894,0.554547,0.739156,0.305409
2587964.037404,0.0,166.577438,-44.054474,109.036061,-0.240425,0.570081,0.724245,0.304421
