ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
527261.715186,101.726398,-179.981228,0.014587,90.000005,2.6E-5,-0.707107,-0.707107,2.06E-4
527321.715186,102.153218,-179.987816,0.01169,90.000002,3.0E-6,-0.707107,-0.707107,1.47E-4
527381.715186,102.339141,-179.994623,0.008738,90.000001,-2.1E-5,-0.707107,-0.707107,8.7E-5
527441.715186,102.308146,179.99843,0.005747,90.0,-4.5E-5,-0.707107,-0.707107,2.6E-5
527501.715186,101.960328,179.991415,0.002729,90.0,-7.0E-5,-0.707107,-0.707107,-3.6E-5
527561.715186,101.420605,179.9844,-3.02E-4,90.0,-9.4E-5,-0.707107,-0.707107,-9.8E-5
527621.715186,100.489636,179.977456,-0.003332,90.000001,-1.19E-4,-0.707107,-0.707107,-1.6E-4
527681.715186,99.350628,179.970669,-0.006346,90.000003,-1.42E-4,-0.707107,-0.707107,-2.2E-4
527741.715186,98.024225,179.964127,-0.009332,90.000006,-1.64E-4,-0.707107,-0.707107,-2.79E-4
527801.715186,96.27746,179.957907,-0.012276,90.000009,-1.84E-4,-0.707107,-0.707107,-3.35E-4
527861.715186,94.45989,179.95207,-0.015163,90.000013,-2.02E-4,-0.707107,-0.707107,-3.89E-4
527921.715186,92.272155,179.946669,-0.017982,90.000017,-2.18E-4,-0.707107,-0.707107,-4.4E-4
527981.715186,89.961709,179.941756,-0.02072,90.000021,-2.32E-4,-0.707107,-0.707107,-4.87E-4
528041.715186,87.355046,179.937379,-0.023364,90.000026,2.42E-4,0.707107,0.707107,5.31E-4
528101.715186,84.571764,179.933576,-0.025903,90.00003,2.5E-4,0.707107,0.707107,5.7E-4
528161.715186,81.642753,179.930376,-0.028325,90.000034,2.55E-4,0.707107,0.707107,6.04E-4
528221.715186,78.456413,179.927809,-0.03062,90.000039,2.57E-4,0.707106,0.707107,6.34E-4
528281.715186,75.171082,179.925902,-0.032779,90.000042,2.55E-4,0.707106,0.707107,6.59E-4
528341.715186,71.684454,179.924677,-0.034791,90.000046,2.5E-4,0.707106,0.707107,6.79E-4
528401.715186,68.084643,179.924139,-0.03665,90.000049,2.42E-4,0.707106,0.707107,6.94E-4
528461.715186,64.431909,179.92428,-0.038346,90.000051,2.31E-4,0.707106,0.707107,7.04E-4
528521.715186,60.570292,179.925077,-0.039873,90.000052,2.16E-4,0.707106,0.707107,7.08E-4
528581.715186,56.646357,179.926498,-0.041225,90.000053,1.99E-4,0.707106,0.707107,7.08E-4
528641.715186,52.702853,179.928501,-0.042396,90.000053,1.8E-4,0.707106,0.707107,7.03E-4
528701.715186,48.63994,179.931033,-0.043382,90.000052,1.58E-4,0.707106,0.707107,6.93E-4
528761.715186,44.57214,179.934046,-0.044178,90.000051,1.34E-4,0.707106,0.707107,6.8E-4
528821.715186,40.49759,179.937492,-0.044782,90.000049,1.09E-4,0.707106,0.707107,6.62E-4
528881.715186,36.09629,179.94132,-0.04519,90.000046,8.3E-5,0.707106,0.707107,6.41E-4
