ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
641913.532866,11.703352,179.919236,-0.038318,90.000054,2.62E-4,0.707106,0.707107,7.35E-4
641973.532866,11.711195,179.920176,-0.039851,90.000056,2.47E-4,0.707106,0.707107,7.38E-4
642033.532866,11.697262,179.921758,-0.041208,90.000056,2.29E-4,0.707106,0.707107,7.37E-4
642093.532866,11.704617,179.92395,-0.042385,90.000056,2.08E-4,0.707106,0.707107,7.31E-4
642153.532866,11.695615,179.926716,-0.043376,90.000055,1.85E-4,0.707106,0.707107,7.2E-4
642213.532866,11.707944,179.930011,-0.044177,90.000054,1.59E-4,0.707106,0.707107,7.04E-4
642273.532866,11.698602,179.933775,-0.044786,90.000052,1.32E-4,0.707106,0.707107,6.85E-4
642333.532866,11.708687,179.937944,-0.045199,90.000049,1.04E-4,0.707106,0.707107,6.62E-4
642393.532866,11.700913,179.942449,-0.045416,90.000046,7.5E-5,0.707106,0.707107,6.35E-4
642453.532866,11.706578,179.947231,-0.045434,90.000042,4.5E-5,0.707107,0.707107,6.06E-4
642513.532866,11.700159,179.952232,-0.045255,90.000038,1.6E-5,0.707107,0.707107,5.74E-4
642573.532866,11.701259,179.957391,-0.044878,90.000033,-1.4E-5,0.707107,0.707107,5.4E-4
642633.532866,11.696592,179.962636,-0.044304,90.000029,-4.3E-5,0.707107,0.707107,5.04E-4
642693.532866,11.694715,179.967898,-0.043537,90.000024,-7.1E-5,0.707107,0.707107,4.67E-4
642753.532866,11.693124,179.973115,-0.042579,90.00002,-9.7E-5,0.707107,0.707107,4.29E-4
642813.532866,11.69175,179.978233,-0.041433,90.000016,-1.21E-4,0.707107,0.707107,3.9E-4
642873.532866,11.695671,179.983196,-0.040105,90.000012,-1.44E-4,0.707107,0.707107,3.51E-4
642933.532866,11.700545,179.987948,-0.038598,90.000008,-1.64E-4,0.707107,0.707107,3.13E-4
642944.486814,11.699963,179.988789,-0.038304,90.000007,-1.67E-4,0.707107,0.707107,3.06E-4
642944.486816,0.0,179.988789,-0.038304,90.000007,-1.67E-4,0.707107,0.707107,3.06E-4
642957.564085,0.0,179.989781,-0.037946,90.000007,-1.71E-4,0.707107,0.707107,2.97E-4
643017.564085,0.0,179.994159,-0.036201,90.000004,-1.87E-4,0.707107,0.707107,2.59E-4
643077.564085,0.0,179.998232,-0.034295,90.000001,-2.01E-4,0.707107,0.707107,2.23E-4
643137.564085,0.0,-179.998029,-0.032234,89.999999,-2.11E-4,0.707107,0.707107,1.87E-4
643197.564085,0.0,-179.994655,-0.030028,89.999997,-2.18E-4,0.707107,0.707107,1.52E-4
643257.564085,0.0,-179.99167,-0.027686,89.999996,-2.22E-4,0.707107,0.707107,1.19E-4
643317.564085,0.0,-179.989078,-0.025218,89.999995,-2.23E-4,0.707107,0.707107,8.8E-5
643377.564085,0.0,-179.98686,-0.022635,89.999995,2.21E-4,-0.707107,-0.707107,-5.9E-5
643437.564085,0.0,-179.984991,-0.019949,89.999995,2.16E-4,-0.707107,-0.707107,-3.0E-5
643497.564085,0.0,-179.983449,-0.017172,89.999995,2.08E-4,-0.707107,-0.707107,-4.0E-6
643557.564085,0.0,-179.98221,-0.014315,89.999996,1.98E-4,-0.707107,-0.707107,2.1E-5
643617.564085,0.0,-179.981245,-0.011392,89.999996,1.86E-4,-0.707107,-0.707107,4.5E-5
643677.564085,0.0,-179.98052,-0.008417,89.999997,1.72E-4,-0.707107,-0.707107,6.8E-5
643737.564085,0.0,-179.980003,-0.005403,89.999998,1.57E-4,-0.707107,-0.707107,9.0E-5
643797.564085,0.0,-179.97966,-0.002364,89.999999,1.4E-4,-0.707107,-0.707107,1.11E-4
643857.564085,0.0,-179.979452,6.85E-4,90.0,1.23E-4,-0.707107,-0.707107,1.31E-4
643917.564085,0.0,-179.979336,0.003732,90.000001,1.04E-4,-0.707107,-0.707107,1.51E-4
643977.564085,0.0,-179.979269,0.00676,90.000002,8.6E-5,-0.707107,-0.707107,1.7E-4
644037.564085,0.0,-179.979209,0.009757,90.000004,6.8E-5,-0.707107,-0.707107,1.89E-4
644097.564085,0.0,-179.979114,0.012709,90.000005,5.0E-5,-0.707107,-0.707107,2.07E-4
644157.564085,0.0,-179.978937,0.015601,90.000006,3.4E-5,-0.707107,-0.707107,2.26E-4
644217.564085,0.0,-179.978635,0.018421,90.000007,1.8E-5,-0.707107,-0.707107,2.46E-4
644277.564085,0.0,-179.978174,0.021157,90.000008,4.0E-6,-0.707107,-0.707107,2.65E-4
644337.564085,0.0,-179.977527,0.023795,90.000009,-8.0E-6,-0.707107,-0.707107,2.86E-4
644397.564085,0.0,-179.976677,0.026324,90.000011,-1.9E-5,-0.707107,-0.707107,3.06E-4
644457.564085,0.0,-179.975608,0.028733,90.000012,-2.7E-5,-0.707107,-0.707107,3.28E-4
644517.564085,0.0,-179.974309,0.031012,90.000014,-3.3E-5,-0.707107,-0.707107,3.5E-4
644577.564085,0.0,-179.972781,0.033151,90.000016,-3.7E-5,-0.707107,-0.707107,3.73E-4
644637.564085,0.0,-179.971028,0.035141,90.000018,-3.8E-5,-0.707107,-0.707107,3.96E-4
644697.564085,0.0,-179.969059,0.036974,90.00002,-3.7E-5,-0.707107,-0.707107,4.19E-4
644753.556852,0.0,-179.967044,0.038536,90.000022,-3.4E-5,-0.707107,-0.707107,4.41E-4
644766.656145,0.0,-179.96655,0.03888,90.000023,-3.4E-5,-0.707107,-0.707107,4.46E-4
644766.656145,0.0,-179.96655,0.03888,90.000023,-3.4E-5,-0.707107,-0.707107,4.46E-4
644826.656145,11.706359,-179.964191,0.040349,90.000025,-2.8E-5,-0.707107,-0.707107,4.7E-4
644886.656145,11.69573,-179.961704,0.041641,90.000028,-2.1E-5,-0.707107,-0.707107,4.93E-4
644946.656145,11.700985,-179.95913,0.042749,90.00003,-1.2E-5,-0.707107,-0.707107,5.16E-4
645006.656145,11.695947,-179.956517,0.04367,90.000033,-1.0E-6,-0.707107,-0.707107,5.38E-4
645066.656145,11.702044,-179.953912,0.0444,90.000036,1.0E-5,-0.707107,-0.707107,5.58E-4
645126.656145,11.700106,-179.951362,0.044936,90.000038,2.3E-5,-0.707107,-0.707107,5.77E-4
645186.656145,11.703425,-179.948913,0.045277,90.00004,3.6E-5,-0.707107,-0.707107,5.95E-4
645246.656145,11.703226,-179.946614,0.04542,90.000042,4.9E-5,-0.707107,-0.707107,6.1E-4
645306.656145,11.702071,-179.944526,0.045366,90.000044,6.2E-5,-0.707107,-0.707107,6.22E-4
645366.656145,11.70319,-179.942717,0.045115,90.000045,7.5E-5,-0.707106,-0.707107,6.32E-4
645426.656145,11.697605,-179.94125,0.044669,90.000046,8.7E-5,-0.707106,-0.707107,6.38E-4
645486.656145,11.700503,-179.940174,0.044028,90.000046,9.7E-5,-0.707106,-0.707107,6.41E-4
645546.656145,11.692271,-179.939523,0.043195,90.000046,1.07E-4,-0.707106,-0.707107,6.4E-4
645606.656145,11.698347,-179.939333,0.042175,90.000045,1.14E-4,-0.707106,-0.707107,6.35E-4
645666.656145,11.691177,-179.939647,0.04097,90.000043,1.2E-4,-0.707107,-0.707107,6.25E-4
645726.656145,11.702962,-179.940505,0.039586,90.000041,1.23E-4,-0.707107,-0.707107,6.11E-4
