ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
22876.980653,18.917898,179.981934,-0.009356,90.000003,-5.4E-5,-0.707107,-0.707107,-1.69E-4
22936.980653,19.659075,179.976997,-0.012303,90.000005,-6.6E-5,-0.707107,-0.707107,-2.18E-4
22996.980653,19.709763,179.972338,-0.015194,90.000007,-7.7E-5,-0.707107,-0.707107,-2.64E-4
23056.980653,18.962426,179.968011,-0.018016,90.00001,-8.6E-5,-0.707107,-0.707107,-3.09E-4
23116.980653,18.135447,179.964073,-0.020756,90.000013,-9.4E-5,-0.707107,-0.707107,-3.5E-4
23176.980653,17.468311,179.960571,-0.023402,90.000016,-9.9E-5,-0.707107,-0.707107,-3.88E-4
23236.980653,16.181331,179.957546,-0.025941,90.000019,-1.02E-4,-0.707107,-0.707107,-4.22E-4
23296.980653,13.972392,179.955027,-0.028364,90.000022,1.02E-4,0.707107,0.707107,4.53E-4
23356.980653,11.787195,179.953036,-0.030659,90.000025,1.01E-4,0.707107,0.707107,4.79E-4
23416.980653,11.93838,179.951589,-0.032817,90.000028,9.6E-5,0.707107,0.707107,5.01E-4
23476.980653,11.719456,179.950698,-0.034829,90.00003,8.9E-5,0.707107,0.707107,5.19E-4
23536.980653,11.707286,179.950368,-0.036686,90.000032,8.0E-5,0.707107,0.707107,5.33E-4
23596.980653,11.712053,179.950593,-0.03838,90.000033,6.8E-5,0.707107,0.707107,5.42E-4
23656.980653,11.698271,179.951355,-0.039905,90.000034,5.4E-5,0.707107,0.707107,5.46E-4
23716.980653,11.707398,179.952624,-0.041254,90.000034,3.8E-5,0.707107,0.707107,5.47E-4
23776.980653,11.698016,179.954361,-0.042422,90.000034,2.0E-5,0.707107,0.707107,5.43E-4
23836.980653,11.709889,179.956526,-0.043405,90.000033,0.0,0.707107,0.707107,5.36E-4
23896.980653,11.701881,179.959071,-0.044198,90.000032,-2.0E-5,0.707107,0.707107,5.25E-4
23956.980653,11.710834,179.96195,-0.044799,90.00003,-4.2E-5,0.707107,0.707107,5.11E-4
24016.980653,11.704636,179.965109,-0.045204,90.000028,-6.4E-5,0.707107,0.707107,4.94E-4
24076.980653,11.708817,179.968493,-0.045413,90.000025,-8.6E-5,0.707107,0.707107,4.75E-4
24136.980653,11.703953,179.972041,-0.045424,90.000022,-1.08E-4,0.707107,0.707107,4.53E-4
24196.980653,11.703256,179.975693,-0.045238,90.000019,-1.29E-4,0.707107,0.707107,4.29E-4
24256.980653,11.700132,179.979388,-0.044854,90.000016,-1.5E-4,0.707107,0.707107,4.04E-4
24316.980653,11.696185,179.983066,-0.044275,90.000013,-1.69E-4,0.707107,0.707107,3.78E-4
24376.980653,11.69614,179.986667,-0.043503,90.00001,-1.86E-4,0.707107,0.707107,3.51E-4
24436.980653,11.692466,179.990134,-0.04254,90.000007,-2.02E-4,0.707107,0.707107,3.23E-4
24496.980653,11.697951,179.993414,-0.04139,90.000005,-2.15E-4,0.707107,0.707107,2.96E-4
24556.980653,11.700343,179.996456,-0.040058,90.000002,-2.25E-4,0.707107,0.707107,2.69E-4
24564.389604,11.70069,179.996813,-0.039881,90.000002,-2.26E-4,0.707107,0.707107,2.66E-4
24564.389605,0.0,179.996813,-0.039881,90.000002,-2.26E-4,0.707107,0.707107,2.66E-4
24577.478245,0.0,179.997432,-0.039562,90.000002,-2.28E-4,0.707107,0.707107,2.6E-4
24637.478245,0.0,-179.999912,-0.037993,90.0,-2.35E-4,0.707107,0.707107,2.34E-4
24697.478245,0.0,-179.997583,-0.036257,89.999998,-2.39E-4,0.707107,0.707107,2.09E-4
24757.478245,0.0,-179.995606,-0.034358,89.999997,-2.39E-4,0.707107,0.707107,1.85E-4
24817.478245,0.0,-179.993996,-0.032306,89.999997,-2.36E-4,0.707107,0.707107,1.62E-4
24877.478245,0.0,-179.992764,-0.030108,89.999996,-2.3E-4,0.707107,0.707107,1.41E-4
24937.478245,0.0,-179.99191,-0.027775,89.999996,-2.21E-4,0.707107,0.707107,1.21E-4
24997.478245,0.0,-179.991423,-0.025316,89.999996,-2.09E-4,0.707107,0.707107,1.03E-4
25057.478245,0.0,-179.991288,-0.022742,89.999997,-1.94E-4,0.707107,0.707107,8.7E-5
25117.478245,0.0,-179.991485,-0.020064,89.999997,-1.76E-4,0.707107,0.707107,7.1E-5
25177.478245,0.0,-179.991991,-0.017294,89.999998,-1.56E-4,0.707107,0.707107,5.7E-5
25237.478245,0.0,-179.992784,-0.014445,89.999998,-1.34E-4,0.707107,0.707107,4.5E-5
25297.478245,0.0,-179.993834,-0.01153,89.999999,1.09E-4,-0.707107,-0.707107,-3.3E-5
25357.478245,0.0,-179.995103,-0.008561,89.999999,8.3E-5,-0.707107,-0.707107,-2.3E-5
25417.478245,0.0,-179.99654,-0.005553,90.0,5.6E-5,-0.707107,-0.707107,-1.3E-5
25477.478245,0.0,-179.998088,-0.00252,90.0,2.7E-5,-0.707107,-0.707107,-4.0E-6
25537.478245,0.0,-179.999681,5.26E-4,90.0,-1.0E-6,-0.707107,-0.707107,5.0E-6
25597.478245,0.0,179.998743,0.003569,90.0,-3.0E-5,-0.707107,-0.707107,1.4E-5
25657.478245,0.0,179.997247,0.006595,90.0,-5.8E-5,-0.707107,-0.707107,2.4E-5
25717.478245,0.0,179.99589,0.009591,89.999999,-8.5E-5,-0.707107,-0.707107,3.4E-5
25777.478245,0.0,179.994721,0.012542,89.999999,-1.1E-4,-0.707107,-0.707107,4.5E-5
25837.478245,0.0,179.99378,0.015436,89.999998,-1.34E-4,-0.707107,-0.707107,5.7E-5
25897.478245,0.0,179.993104,0.018258,89.999998,-1.55E-4,-0.707107,-0.707107,7.0E-5
25957.478245,0.0,179.992725,0.020997,89.999997,-1.74E-4,-0.707107,-0.707107,8.5E-5
26017.478245,0.0,179.992677,0.02364,89.999997,-1.91E-4,-0.707107,-0.707107,1.01E-4
26077.478245,0.0,179.992985,0.026175,89.999997,-2.05E-4,-0.707107,-0.707107,1.18E-4
26137.478245,0.0,179.993657,0.028591,89.999997,-2.16E-4,-0.707107,-0.707107,1.37E-4
26197.478245,0.0,179.994689,0.030878,89.999997,-2.23E-4,-0.707107,-0.707107,1.58E-4
26257.478245,0.0,179.996071,0.033025,89.999998,-2.28E-4,-0.707107,-0.707107,1.8E-4
26317.478245,0.0,179.997798,0.035025,89.999999,-2.3E-4,-0.707107,-0.707107,2.03E-4
26377.234112,0.0,179.999858,0.036861,90.0,-2.28E-4,-0.707107,-0.707107,2.27E-4
26390.297649,0.0,-179.999648,0.037241,90.0,-2.28E-4,-0.707107,-0.707107,2.32E-4
26390.29765,0.0,-179.999648,0.037241,90.0,-2.28E-4,-0.707107,-0.707107,2.32E-4
26450.297649,11.706474,-179.997183,0.038884,90.000002,-2.23E-4,-0.707107,-0.707107,2.57E-4
26510.297649,11.69728,-179.994425,0.040355,90.000004,-2.15E-4,-0.707107,-0.707107,2.83E-4
