ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2573315.762439,0.0,-179.9111,0.038622,90.00006,3.1E-4,-0.707106,-0.707107,7.87E-4
2573375.762439,0.0,-179.913856,0.040101,90.00006,2.84E-4,-0.707106,-0.707107,7.79E-4
2573419.514265,0.0,-179.915916,0.041069,90.00006,2.65E-4,-0.707106,-0.707107,7.72E-4
2573429.239228,0.0,-179.91638,0.041271,90.00006,2.61E-4,-0.707106,-0.707107,7.71E-4
2573429.239228,0.0,-179.91638,0.041271,90.00006,2.61E-4,-0.707106,-0.707107,7.71E-4
2573489.239228,17.218431,-179.919298,0.042413,90.00006,2.36E-4,-0.707106,-0.707107,7.6E-4
2573549.239228,20.993327,-179.922329,0.04337,90.000059,2.12E-4,-0.707106,-0.707107,7.47E-4
2573609.239228,24.851317,-179.925504,0.044138,90.000057,1.87E-4,-0.707106,-0.707107,7.32E-4
2573669.239228,28.764659,-179.928857,0.044715,90.000056,1.63E-4,-0.707106,-0.707107,7.15E-4
2573729.239228,32.675011,-179.932424,0.045098,90.000053,1.39E-4,-0.707106,-0.707107,6.95E-4
2573789.239228,36.896302,-179.936235,0.045287,90.00005,1.14E-4,-0.707106,-0.707107,6.73E-4
2573849.239228,41.146477,-179.940324,0.045281,90.000047,8.9E-5,-0.707106,-0.707107,6.48E-4
2573909.239228,45.187622,-179.94472,0.04508,90.000043,6.3E-5,-0.707107,-0.707107,6.19E-4
2573969.239228,49.170955,-179.949454,0.044684,90.000039,3.6E-5,-0.707107,-0.707107,5.88E-4
2574029.239228,53.15538,-179.954544,0.044096,90.000035,8.0E-6,-0.707107,-0.707107,5.53E-4
2574089.239228,57.084059,-179.959999,0.043318,90.00003,-2.0E-5,-0.707107,-0.707107,5.14E-4
2574149.239228,60.896422,-179.965823,0.042352,90.000025,-5.0E-5,-0.707107,-0.707107,4.72E-4
2574209.239228,64.665698,-179.97202,0.041203,90.00002,-8.2E-5,-0.707107,-0.707107,4.27E-4
2574269.239228,68.289025,-179.978598,0.039874,90.000015,-1.14E-4,-0.707107,-0.707107,3.78E-4
2574329.239228,71.752367,-179.985558,0.038372,90.00001,-1.48E-4,-0.707107,-0.707107,3.26E-4
2574389.239228,75.158191,-179.992893,0.036702,90.000005,-1.83E-4,-0.707107,-0.707107,2.7E-4
2574449.239228,78.378363,179.999413,0.034871,90.0,-2.19E-4,-0.707107,-0.707107,2.12E-4
2574509.239228,81.395088,179.991383,0.032885,89.999995,-2.56E-4,-0.707107,-0.707107,1.5E-4
2574569.239228,84.321694,179.983045,0.030754,89.999991,-2.94E-4,-0.707107,-0.707107,8.5E-5
2574629.239228,86.948137,179.97444,0.028486,89.999987,-3.33E-4,-0.707107,-0.707107,1.8E-5
2574689.239228,89.409442,179.965618,0.02609,89.999984,-3.73E-4,-0.707107,-0.707107,-5.1E-5
2574749.239228,91.664886,179.956637,0.023577,89.999982,-4.13E-4,-0.707107,-0.707107,-1.22E-4
2574809.239228,93.663881,179.947557,0.020957,89.999981,-4.53E-4,-0.707107,-0.707107,-1.94E-4
2574869.239228,95.43163,179.938436,0.018241,89.99998,-4.92E-4,-0.707107,-0.707107,-2.67E-4
2574929.239228,96.994311,179.92934,0.015441,89.999981,-5.31E-4,-0.707107,-0.707107,-3.41E-4
2574989.239228,98.238602,179.920342,0.012571,89.999983,-5.69E-4,-0.707107,-0.707107,-4.14E-4
2575049.239228,99.316957,179.911523,0.009642,89.999985,-6.05E-4,-0.707107,-0.707107,-4.86E-4
2575109.239228,100.081802,179.902964,0.006667,89.999989,-6.4E-4,-0.707107,-0.707106,-5.58E-4
2575169.239228,100.569207,179.894741,0.00366,89.999993,-6.72E-4,-0.707107,-0.707106,-6.27E-4
2575229.239228,100.762441,179.886923,6.36E-4,89.999999,-7.02E-4,-0.707106,-0.707106,-6.94E-4
2575289.239228,100.751099,179.879579,-0.002394,90.000005,-7.28E-4,-0.707106,-0.707106,-7.58E-4
2575349.239228,100.441407,179.872781,-0.005414,90.000012,-7.52E-4,-0.707106,-0.707106,-8.18E-4
2575409.239228,99.911815,179.866603,-0.008411,90.00002,-7.71E-4,-0.707106,-0.707106,-8.75E-4
2575469.239228,99.060609,179.861119,-0.011371,90.000028,-7.87E-4,-0.707106,-0.707106,-9.27E-4
2575529.239228,97.938026,179.856403,-0.014281,90.000036,-7.98E-4,-0.707106,-0.707106,-9.74E-4
2575589.239228,96.650065,179.852523,-0.017127,90.000044,-8.04E-4,-0.707106,-0.707106,-0.001016
2575649.239228,94.961651,179.849539,-0.019897,90.000052,-8.06E-4,-0.707106,-0.707106,-0.001051
2575709.239228,93.154257,179.847492,-0.022578,90.00006,-8.02E-4,-0.707106,-0.707106,-0.00108
2575769.239228,91.040003,179.846413,-0.025157,90.000067,-7.93E-4,-0.707106,-0.707106,-0.001103
2575829.239228,88.789229,179.846322,-0.027624,90.000074,7.78E-4,0.707106,0.707106,0.001119
2575889.239228,86.203252,179.84724,-0.029967,90.00008,7.58E-4,0.707106,0.707106,0.001128
2575949.239228,83.491649,179.849181,-0.032177,90.000085,7.32E-4,0.707106,0.707106,0.001129
2576009.239228,80.579257,179.852151,-0.034243,90.000088,7.01E-4,0.707106,0.707106,0.001124
2576069.239228,77.449815,179.856139,-0.036157,90.000091,6.65E-4,0.707106,0.707106,0.001111
2576129.239228,74.228341,179.861116,-0.037911,90.000092,6.23E-4,0.707106,0.707107,0.001091
2576189.239228,70.761761,179.867038,-0.039496,90.000092,5.77E-4,0.707106,0.707107,0.001064
2576249.239228,67.222797,179.87385,-0.040907,90.00009,5.26E-4,0.707106,0.707107,0.001031
2576309.239228,63.616907,179.881491,-0.042137,90.000087,4.71E-4,0.707106,0.707107,9.91E-4
2576369.239228,59.770494,179.889888,-0.043182,90.000083,4.13E-4,0.707106,0.707107,9.46E-4
2576429.239228,55.898531,179.898967,-0.044036,90.000078,3.52E-4,0.707106,0.707107,8.95E-4
2576489.239228,51.996461,179.908654,-0.044697,90.000071,2.88E-4,0.707106,0.707107,8.39E-4
2576549.239228,47.961853,179.918875,-0.045161,90.000064,2.22E-4,0.707106,0.707107,7.79E-4
2576609.239228,43.937203,179.929549,-0.045427,90.000056,1.54E-4,0.707106,0.707107,7.15E-4
2576669.239228,39.925087,179.940587,-0.045493,90.000047,8.6E-5,0.707106,0.707107,6.47E-4
2576729.239228,35.555357,179.951895,-0.045359,90.000038,1.7E-5,0.707107,0.707107,5.77E-4
2576789.239228,31.433188,179.963378,-0.045026,90.000029,-5.2E-5,0.707107,0.707107,5.04E-4
2576849.239228,27.554879,179.974944,-0.044494,90.000019,-1.2E-4,0.707107,0.707107,4.29E-4
2576909.239228,23.614593,179.98649,-0.043766,90.00001,-1.87E-4,0.707107,0.707107,3.53E-4
2576969.239228,19.761067,179.997907,-0.042844,90.000002,-2.51E-4,0.707107,0.707107,2.77E-4
2577029.239228,16.042598,-179.99091,-0.041733,89.999993,-3.14E-4,0.707107,0.707107,2.01E-4
2577058.393616,14.256563,-179.985587,-0.041125,89.99999,-3.43E-4,0.707107,0.707107,1.65E-4
2577058.393616,0.0,-179.985587,-0.041125,89.99999,-3.43E-4,0.707107,0.707107,1.65E-4
2577068.081297,0.0,-179.983837,-0.040914,89.999988,-3.52E-4,0.707107,0.707107,1.53E-4
2577128.081297,0.0,-179.973217,-0.0395,89.999982,-4.09E-4,0.707107,0.707107,7.8E-5
2577188.081297,0.0,-179.963018,-0.037909,89.999976,-4.62E-4,0.707107,0.707107,6.0E-6
2577248.081297,0.0,-179.953295,-0.036148,89.999971,-5.11E-4,0.707107,0.707107,-6.5E-5
2577308.081297,0.0,-179.944102,-0.034226,89.999967,-5.56E-4,0.707107,0.707107,-1.34E-4
2577368.081297,0.0,-179.935489,-0.032148,89.999964,-5.96E-4,0.707107,0.707107,-2.0E-4
2577428.081297,0.0,-179.927502,-0.029926,89.999962,-6.32E-4,0.707107,0.707106,-2.63E-4
2577488.081297,0.0,-179.920182,-0.027568,89.999962,-6.63E-4,0.707107,0.707106,-3.22E-4
2577548.081297,0.0,-179.913561,-0.025085,89.999962,-6.88E-4,0.707107,0.707106,-3.79E-4
2577608.081297,0.0,-179.907659,-0.022488,89.999964,-7.09E-4,0.707107,0.707106,-4.31E-4
2577668.081297,0.0,-179.90248,-0.019788,89.999966,-7.24E-4,0.707107,0.707106,-4.8E-4
2577728.081297,0.0,-179.898016,-0.016999,89.99997,-7.34E-4,0.707107,0.707106,-5.24E-4
2577788.081297,0.0,-179.89425,-0.014131,89.999974,-7.4E-4,0.707107,0.707106,-5.65E-4
2577848.081297,0.0,-179.891164,-0.0112,89.999979,-7.41E-4,0.707107,0.707106,-6.02E-4
2577908.081297,0.0,-179.888732,-0.008218,89.999984,-7.37E-4,0.707106,0.707106,-6.36E-4
2577968.081297,0.0,-179.886928,-0.0052,89.99999,-7.3E-4,0.707106,0.707106,-6.66E-4
2578028.081297,0.0,-179.885715,-0.002159,89.999996,-7.19E-4,0.707106,0.707106,-6.92E-4
2578088.081297,0.0,-179.885045,8.91E-4,90.000002,-7.04E-4,0.707106,0.707106,-7.15E-4
2578148.081297,0.0,-179.884864,0.003935,90.000008,-6.86E-4,0.707106,0.707106,-7.35E-4
2578208.081297,0.0,-179.885119,0.006959,90.000014,-6.66E-4,0.707106,0.707106,-7.52E-4
2578268.081297,0.0,-179.885764,0.009949,90.00002,-6.44E-4,0.707106,0.707106,-7.66E-4
2578328.081297,0.0,-179.886757,0.012892,90.000025,-6.19E-4,0.707106,0.707107,-7.78E-4
2578388.081297,0.0,-179.888059,0.015773,90.000031,-5.93E-4,0.707106,0.707107,-7.88E-4
2578448.081297,0.0,-179.889626,0.018581,90.000036,-5.66E-4,0.707106,0.707107,-7.96E-4
2578508.081297,0.0,-179.891419,0.021301,90.00004,-5.39E-4,0.707106,0.707107,-8.01E-4
2578568.081297,0.0,-179.893405,0.023924,90.000045,5.1E-4,-0.707106,-0.707107,8.05E-4
2578628.081297,0.0,-179.895554,0.026436,90.000048,4.81E-4,-0.707106,-0.707107,8.08E-4
2578688.081297,0.0,-179.89784,0.028827,90.000051,4.53E-4,-0.707106,-0.707107,8.08E-4
2578748.081297,0.0,-179.900235,0.031088,90.000054,4.24E-4,-0.707106,-0.707107,8.07E-4
2578808.081297,0.0,-179.90272,0.033208,90.000056,3.95E-4,-0.707106,-0.707107,8.05E-4
2578868.081297,0.0,-179.905283,0.035179,90.000058,3.67E-4,-0.707106,-0.707107,8.02E-4
2578928.081297,0.0,-179.907917,0.036992,90.000059,3.4E-4,-0.707106,-0.707107,7.96E-4
2578988.081297,0.0,-179.910623,0.038642,90.00006,3.13E-4,-0.707106,-0.707107,7.9E-4
2579048.081297,0.0,-179.913404,0.040121,90.000061,2.87E-4,-0.707106,-0.707107,7.82E-4
