ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2584753.142612,0.0,-179.915487,0.041601,90.000061,2.65E-4,-0.707106,-0.707107,7.78E-4
2584813.142612,0.0,-179.918549,0.042698,90.000061,2.39E-4,-0.707106,-0.707107,7.66E-4
2584836.106192,0.0,-179.919753,0.043069,90.00006,2.29E-4,-0.707106,-0.707107,7.61E-4
2584844.52541,0.0,-179.9202,0.043198,90.00006,2.26E-4,-0.707106,-0.707107,7.59E-4
2584844.526156,0.440376,-179.9202,0.043198,90.00006,2.26E-4,-0.707106,-0.707107,7.59E-4
2584904.526156,0.439917,-179.923473,0.044011,90.000059,2.01E-4,-0.707106,-0.707107,7.44E-4
2584964.526156,0.439607,-179.926924,0.044632,90.000057,1.76E-4,-0.707106,-0.707107,7.26E-4
2585024.526156,0.438818,-179.930588,0.04506,90.000055,1.5E-4,-0.707106,-0.707107,7.06E-4
2585084.526156,0.438026,-179.934499,0.045294,90.000052,1.25E-4,-0.707106,-0.707107,6.84E-4
2585144.526156,0.437414,-179.93869,0.045332,90.000049,9.9E-5,-0.707106,-0.707107,6.58E-4
2585204.526156,0.611344,-179.943191,0.045176,90.000045,7.2E-5,-0.707107,-0.707107,6.29E-4
2585264.526156,2.135488,-179.948024,0.044824,90.000041,4.4E-5,-0.707107,-0.707107,5.97E-4
2585324.526156,3.64225,-179.953205,0.04428,90.000036,1.6E-5,-0.707107,-0.707107,5.62E-4
2585384.526156,5.223119,-179.958743,0.043544,90.000031,-1.4E-5,-0.707107,-0.707107,5.23E-4
2585444.526156,6.958737,-179.964644,0.042621,90.000026,-4.5E-5,-0.707107,-0.707107,4.81E-4
2585504.526156,9.067832,-179.970914,0.041512,90.000021,-7.7E-5,-0.707107,-0.707107,4.36E-4
2585564.526156,11.122214,-179.977561,0.040224,90.000016,-1.1E-4,-0.707107,-0.707107,3.87E-4
2585624.526156,13.122437,-179.984586,0.03876,90.00001,-1.44E-4,-0.707107,-0.707107,3.34E-4
2585684.526156,15.062945,-179.991989,0.037127,90.000005,-1.8E-4,-0.707107,-0.707107,2.79E-4
2585744.526156,16.927471,-179.999754,0.035331,90.0,-2.16E-4,-0.707107,-0.707107,2.2E-4
2585804.526156,18.69475,179.992143,0.033379,89.999995,-2.54E-4,-0.707107,-0.707107,1.57E-4
2585864.526156,20.377701,179.98374,0.031279,89.999991,-2.93E-4,-0.707107,-0.707107,9.3E-5
2585924.526156,21.957156,179.97508,0.02904,89.999987,-3.33E-4,-0.707107,-0.707107,2.5E-5
2585984.526156,23.388081,179.966201,0.026671,89.999984,-3.73E-4,-0.707107,-0.707107,-4.4E-5
2586044.526156,24.676486,179.957147,0.024182,89.999982,-4.14E-4,-0.707107,-0.707107,-1.15E-4
2586104.526156,25.842664,179.947969,0.021584,89.99998,-4.54E-4,-0.707107,-0.707107,-1.88E-4
2586164.526156,26.877881,179.938737,0.018888,89.99998,-4.95E-4,-0.707107,-0.707107,-2.61E-4
2586224.526156,27.769873,179.929524,0.016105,89.99998,-5.34E-4,-0.707107,-0.707107,-3.36E-4
2586284.526156,28.318991,179.920404,0.013247,89.999982,-5.73E-4,-0.707107,-0.707107,-4.09E-4
2586344.526156,29.11691,179.911447,0.010328,89.999984,-6.1E-4,-0.707107,-0.707107,-4.83E-4
2586404.526156,29.824219,179.902728,0.007361,89.999988,-6.46E-4,-0.707107,-0.707106,-5.55E-4
2586464.526156,29.90564,179.894335,0.004358,89.999992,-6.79E-4,-0.707107,-0.707106,-6.25E-4
2586524.526156,30.569342,179.88635,0.001334,89.999997,-7.1E-4,-0.707106,-0.707106,-6.93E-4
2586584.526156,30.450128,179.878847,-0.001698,90.000004,-7.37E-4,-0.707106,-0.707106,-7.58E-4
2586644.526156,30.473894,179.871892,-0.004723,90.000011,-7.61E-4,-0.707106,-0.707106,-8.2E-4
2586704.526156,30.540091,179.865556,-0.007729,90.000018,-7.82E-4,-0.707106,-0.707106,-8.77E-4
2586764.526156,29.911692,179.859913,-0.010701,90.000026,-7.98E-4,-0.707106,-0.707106,-9.3E-4
2586824.526156,29.822979,179.855037,-0.013626,90.000034,-8.1E-4,-0.707106,-0.707106,-9.79E-4
2586884.526156,29.208735,179.85099,-0.01649,90.000043,-8.18E-4,-0.707106,-0.707106,-0.001021
2586944.526156,28.333943,179.847828,-0.019281,90.000051,-8.2E-4,-0.707106,-0.707106,-0.001058
