ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
2556194.955891,0.0,-179.904812,0.035026,90.000058,3.71E-4,-0.707106,-0.707107,8.04E-4
2556254.955891,0.0,-179.90733,0.036852,90.00006,3.44E-4,-0.707106,-0.707107,7.99E-4
2556299.605022,0.0,-179.909253,0.038104,90.00006,3.25E-4,-0.707106,-0.707107,7.95E-4
2556311.875487,0.0,-179.909789,0.038432,90.000061,3.2E-4,-0.707106,-0.707107,7.94E-4
2556311.876204,18.382118,-179.909789,0.038432,90.000061,3.2E-4,-0.707106,-0.707107,7.94E-4
2556371.876204,21.617602,-179.912462,0.039932,90.000061,2.94E-4,-0.707106,-0.707107,7.87E-4
2556431.876204,25.123733,-179.915229,0.041257,90.000061,2.69E-4,-0.707106,-0.707107,7.78E-4
2556491.876204,28.768322,-179.918108,0.042401,90.000061,2.44E-4,-0.707106,-0.707107,7.67E-4
2556551.876204,32.548947,-179.921122,0.04336,90.00006,2.19E-4,-0.707106,-0.707107,7.54E-4
2556611.876204,36.422458,-179.924293,0.04413,90.000058,1.95E-4,-0.707106,-0.707107,7.39E-4
2556671.876204,40.383298,-179.927641,0.044709,90.000056,1.71E-4,-0.707106,-0.707107,7.22E-4
2556731.876204,44.354947,-179.931188,0.045095,90.000054,1.46E-4,-0.707106,-0.707107,7.03E-4
2556791.876204,48.382109,-179.934961,0.045286,90.000051,1.22E-4,-0.707106,-0.707107,6.81E-4
2556851.876204,52.250785,-179.938991,0.045282,90.000048,9.7E-5,-0.707106,-0.707107,6.56E-4
2556911.876204,56.166648,-179.943307,0.045083,90.000045,7.2E-5,-0.707107,-0.707107,6.28E-4
2556971.876204,59.957771,-179.947938,0.04469,90.000041,4.5E-5,-0.707107,-0.707107,5.97E-4
2557031.876204,63.782862,-179.95291,0.044104,90.000036,1.8E-5,-0.707107,-0.707107,5.63E-4
2557091.876204,67.49289,-179.958249,0.043328,90.000032,-1.0E-5,-0.707107,-0.707107,5.25E-4
2557151.876204,71.167612,-179.963973,0.042364,90.000027,-3.9E-5,-0.707107,-0.707107,4.84E-4
2557211.876204,74.681551,-179.970092,0.041217,90.000022,-7.0E-5,-0.707107,-0.707107,4.39E-4
2557271.876204,78.094397,-179.976607,0.039891,90.000016,-1.02E-4,-0.707107,-0.707107,3.91E-4
2557331.876204,81.409153,-179.983516,0.038391,90.000011,-1.35E-4,-0.707107,-0.707107,3.39E-4
2557391.876204,84.585548,-179.99081,0.036723,90.000006,-1.7E-4,-0.707107,-0.707107,2.83E-4
2557451.876204,87.593669,-179.998473,0.034893,90.000001,-2.06E-4,-0.707107,-0.707107,2.25E-4
2557511.876204,90.410942,179.993527,0.03291,89.999996,-2.43E-4,-0.707107,-0.707107,1.63E-4
2557571.876204,93.090718,179.985229,0.030781,89.999992,-2.81E-4,-0.707107,-0.707107,9.9E-5
2557631.876204,95.562315,179.97667,0.028514,89.999988,-3.2E-4,-0.707107,-0.707107,3.2E-5
2557691.876204,97.78596,179.967889,0.02612,89.999985,-3.59E-4,-0.707107,-0.707107,-3.7E-5
2557751.876204,99.873794,179.958929,0.023608,89.999983,-3.99E-4,-0.707107,-0.707107,-1.08E-4
2557811.876204,101.689874,179.949842,0.020989,89.999982,-4.39E-4,-0.707107,-0.707107,-1.8E-4
2557871.876204,103.219635,179.940692,0.018274,89.999981,-4.79E-4,-0.707107,-0.707107,-2.53E-4
2557931.876204,104.620779,179.931546,0.015476,89.999982,-5.18E-4,-0.707107,-0.707107,-3.27E-4
2557991.876204,105.796286,179.922475,0.012606,89.999983,-5.56E-4,-0.707107,-0.707107,-4.01E-4
